FX 77-W-121
  1.0 0.0
  0.9980355 0.001060215
  0.99557 0.0008879224
  0.9929381 0.0009311998
  0.9901227 0.00124999
  0.9869723 0.001530229
  0.9833784 0.001779439
  0.9792661 0.002123952
  0.974585 0.00260026
  0.9693544 0.00316753
  0.9637115 0.003797441
  0.9578178 0.004481501
  0.951761 0.005214875
  0.9455902 0.005993239
  0.9393361 0.006804979
  0.9330554 0.007624112
  0.9268443 0.008428526
  0.9207824 0.00923817
  0.9148833 0.01008687
  0.9091078 0.01098811
  0.9033966 0.01189966
  0.8976941 0.01277288
  0.8919483 0.0135677
  0.8861213 0.01430408
  0.8801928 0.01502779
  0.8741617 0.01578618
  0.8680447 0.01660867
  0.8618605 0.0174903
  0.8556243 0.01842204
  0.849347 0.01939435
  0.8430357 0.02039438
  0.8366983 0.02140641
  0.8303457 0.02241388
  0.8239911 0.02340311
  0.8176477 0.02437977
  0.8113196 0.02535739
  0.8050007 0.02635094
  0.7986745 0.02737409
  0.7923216 0.02842507
  0.7859318 0.02949508
  0.7795079 0.03057286
  0.7730661 0.03164582
  0.7666299 0.03271205
  0.7602141 0.03377754
  0.7538206 0.03485028
  0.7474393 0.03594005
  0.7410507 0.03705203
  0.7346385 0.03818282
  0.7281961 0.03932666
  0.7217283 0.0404757
  0.7152505 0.04162159
  0.7087822 0.04276389
  0.7023347 0.0439064
  0.6959096 0.04505451
  0.6894991 0.04621516
  0.683088 0.0473931
  0.6766615 0.04858669
  0.6702116 0.04979239
  0.6637376 0.05100523
  0.6572465 0.05221893
  0.6507508 0.0534304
  0.6442615 0.05464087
  0.6377841 0.05585264
  0.6313194 0.05706894
  0.624863 0.0582935
  0.6184073 0.0595267
  0.6119458 0.06076635
  0.6054746 0.06200978
  0.5989921 0.06325382
  0.5924993 0.06449519
  0.5859994 0.06573366
  0.5794954 0.06697064
  0.5729897 0.06820772
  0.5664837 0.06944661
  0.5599784 0.07068887
  0.5534736 0.07193387
  0.5469689 0.07318006
  0.5404638 0.07442593
  0.5339575 0.07566994
  0.5274494 0.07691074
  0.5209392 0.07814793
  0.5144276 0.07938139
  0.5079158 0.08061085
  0.5014063 0.08183587
  0.4949022 0.08305574
  0.4884066 0.08426858
  0.4819219 0.08547215
  0.4754498 0.08666437
  0.468991 0.08784333
  0.4625458 0.08900739
  0.456113 0.09015589
  0.4496897 0.09128894
  0.4432705 0.09240703
  0.4368476 0.09351102
  0.4304113 0.09460209
  0.4239534 0.09568117
  0.4174776 0.09674743
  0.4110014 0.09779778
  0.404556 0.09882714
  0.3981838 0.09982814
  0.391923 0.1007848
  0.3857872 0.1016804
  0.3797669 0.1025037
  0.3738354 0.1032469
  0.3679524 0.103904
  0.3620714 0.1044772
  0.3561564 0.1049751
  0.3501855 0.1054045
  0.3441523 0.1057702
  0.3380674 0.1060763
  0.3319576 0.1063246
  0.3258493 0.1065125
  0.3197575 0.1066378
  0.3136852 0.1066989
  0.3076239 0.1066945
  0.3015554 0.1066242
  0.2954624 0.1064908
  0.2893364 0.1062972
  0.283178 0.1060468
  0.2769982 0.1057433
  0.2708163 0.1053894
  0.2646489 0.1049842
  0.2585034 0.1045265
  0.2523786 0.1040144
  0.2462646 0.1034454
  0.2401474 0.1028187
  0.2340183 0.1021353
  0.2278771 0.1013969
  0.221732 0.1006067
  0.2155993 0.09976789
  0.209494 0.09888028
  0.2034225 0.0979422
  0.1973822 0.0969507
  0.191362 0.09590153
  0.1853484 0.09479215
  0.1793365 0.09362274
  0.1733328 0.09239565
  0.1673548 0.09111576
  0.1614262 0.08978608
  0.1555609 0.08840433
  0.1497575 0.08696513
  0.1440016 0.08545976
  0.1382705 0.08388023
  0.1325501 0.08222441
  0.1268423 0.08049462
  0.1211652 0.07869826
  0.1155457 0.07684233
  0.1099961 0.07492614
  0.104508 0.07294196
  0.09905446 0.0708755
  0.09360578 0.06871777
  0.0881591 0.06647319
  0.08274551 0.06416093
  0.07742254 0.06180546
  0.07222948 0.05941157
  0.06716413 0.05696624
  0.06219289 0.05444425
  0.05728259 0.05183245
  0.05243558 0.04913869
  0.04769033 0.04639022
  0.04310206 0.04361338
  0.03870815 0.04082364
  0.03452564 0.03802924
  0.03057125 0.03524336
  0.02687315 0.03249301
  0.02345878 0.02981197
  0.02035001 0.02723781
  0.01755704 0.02480415
  0.01507226 0.02253074
  0.01288421 0.02042797
  0.01097913 0.01850452
  0.009330592 0.01675811
  0.007906179 0.0151746
  0.006674705 0.01373157
  0.005605162 0.01240578
  0.004670719 0.01117719
  0.003849666 0.01002943
  0.003126859 0.008947423
  0.002492805 0.00792064
  0.001939654 0.006943464
  0.001459748 0.006012391
  0.001045382 0.00512462
  0.000692394 0.004278668
  0.0004051838 0.003474052
  0.0001858814 0.002706199
  3.524414e-05 0.001968534
  -4.524953e-05 0.001253924
  -5.212495e-05 0.0005549685
  2.132769e-05 -0.0001363372
  0.000181632 -0.0008274134
  0.0004289546 -0.001520824
  0.0007651458 -0.002214724
  0.001192945 -0.002901397
  0.001714146 -0.00357072
  0.002330323 -0.004219266
  0.003041386 -0.004845181
  0.003845174 -0.005447699
  0.0047378 -0.006027671
  0.005722303 -0.006586602
  0.00681114 -0.007125691
  0.008019312 -0.007646927
  0.00936346 -0.008153751
  0.01086063 -0.00865083
  0.01253303 -0.009136961
  0.01440842 -0.009607785
  0.01652018 -0.01005963
  0.01891409 -0.01049162
  0.02165993 -0.01090653
  0.0248441 -0.01131363
  0.02853659 -0.01173501
  0.03273264 -0.01217479
  0.03735226 -0.0126009
  0.04234658 -0.01298267
  0.04774474 -0.01332089
  0.05352047 -0.01363172
  0.05952938 -0.01392034
  0.06563058 -0.0141709
  0.07180439 -0.01437401
  0.07810745 -0.01453981
  0.08454746 -0.0146861
  0.0910497 -0.01482522
  0.09752776 -0.01494949
  0.1039623 -0.0150485
  0.1103972 -0.01511782
  0.1168832 -0.01516656
  0.1234335 -0.01520616
  0.1300184 -0.01524603
  0.1365933 -0.01528335
  0.1431385 -0.01531138
  0.1496628 -0.01532396
  0.1561942 -0.01532098
  0.1627527 -0.01530833
  0.1693413 -0.0152923
  0.1759457 -0.01527821
  0.1825448 -0.01526437
  0.1891268 -0.01524633
  0.195691 -0.01521965
  0.202247 -0.01518158
  0.2088065 -0.01513576
  0.2153755 -0.01508736
  0.2219535 -0.01504165
  0.2285338 -0.01500244
  0.2351085 -0.01496653
  0.2416732 -0.01492875
  0.2482279 -0.01488398
  0.2547768 -0.01482776
  0.2613258 -0.01476196
  0.2678797 -0.01469191
  0.2744405 -0.014623
  0.2810079 -0.01456063
  0.2875797 -0.01450657
  0.2941534 -0.01445684
  0.3007272 -0.01440693
  0.3073002 -0.0143523
  0.313872 -0.01428919
  0.3204431 -0.01421932
  0.3270145 -0.01414695
  0.3335873 -0.01407637
  0.3401632 -0.01401184
  0.3467443 -0.01395582
  0.3533318 -0.01390586
  0.3599263 -0.01385869
  0.3665271 -0.01381101
  0.3731327 -0.01375958
  0.3797405 -0.01370355
  0.3863485 -0.01364529
  0.3929552 -0.0135874
  0.3995597 -0.01353246
  0.4061619 -0.0134829
  0.4127624 -0.01343832
  0.4193616 -0.01339597
  0.4259602 -0.013353
  0.4325589 -0.01330659
  0.4391583 -0.01325415
  0.4457593 -0.01319622
  0.4523628 -0.01313531
