FX 76-MP-140
  1.0 0.0
  0.9978672 0.00212473
  0.9945866 0.003344812
  0.9912794 0.00471608
  0.9878171 0.006107763
  0.9840314 0.00748982
  0.9799167 0.008946136
  0.9755277 0.01047722
  0.9708704 0.01205042
  0.9658906 0.01368006
  0.9605525 0.01541077
  0.9548786 0.01726188
  0.9489119 0.01920684
  0.9426782 0.02122011
  0.9361927 0.0233047
  0.9294778 0.02547278
  0.9225599 0.02772251
  0.9154718 0.0300342
  0.9082576 0.03238575
  0.9009607 0.03476781
  0.8936028 0.03718113
  0.8861834 0.03962876
  0.8787027 0.04210665
  0.8711755 0.04460559
  0.8636259 0.04711692
  0.8560704 0.04963732
  0.8485118 0.05216772
  0.8409447 0.05470975
  0.8333671 0.05726244
  0.8257838 0.05982259
  0.818205 0.06238643
  0.8106416 0.06495125
  0.803103 0.06751479
  0.7955965 0.07007347
  0.7881251 0.07262008
  0.7806885 0.07514802
  0.7732834 0.077652
  0.7659078 0.08012944
  0.7585663 0.0825776
  0.7512712 0.0849914
  0.7440409 0.08736333
  0.7368903 0.0896828
  0.729822 0.09194198
  0.7228273 0.09413728
  0.7158881 0.09626872
  0.7089847 0.09834055
  0.7021035 0.1003566
  0.6952375 0.1023186
  0.6883855 0.1042264
  0.6815504 0.1060784
  0.6747323 0.1078731
  0.6679265 0.1096107
  0.6611236 0.111292
  0.65431 0.1129194
  0.6474735 0.1144971
  0.6406086 0.1160285
  0.6337176 0.1175152
  0.6268101 0.1189573
  0.6199012 0.1203519
  0.6130015 0.1216949
  0.6061134 0.1229837
  0.5992317 0.1242171
  0.5923437 0.1253955
  0.5854343 0.1265222
  0.5784939 0.1276009
  0.5715194 0.128634
  0.5645146 0.129623
  0.5574897 0.1305678
  0.5504546 0.1314665
  0.5434141 0.1323179
  0.5363672 0.1331214
  0.5293072 0.1338769
  0.522224 0.1345861
  0.5151112 0.1352513
  0.5079687 0.1358746
  0.500803 0.1364573
  0.4936269 0.1369999
  0.4864543 0.1375007
  0.4792927 0.1379573
  0.4721429 0.1383681
  0.4649986 0.138732
  0.4578488 0.139049
  0.4506852 0.1393208
  0.4435057 0.139549
  0.4363148 0.1397348
  0.4291238 0.1398794
  0.4219454 0.1399815
  0.414787 0.1400394
  0.4076489 0.1400513
  0.400525 0.1400155
  0.3934042 0.1399313
  0.386278 0.1397997
  0.3791446 0.1396219
  0.3720091 0.1393994
  0.3648832 0.1391338
  0.3577801 0.1388243
  0.3507063 0.1384692
  0.3436606 0.1380663
  0.3366345 0.1376132
  0.3296145 0.1371086
