FX 73-CL3-152
  1.0 0.0
  0.9963425 0.001519268
  0.9918387 0.002977142
  0.9871372 0.004506826
  0.982144 0.00606452
  0.9768566 0.007724945
  0.9712753 0.009477229
  0.9653898 0.01131286
  0.9591988 0.01324939
  0.9527072 0.01529383
  0.9459243 0.01743288
  0.9388717 0.01965345
  0.9315832 0.02195002
  0.9240969 0.02431721
  0.9164474 0.02675078
  0.9086572 0.02924963
  0.9007393 0.0318101
  0.8927071 0.03442609
  0.8845767 0.03709003
  0.8763663 0.03979278
  0.8680965 0.04252374
  0.8597884 0.04527004
  0.8514627 0.04801825
  0.8431391 0.05075648
  0.8348344 0.05347616
  0.8265609 0.05617065
  0.8183274 0.05883459
  0.8101438 0.06146247
  0.8020229 0.06404802
  0.7939773 0.06658309
  0.786012 0.06905882
  0.7781217 0.07146967
  0.7702931 0.07381362
  0.7625098 0.07609253
  0.7547555 0.07830883
  0.7470136 0.08046473
  0.7392678 0.08256387
  0.7315033 0.08461167
  0.723706 0.08661312
  0.7158621 0.08857282
  0.7079601 0.09049656
  0.6999917 0.09239029
  0.6919535 0.09425895
  0.6838465 0.09610626
  0.6756748 0.09793398
  0.6674438 0.09974331
  0.6591604 0.1015353
  0.6508321 0.1033105
  0.6424667 0.1050676
  0.6340711 0.1068057
  0.6256515 0.108524
  0.6172136 0.1102213
  0.6087615 0.1118966
  0.6002987 0.1135488
  0.5918276 0.1151772
  0.5833498 0.1167814
  0.5748671 0.1183613
  0.5663815 0.1199164
  0.5578954 0.1214464
  0.5494115 0.1229509
  0.5409338 0.1244289
  0.5324668 0.1258796
  0.5240163 0.1273017
  0.5155868 0.1286933
  0.5071807 0.1300525
  0.4987983 0.1313782
  0.4904378 0.1326694
  0.4820989 0.1339263
  0.4737836 0.1351486
  0.4654969 0.1363356
  0.4572456 0.1374862
  0.4490363 0.1385979
  0.4408738 0.1396689
  0.4327615 0.1406975
  0.4247015 0.1416825
  0.4166974 0.1426229
  0.4087549 0.1435177
  0.4008818 0.1443658
  0.3930873 0.1451652
  0.3853807 0.1459122
  0.3777704 0.1466036
  0.3702643 0.1472364
  0.3628692 0.1478077
  0.3555879 0.1483128
  0.3484179 0.1487474
  0.3413518 0.149108
  0.334379 0.1493916
  0.3274878 0.1495975
  0.3206685 0.1497256
  0.3139135 0.1497756
  0.3072166 0.1497472
  0.3005732 0.1496398
  0.2939789 0.1494537
  0.287429 0.149189
  0.2809186 0.1488455
  0.2744424 0.1484229
  0.2679953 0.1479221
  0.261575 0.147345
  0.2551813 0.1466935
  0.2488167 0.1459698
  0.2424859 0.1451758
