E. Bambino
  0.2509075 3.411549e-06
  0.2571604 2.987989e-06
  0.2634178 2.494565e-06
  0.2696805 1.965151e-06
  0.2759492 1.433799e-06
  0.2822241 9.34782e-07
  0.2885053 5.025965e-07
  0.2947925 1.719613e-07
  0.3010851 -2.227108e-08
  0.3073756 -6.176227e-08
  0.3136627 3.14056e-08
  0.3199474 2.293158e-07
  0.3262303 5.041735e-07
  0.3325123 8.28264e-07
  0.338794 1.173917e-06
  0.3450758 1.513479e-06
  0.3513583 1.819283e-06
  0.3576417 2.063638e-06
  0.3639265 2.218808e-06
  0.3702127 2.257011e-06
  0.3765005 2.150412e-06
  0.38279 1.87113e-06
  0.3890809 1.391249e-06
  0.3953733 6.828304e-07
  0.4016668 -2.817438e-07
  0.4079606 -1.495989e-06
  0.414254 -2.88996e-06
  0.4205471 -4.386994e-06
  0.4268402 -5.910457e-06
  0.4331335 -7.383707e-06
  0.439427 -8.730079e-06
  0.4457209 -9.872863e-06
  0.4520145 -1.073522e-05
  0.4583076 -1.124049e-05
  0.4646001 -1.131205e-05
  0.4708922 -1.087336e-05
  0.4771839 -9.847835e-06
  0.4834754 -8.15888e-06
  0.4897668 -5.729821e-06
  0.4960584 -2.483873e-06
  0.5023505 1.652834e-06
  0.5086434 6.613174e-06
  0.5149363 1.213232e-05
  0.521228 1.793012e-05
  0.5275183 2.37276e-05
  0.5338075 2.92462e-05
  0.5400954 3.420777e-05
  0.5463824 3.833449e-05
  0.5526687 4.134877e-05
  0.5589547 4.29731e-05
  0.5652407 4.292976e-05
  0.5715273 4.094062e-05
  0.5778153 3.672668e-05
  0.5841051 3.000776e-05
  0.5903978 2.050194e-05
  0.5966922 7.929459e-06
  0.6029831 -7.926309e-06
  0.6092694 -2.598634e-05
  0.6155502 -4.379074e-05
  0.6218249 -5.882587e-05
  0.628093 -6.859413e-05
  0.6343544 -7.061444e-05
  0.640609 -6.242131e-05
  0.6468572 -4.156275e-05
  0.6530994 -5.596879e-06
  0.6593362 4.791266e-05
  0.6655685 0.0001214025
  0.6717974 0.0002173164
  0.6780242 0.0003381137
  0.6842504 0.0004862784
  0.6904776 0.0006643305
  0.6967078 0.0008748377
  0.7029431 0.001120333
  0.7091858 0.00140085
  0.7154382 0.001713681
  0.7217016 0.002055957
  0.727977 0.002424771
  0.7342513 0.002816278
  0.7405125 0.003226519
  0.7467617 0.00365234
  0.7530009 0.00409068
  0.7592325 0.004538565
  0.7654595 0.004993098
  0.7716857 0.005451452
  0.7779153 0.005910854
  0.784153 0.006368569
  0.7904044 0.006821878
  0.7966748 0.007267987
  0.8029365 0.007701859
  0.8091662 0.008121266
  0.8153593 0.008527806
  0.8215132 0.008923313
  0.8276275 0.009309694
  0.8337035 0.0096889
  0.8397445 0.01006292
  0.8457548 0.01043376
  0.8517408 0.01080348
  0.8577097 0.01117416
  0.8636705 0.01154798
  0.8696336 0.01192721
  0.8756109 0.01231428
  0.8816164 0.01271181
  0.8876666 0.01312274
  0.8937806 0.01355039
  0.8999815 0.01399864
  0.9062139 0.01446503
  0.9123246 0.01493608
  0.9183194 0.01540915
  0.9242256 0.01588368
  0.930081 0.01636033
  0.9359352 0.01684096
  0.9418527 0.01732883
  0.9479213 0.01782908
  0.9540941 0.01833558
  0.9599239 0.01881096
  0.9653509 0.01925087
  0.9703863 0.01965678
  0.9750597 0.02003157
  0.9794056 0.02037841
  0.9834595 0.02070048
  0.9872546 0.02100072
  0.9908209 0.02128173
  0.9941847 0.02154579
  0.9973688 0.02179485
  1.0 0.022
