HSNLF(1)-0213 AIRFOIL
  0.1957835 -0.04217241
  0.2025636 -0.0427292
  0.2093613 -0.04327114
  0.2161703 -0.04379812
  0.2229858 -0.04431009
  0.2298047 -0.04480713
  0.2366254 -0.04528914
  0.243448 -0.0457559
  0.2502734 -0.04620722
  0.2571036 -0.04664313
  0.2639408 -0.04706429
  0.2707852 -0.04747141
  0.2776359 -0.04786515
  0.2844904 -0.04824579
  0.2913465 -0.0486132
  0.2982032 -0.04896725
  0.3050606 -0.0493079
  0.3119193 -0.04963518
  0.3187791 -0.04994917
  0.3256387 -0.05024988
  0.3324957 -0.0505372
  0.3393484 -0.05081051
  0.3461966 -0.05106919
  0.3530423 -0.05131268
  0.3598888 -0.05154089
  0.3667385 -0.05175434
  0.373592 -0.05195353
  0.3804478 -0.05213886
  0.3873038 -0.05231031
  0.3941583 -0.05246764
  0.4010113 -0.05261065
  0.4078638 -0.05273918
  0.4147165 -0.05285325
  0.4215689 -0.05295289
  0.4284192 -0.0530381
  0.4352647 -0.05310851
  0.4421045 -0.05316328
  0.4489407 -0.05320158
  0.455778 -0.05322272
  0.4626224 -0.05322746
  0.469479 -0.05321735
  0.4763513 -0.05319389
  0.4832406 -0.05315858
  0.4901445 -0.05311283
  0.4970543 -0.05305814
  0.5039553 -0.05299598
  0.5108299 -0.05292516
  0.517669 -0.05284146
  0.5244747 -0.05274055
  0.5312597 -0.0526185
  0.5380399 -0.05247492
  0.5448245 -0.05231093
  0.5516148 -0.05212781
  0.5584046 -0.05192651
  0.5651867 -0.05170667
  0.5719575 -0.05146762
  0.5787174 -0.05120862
  0.585469 -0.05092911
  0.5922124 -0.05062894
  0.5989432 -0.05030822
  0.6056527 -0.04996708
  0.6123311 -0.04960378
  0.6189725 -0.04921546
  0.6255758 -0.04879911
  0.6321441 -0.04835191
  0.6386815 -0.04787244
  0.6451905 -0.04735974
  0.6516715 -0.04681298
  0.6581226 -0.04623157
  0.6645363 -0.04561549
  0.6708973 -0.04496574
  0.6771842 -0.0442844
  0.6833642 -0.04357236
  0.6893844 -0.04282233
  0.6952336 -0.04201734
  0.7009569 -0.04113473
  0.7066378 -0.0401513
  0.7123598 -0.03906244
  0.7181721 -0.03787096
  0.7240831 -0.03658766
  0.7300509 -0.03523764
  0.7360106 -0.0338635
  0.7419289 -0.03250637
  0.7478121 -0.03119718
  0.7537027 -0.02995688
  0.7596605 -0.02878191
  0.7657308 -0.02765468
  0.7719356 -0.02656197
  0.7782677 -0.02549483
  0.7846955 -0.02444677
  0.7911948 -0.02341569
  0.7977468 -0.02240273
  0.8043353 -0.02140844
  0.8109483 -0.02043403
  0.8175785 -0.01948104
  0.8242239 -0.0185502
  0.8308842 -0.0176417
  0.8375574 -0.0167556
  0.8442433 -0.01589152
  0.8509456 -0.01504869
  0.8576705 -0.01422539
  0.8644235 -0.01341844
  0.8712057 -0.0126248
  0.8780143 -0.01184189
  0.884842 -0.01106848
  0.8916798 -0.01030467
  0.8985175 -0.009550697
  0.9053437 -0.008807104
  0.9121474 -0.008076522
  0.9189182 -0.007362413
  0.9256471 -0.006668161
  0.9323244 -0.005997759
  0.9389409 -0.005353789
  0.9454922 -0.0047379
  0.9519778 -0.00415121
  0.9583945 -0.003595266
  0.9647073 -0.003074478
  0.9708446 -0.00259529
  0.9767188 -0.002163689
  0.982259 -0.001780328
  0.9874355 -0.001439602
  0.9922108 -0.001138017
  0.9965592 -0.0008730595
  1.0 -0.0006699
