Eh 1.0/7.0
  0.2918841 -0.02517508
  0.297736 -0.02522513
  0.3035912 -0.02527025
  0.30945 -0.02531123
  0.3153115 -0.0253489
  0.321174 -0.02538383
  0.3270353 -0.02541572
  0.3328944 -0.02544399
  0.3387508 -0.02546811
  0.3446049 -0.02548751
  0.350458 -0.02550175
  0.3563116 -0.02551095
  0.3621665 -0.02551547
  0.3680233 -0.02551566
  0.3738817 -0.02551188
  0.3797409 -0.02550445
  0.3855999 -0.0254933
  0.3914579 -0.02547817
  0.3973144 -0.02545877
  0.4031697 -0.02543482
  0.409024 -0.02540604
  0.414878 -0.02537236
  0.4207325 -0.02533388
  0.4265876 -0.02529075
  0.4324435 -0.02524311
  0.4382998 -0.02519109
  0.4441562 -0.02513476
  0.4500121 -0.025074
  0.4558673 -0.02500868
  0.4617217 -0.02493864
  0.4675755 -0.02486375
  0.4734291 -0.02478387
  0.4792827 -0.02469902
  0.4851368 -0.02460928
  0.4909912 -0.02451472
  0.4968458 -0.02441543
  0.5027003 -0.02431148
  0.5085543 -0.02420284
  0.5144073 -0.02408932
  0.5202592 -0.0239707
  0.5261103 -0.02384678
  0.5319607 -0.02371735
  0.537811 -0.02358229
  0.5436618 -0.02344174
  0.5495133 -0.02329592
  0.5553657 -0.02314504
  0.5612188 -0.02298933
  0.5670724 -0.02282898
  0.5729259 -0.02266401
  0.5787791 -0.02249432
  0.5846316 -0.02231983
  0.5904834 -0.02214043
  0.5963344 -0.02195603
  0.6021846 -0.02176652
  0.6080342 -0.02157179
  0.6138831 -0.02137173
  0.6197315 -0.02116622
  0.6255796 -0.02095515
  0.6314275 -0.02073846
  0.6372754 -0.02051623
  0.6431234 -0.02028855
  0.6489717 -0.02005552
  0.6548202 -0.01981723
  0.660669 -0.01957377
  0.6665183 -0.01932522
  0.6723677 -0.01907164
  0.6782171 -0.01881311
  0.6840661 -0.01854972
  0.6899144 -0.01828153
  0.6957617 -0.01800851
  0.7016079 -0.01773058
  0.7074537 -0.01744767
  0.7132998 -0.01715964
  0.7191475 -0.01686649
  0.7249976 -0.01656856
  0.7308501 -0.01626633
