AH 94-145
  1.0002 -0.00161
  0.996814 -0.0008495647
  0.9926364 0.0001219555
  0.9881356 0.001209815
  0.9832843 0.002423273
  0.9780656 0.003759564
  0.9724838 0.005204424
  0.9665735 0.006742274
  0.9603884 0.008359848
  0.9539811 0.01004397
  0.9473903 0.01178514
  0.9406492 0.01357529
  0.9337877 0.01540712
  0.9268294 0.01727427
  0.9197939 0.01917031
  0.9126984 0.02108918
  0.905557 0.0230259
  0.8983812 0.02497681
  0.89118 0.02693902
  0.8839595 0.02891044
  0.8767244 0.03088963
  0.8694779 0.03287546
  0.8622224 0.03486709
  0.8549592 0.03686392
  0.8476887 0.0388656
  0.8404107 0.04087167
  0.8331254 0.04288102
  0.8258346 0.04489208
  0.8185414 0.04690356
  0.8112489 0.04891516
  0.803959 0.05092693
  0.7966727 0.05293909
  0.7893908 0.0549518
  0.7821141 0.05696515
  0.7748432 0.05897827
  0.7675777 0.06098931
  0.7603165 0.06299664
  0.7530586 0.06500065
  0.7458044 0.06700362
  0.7385555 0.06900748
  0.7313135 0.0710116
  0.7240788 0.07301313
  0.71685 0.07500957
  0.7096263 0.07699999
  0.7024106 0.07898396
  0.6952103 0.08095984
  0.6880346 0.08292387
  0.6808902 0.08487183
  0.67378 0.0868005
  0.6667048 0.08870752
  0.6596664 0.09059046
  0.6526681 0.09244652
  0.645714 0.09427191
  0.6388078 0.09606254
  0.631953 0.09781449
  0.6251508 0.09952377
  0.6183974 0.1011873
  0.6116842 0.1028038
  0.6050029 0.1043737
  0.5983511 0.1058972
  0.5917319 0.107373
  0.5851487 0.1087974
  0.5786004 0.1101676
  0.5720809 0.111482
  0.565582 0.1127408
  0.5590951 0.1139445
  0.5526113 0.1150941
  0.5461251 0.1161916
  0.539636 0.1172383
  0.5331478 0.1182343
  0.5266632 0.1191779
  0.5201811 0.1200678
  0.5136968 0.120904
  0.5072051 0.1216875
  0.5007007 0.1224195
  0.4941797 0.1231011
  0.4876433 0.1237341
  0.4810993 0.1243194
  0.4745584 0.1248558
  0.4680239 0.1253404
  0.4614879 0.1257714
  0.4549375 0.1261501
  0.4483687 0.1264798
  0.44179 0.126763
  0.4352157 0.1269983
  0.4286512 0.1271828
  0.4220905 0.127314
  0.4155219 0.1273925
