74-130 WP2
  0.2566013 -0.02450203
  0.2628591 -0.02462156
  0.2691148 -0.02473523
  0.2753681 -0.02484275
  0.28162 -0.02494381
  0.2878722 -0.02503841
  0.2941261 -0.02512683
  0.3003823 -0.02520938
  0.3066409 -0.02528633
  0.312901 -0.02535793
  0.3191616 -0.02542422
  0.3254217 -0.02548507
  0.331681 -0.0255404
  0.3379393 -0.0255901
  0.3441972 -0.02563409
  0.3504552 -0.02567247
  0.3567139 -0.02570543
  0.362974 -0.02573313
  0.369236 -0.02575576
  0.3755005 -0.02577349
  0.3817676 -0.02578656
  0.3880373 -0.02579524
  0.3943089 -0.0257998
  0.4005812 -0.0258005
  0.4068525 -0.02579757
  0.4131211 -0.02579075
  0.4193859 -0.02577953
  0.4256467 -0.02576338
  0.4319041 -0.02574175
  0.4381595 -0.02571414
  0.4444148 -0.02568046
  0.4506715 -0.02564096
  0.4569304 -0.02559594
  0.4631918 -0.02554568
  0.4694552 -0.02549046
  0.4757195 -0.02543043
  0.4819836 -0.02536547
  0.4882467 -0.02529547
  0.4945084 -0.0252203
  0.5007682 -0.02513983
  0.5070261 -0.02505393
  0.5132822 -0.02496239
  0.5195367 -0.02486502
  0.5257897 -0.02476159
  0.5320418 -0.02465192
  0.5382934 -0.0245358
  0.5445448 -0.02441317
  0.5507962 -0.024284
  0.5570474 -0.02414829
  0.5632979 -0.02400602
  0.569547 -0.02385717
  0.5757936 -0.02370151
  0.5820373 -0.02353866
  0.5882778 -0.02336823
  0.5945154 -0.02318983
  0.6007506 -0.02300305
  0.6069841 -0.02280761
  0.6132165 -0.02260333
  0.6194476 -0.02239007
  0.6256771 -0.02216771
  0.6319038 -0.02193611
  0.6381264 -0.02169483
  0.6443432 -0.02144295
  0.6505527 -0.02117953
  0.6567533 -0.02090367
  0.6629433 -0.02061447
  0.6691211 -0.02031063
  0.6752854 -0.01999025
  0.6814348 -0.01965143
  0.6875683 -0.01929227
  0.6936854 -0.01891091
  0.6997855 -0.01850553
  0.7058691 -0.01807431
  0.7119372 -0.01761537
  0.7179923 -0.01712676
  0.7240374 -0.01660647
  0.7300766 -0.01605376
  0.7361147 -0.01546926
  0.7421573 -0.01485348
  0.7482103 -0.01420678
  0.7542805 -0.01352949
  0.7603744 -0.01282365
  0.7664947 -0.01209275
  0.7726397 -0.01134092
  0.778803 -0.01057302
  0.7849737 -0.009795157
  0.7911414 -0.009014821
  0.7972986 -0.008239316
  0.8034415 -0.007475439
  0.8095694 -0.006729023
  0.8156837 -0.00600269
  0.8217875 -0.00529774
  0.8278856 -0.004615307
  0.8339841 -0.003956288
  0.8400884 -0.003320432
  0.846199 -0.002707297
  0.8523103 -0.002116991
  0.8584116 -0.001550422
  0.8644919 -0.001011153
  0.8705481 -0.000503135
  0.8765856 -2.951531e-05
  0.8826164 0.0004079613
  0.8886501 0.0008098997
  0.8946867 0.00117662
  0.9007162 0.001507708
  0.9067261 0.001800298
  0.9127137 0.002050679
  0.9186894 0.002255806
  0.924671 0.002416008
  0.9306696 0.0025345
  0.9366848 0.002614133
  0.9427051 0.002655819
  0.9487088 0.002659342
  0.9546668 0.002622918
  0.9605575 0.002538134
  0.9663779 0.002396471
  0.9721288 0.002195679
  0.9777912 0.001937648
  0.9832737 0.00163096
  0.9883898 0.001290843
  0.9930246 0.0009221273
  0.9970486 0.0005268412
  1.0 0.0
