AH 79-K-143/18
  0.2030883 -0.03766061
  0.210135 -0.03799008
  0.217156 -0.03830437
  0.2241605 -0.03860055
  0.2311738 -0.03887865
  0.2382171 -0.03914261
  0.2452958 -0.03939616
  0.2523984 -0.03964249
  0.2595002 -0.039882
  0.2665828 -0.04011168
  0.273643 -0.04032878
  0.2806932 -0.04053107
  0.2877572 -0.04071865
  0.2948543 -0.04089534
  0.3019894 -0.04106504
  0.3091521 -0.04123138
  0.3163169 -0.04139625
  0.3234594 -0.04155659
  0.3305691 -0.04170875
  0.3376502 -0.04184949
  0.34472 -0.04197631
  0.3518006 -0.04209038
  0.3589053 -0.04219446
  0.3660361 -0.04229113
  0.3731833 -0.04238282
  0.380328 -0.04247005
  0.3874555 -0.04255069
  0.3945606 -0.04262262
  0.4016482 -0.04268383
  0.4087317 -0.04273283
  0.4158261 -0.04277062
  0.4229386 -0.04279899
  0.4300673 -0.04281972
  0.4372007 -0.04283454
  0.4443209 -0.04284348
  0.4514144 -0.04284394
  0.4584781 -0.04283324
  0.4655186 -0.04280872
  0.4725515 -0.04276802
  0.479595 -0.04271161
  0.4866595 -0.04264151
  0.4937451 -0.04255981
  0.5008413 -0.0424688
  0.5079284 -0.04236974
  0.5149892 -0.04226047
  0.5220182 -0.04213823
  0.5290215 -0.04200009
  0.5360161 -0.041843
  0.5430257 -0.04166656
  0.550067 -0.04147353
  0.5571444 -0.04126718
  0.564249 -0.04105123
  0.5713589 -0.04082923
  0.5784488 -0.04060033
  0.5855051 -0.04036171
  0.5925271 -0.04011026
  0.5995262 -0.03984248
  0.6065229 -0.03955617
  0.6135335 -0.03925215
  0.6205624 -0.03893198
  0.6276019 -0.03859779
  0.634632 -0.03825205
  0.6416305 -0.03789413
  0.6485894 -0.03752119
  0.6555171 -0.03712956
  0.6624375 -0.03671465
  0.6693863 -0.03627363
  0.6763893 -0.03580958
  0.6834474 -0.03532789
  0.6905334 -0.03483621
  0.6975921 -0.03434257
  0.704571 -0.03384484
  0.7114555 -0.03333529
  0.7182676 -0.03280414
  0.7250605 -0.03223961
  0.731901 -0.03163734
  0.7388222 -0.03100289
  0.7458043 -0.03034728
  0.7527679 -0.02968755
  0.7596012 -0.02903089
  0.7662488 -0.02836381
  0.7727295 -0.02766744
  0.7791154 -0.02691861
  0.7855146 -0.0260977
  0.7920188 -0.02520513
  0.7986624 -0.02425106
  0.8054044 -0.02325832
  0.8121244 -0.02225372
  0.8187175 -0.02123761
  0.8251642 -0.02019606
  0.8315153 -0.01910566
  0.8378695 -0.0179472
  0.8443182 -0.01672421
  0.8509133 -0.01545006
  0.8576559 -0.01414941
  0.8644909 -0.01284131
  0.8713345 -0.01153573
  0.8780938 -0.0102441
  0.8846909 -0.008988451
  0.8911111 -0.007797438
