NACA M3
  1.0 0.002
  0.9964894 0.002525788
  0.9922511 0.003157899
  0.9877917 0.003819829
  0.9830924 0.004513888
  0.9781341 0.005242313
  0.9728989 0.006007076
  0.9673725 0.006809569
  0.9615467 0.007650171
  0.9554242 0.00852767
  0.9490229 0.009438613
  0.9423805 0.01037689
  0.935549 0.0113345
  0.9285862 0.01230292
  0.9215477 0.01327412
  0.9144805 0.01424157
  0.9074176 0.01520077
  0.9003765 0.01614948
  0.8933594 0.01708752
  0.8863607 0.01801563
  0.8793745 0.01893448
  0.8723958 0.01984465
  0.8654201 0.0207466
  0.8584434 0.02164071
  0.8514625 0.02252727
  0.8444746 0.02340647
  0.8374773 0.02427844
  0.8304691 0.02514321
  0.8234488 0.02600075
  0.8164157 0.02685096
  0.80937 0.02769363
  0.8023121 0.02852853
  0.7952433 0.02935533
  0.7881652 0.0301738
  0.7810794 0.03098375
  0.7739874 0.03178506
  0.7668908 0.03257758
  0.7597907 0.03336121
  0.7526885 0.03413586
  0.7455852 0.03490145
  0.7384818 0.03565793
  0.7313793 0.03640527
  0.7242784 0.03714343
  0.7171797 0.03787242
  0.7100838 0.03859224
  0.7029912 0.03930292
  0.6959021 0.04000446
  0.6888168 0.04069674
  0.6817354 0.04137946
  0.674658 0.04205233
  0.6675845 0.04271509
  0.6605148 0.04336747
  0.6534489 0.0440092
  0.6463866 0.04464003
  0.6393275 0.0452597
  0.6322714 0.04586798
  0.6252179 0.04646461
  0.6181666 0.04704937
  0.6111169 0.04762201
  0.6040683 0.0481823
  0.5970202 0.04873002
  0.589972 0.04926507
  0.582923 0.04978753
  0.5758729 0.05029748
  0.5688212 0.05079498
  0.5617678 0.05128007
  0.5547125 0.05175282
  0.5476552 0.05221326
  0.540596 0.05266141
  0.5335351 0.0530973
  0.5264727 0.05352096
  0.5194092 0.05393239
  0.512345 0.05433161
  0.5052808 0.05471863
  0.4982172 0.05509346
  0.4911549 0.05545599
  0.4840948 0.0558059
  0.4770374 0.05614286
  0.4699832 0.05646655
  0.4629328 0.05677665
  0.4558865 0.05707286
  0.4488446 0.05735488
  0.4418071 0.05762241
  0.4347744 0.05787517
  0.4277462 0.05811288
  0.4207226 0.05833526
  0.4137034 0.05854204
  0.4066883 0.05873294
  0.399677 0.05890769
  0.392669 0.05906604
  0.385664 0.05920773
  0.3786617 0.05933254
  0.3716619 0.05944024
  0.3646646 0.05953058
  0.3576698 0.05960332
  0.3506777 0.05965822
  0.3436886 0.05969505
  0.3367028 0.05971356
  0.3297207 0.05971353
  0.3227431 0.05969472
  0.3157705 0.05965692
  0.3088037 0.05959992
  0.3018437 0.05952353
  0.2948915 0.05942751
  0.287948 0.05931126
  0.2810144 0.05917401
  0.2740917 0.05901498
  0.2671807 0.05883341
  0.2602823 0.05862858
  0.2533973 0.05839974
  0.2465262 0.0581462
