FX 79-L-120
  0.187447 -0.05444399
  0.1941577 -0.05500249
  0.2008865 -0.05553104
  0.2076325 -0.05603037
  0.2143936 -0.05650122
  0.2211671 -0.05694427
  0.2279492 -0.05736008
  0.2347362 -0.05774852
  0.2415265 -0.05810925
  0.2483202 -0.05844206
  0.2551195 -0.05874692
  0.261927 -0.0590244
  0.2687439 -0.05927535
  0.275569 -0.0595005
  0.2823993 -0.05970054
  0.2892302 -0.05987543
  0.2960581 -0.0600245
  0.3028812 -0.06014715
  0.3096992 -0.06024282
  0.3165133 -0.06031111
  0.3233254 -0.06035195
  0.3301369 -0.06036533
  0.3369488 -0.06035118
  0.343762 -0.06030944
  0.3505771 -0.0602402
  0.3573941 -0.06014365
  0.3642129 -0.06001998
  0.3710328 -0.05986941
  0.377853 -0.0596921
  0.3846729 -0.05948805
  0.3914926 -0.0592572
  0.398313 -0.05899945
  0.405136 -0.05871468
  0.4119636 -0.05840302
  0.418798 -0.05806506
  0.4256402 -0.05770144
  0.4324905 -0.05731284
  0.439348 -0.05689997
  0.4462118 -0.05646337
  0.4530808 -0.05600344
  0.4599545 -0.05552058
  0.4668326 -0.05501514
  0.4737155 -0.05448749
  0.4806037 -0.05393802
  0.4874979 -0.05336712
  0.4943989 -0.05277517
  0.501308 -0.0521625
  0.5082263 -0.0515296
  0.5151553 -0.05087726
  0.5220962 -0.05020633
  0.5290501 -0.04951768
  0.5360181 -0.04881219
  0.5430011 -0.04809084
  0.5499991 -0.04735477
  0.5570119 -0.04660521
  0.5640379 -0.0458435
  0.5710751 -0.04507102
  0.5781213 -0.0442887
  0.5851757 -0.04349713
  0.5922385 -0.04269676
  0.5993115 -0.0418879
  0.6063977 -0.04107099
  0.6134993 -0.04024713
  0.6206164 -0.03941774
  0.6277472 -0.03858448
  0.6348875 -0.03774917
  0.6420323 -0.03691269
  0.6491773 -0.03607529
  0.6563199 -0.03523706
  0.6634585 -0.03439793
  0.6705929 -0.03355822
  0.6777235 -0.03271894
  0.6848504 -0.0318811
  0.6919742 -0.03104575
  0.699095 -0.03021372
  0.7062129 -0.02938535
  0.7133277 -0.02856089
  0.7204389 -0.02774065
  0.7275458 -0.02692497
  0.7346476 -0.02611438
  0.7417446 -0.02530937
  0.7488377 -0.02451037
  0.7559284 -0.02371761
  0.7630187 -0.02293088
  0.7701099 -0.02214977
  0.7772027 -0.021374
  0.7842974 -0.02060332
  0.7913931 -0.01983775
  0.7984875 -0.01907753
  0.8055763 -0.01832303
  0.8126545 -0.01757523
  0.8197189 -0.01683597
  0.8267712 -0.01610679
  0.8338168 -0.01538867
  0.8408633 -0.01468098
  0.8479146 -0.0139823
  0.8549693 -0.01329169
  0.8620218 -0.01260917
  0.8690672 -0.01193588
  0.8761036 -0.01127282
  0.8831325 -0.01062042
  0.890154 -0.009978409
  0.8971632 -0.009346743
  0.9041506 -0.0087261
  0.9111054 -0.008118231
  0.9180176 -0.007524869
  0.9248765 -0.006946346
  0.9316586 -0.006381827
  0.9383252 -0.005831616
  0.9448236 -0.00529734
  0.9510903 -0.004781918
  0.9570632 -0.004292793
  0.9626868 -0.00384064
  0.9679218 -0.003425717
  0.9727514 -0.003030876
  0.9771855 -0.002650461
  0.981254 -0.002326034
  0.9849838 -0.002089157
  0.9883949 -0.001858897
  0.9915457 -0.001513307
  0.9945887 -0.001199408
  0.9976443 -0.001199761
  1.0 0.0
