SOKOLOV AIRFOIL
  0.2410978 0.01622553
  0.247519 0.01696661
  0.253936 0.01769605
  0.2603542 0.01841478
  0.2667786 0.01912474
  0.2732125 0.01982774
  0.2796585 0.02052543
  0.2861178 0.02121936
  0.2925902 0.02191096
  0.2990746 0.02260154
  0.305568 0.02329199
  0.3120607 0.0239808
  0.3185504 0.02466665
  0.3250399 0.02534873
  0.3315317 0.02602623
  0.338028 0.02669825
  0.3445221 0.02736303
  0.3510092 0.02801899
  0.3574878 0.02866492
  0.3639568 0.02929968
  0.3704153 0.02992216
  0.3768626 0.03053128
  0.3832984 0.03112603
  0.3897226 0.0317054
  0.3961351 0.03226845
  0.4025363 0.03281425
  0.4089266 0.03334197
  0.4153065 0.03385088
  0.4216764 0.03434026
  0.4280371 0.03480941
  0.4343892 0.03525763
  0.4407336 0.03568423
  0.4470713 0.03608851
  0.4534032 0.03646977
  0.4597304 0.03682731
  0.4660542 0.03716043
  0.4723759 0.03746839
  0.4786968 0.03775048
  0.4850184 0.03800592
  0.4913425 0.03823395
  0.4976705 0.03843376
  0.5040045 0.03860459
  0.5103462 0.03874684
  0.5166972 0.03886167
  0.5230587 0.03895026
  0.5294318 0.03901375
  0.5358171 0.0390533
  0.542215 0.03907007
  0.5486254 0.03906521
  0.555048 0.03903992
  0.561482 0.03899538
  0.5679265 0.03893282
  0.5743799 0.03885351
  0.5808404 0.03875872
  0.5873059 0.03864977
  0.5937737 0.03852802
  0.600241 0.03839485
  0.6067045 0.03825119
  0.6131609 0.0380963
  0.6196077 0.03792909
  0.6260429 0.03774848
  0.6324649 0.03755337
  0.6388729 0.03734272
  0.6452665 0.03711545
  0.6516458 0.03687049
  0.6580116 0.03660676
  0.664365 0.03632316
  0.6707077 0.03601856
  0.6770419 0.03569179
  0.6833701 0.03534164
  0.6896954 0.03496681
  0.6960215 0.03456595
  0.7023524 0.0341376
  0.7086927 0.03368142
  0.7150467 0.03319866
  0.7214177 0.03269074
  0.7278083 0.03215913
  0.7342204 0.03160536
  0.7406548 0.03103107
  0.7471114 0.03043805
  0.7535892 0.02982818
  0.7600854 0.02920358
  0.7665785 0.02856828
  0.7730591 0.02792525
  0.7795326 0.02727596
  0.7860058 0.02662176
  0.7924861 0.02596389
  0.7989802 0.02530364
  0.8054606 0.02464545
  0.811907 0.02399056
  0.818313 0.02333788
  0.8246748 0.02268613
  0.8309911 0.02203383
  0.8372627 0.02137937
  0.8434924 0.02072098
  0.8496848 0.02005675
  0.8558461 0.01938461
  0.8619841 0.01870231
  0.8681081 0.01800741
  0.8742289 0.01729718
  0.8803594 0.01656859
  0.8865143 0.01581817
  0.8927109 0.01504193
  0.8989697 0.01423513
  0.9053148 0.01339267
  0.9117522 0.01251522
  0.9181277 0.01162756
  0.9244121 0.01073828
  0.9306433 0.00984624
  0.9368734 0.008947813
