EH 2.0/12
  0.2153387 -0.03841072
  0.221857 -0.03862439
  0.2283814 -0.0388283
  0.2349118 -0.03902303
  0.2414474 -0.03920901
  0.2479873 -0.03938654
  0.2545301 -0.03955592
  0.2610741 -0.03971741
  0.2676173 -0.0398711
  0.2741586 -0.04001668
  0.2806983 -0.04015388
  0.2872377 -0.04028242
  0.2937792 -0.04040222
  0.3003251 -0.04051378
  0.3068763 -0.04061772
  0.3134319 -0.04071466
  0.3199894 -0.04080511
  0.3265456 -0.04088901
  0.3330983 -0.04096582
  0.3396467 -0.04103503
  0.3461918 -0.04109615
  0.3527356 -0.04114887
  0.3592802 -0.04119335
  0.3658266 -0.04122981
  0.3723748 -0.04125848
  0.3789233 -0.04127957
  0.3854703 -0.04129299
  0.3920141 -0.04129834
  0.3985543 -0.04129522
  0.4050912 -0.04128325
  0.4116261 -0.04126206
  0.4181605 -0.04123162
  0.4246956 -0.04119204
  0.4312314 -0.04114342
  0.4377676 -0.04108587
  0.4443028 -0.04101944
  0.450836 -0.0409439
  0.4573665 -0.040859
  0.4638942 -0.04076447
  0.4704199 -0.04066002
  0.4769446 -0.04054547
  0.4834692 -0.04042082
  0.4899938 -0.04028609
  0.496518 -0.04014135
  0.5030407 -0.03998663
  0.5095605 -0.0398218
  0.5160762 -0.03964648
  0.5225879 -0.03946027
  0.5290964 -0.03926273
  0.5356032 -0.03905344
  0.5421104 -0.03883236
  0.5486194 -0.03859975
  0.5551306 -0.0383559
  0.5616436 -0.03810112
  0.5681571 -0.03783573
  0.5746695 -0.03755969
  0.5811796 -0.03727283
  0.5876869 -0.03697493
  0.5941915 -0.03666575
  0.6006941 -0.03634509
  0.6071953 -0.03601285
  0.6136957 -0.03566897
  0.6201953 -0.03531343
  0.6266939 -0.03494619
  0.6331911 -0.03456724
  0.6396866 -0.03417652
  0.6461808 -0.03377394
  0.6526743 -0.03335939
  0.6591681 -0.03293274
  0.6656634 -0.03249409
  0.6721609 -0.03204372
  0.6786602 -0.03158197
  0.6851605 -0.0311092
  0.6916601 -0.03062575
  0.6981577 -0.03013157
  0.7046533 -0.02962653
  0.7111477 -0.02911039
  0.7176433 -0.02858285
  0.7241422 -0.02804406
  0.7306454 -0.02749451
  0.7371521 -0.02693485
  0.7436595 -0.02636588
  0.750164 -0.02578799
  0.7566634 -0.02520082
  0.7631583 -0.02460373
  0.7696519 -0.02399583
  0.7761496 -0.02337664
  0.7826555 -0.02274687
  0.7891704 -0.02210768
  0.7956916 -0.02146056
  0.8022139 -0.02080671
  0.8087332 -0.02014606
  0.8152492 -0.01947809
  0.8217654 -0.0188019
  0.8282877 -0.01811728
  0.83482 -0.01742521
  0.8413618 -0.01672721
  0.8479089 -0.01602498
  0.8544559 -0.01531908
  0.8610004 -0.01460927
  0.8675435 -0.01389495
  0.874089 -0.01317579
  0.8806393 -0.01245228
  0.8871938 -0.01172522
  0.8937498 -0.01099608
  0.9003056 -0.01026686
  0.9068614 -0.009539375
  0.9134192 -0.008814183
  0.9199783 -0.008090509
  0.9265342 -0.007367962
  0.9330789 -0.006647413
  0.9396021 -0.005930568
  0.9460908 -0.005219542
  0.9525282 -0.004517137
  0.9588915 -0.003826704
  0.965136 -0.003153577
  0.9711903 -0.002508906
  0.9769891 -0.001912849
  0.9824859 -0.00137825
  0.9876269 -0.0009092184
  0.9923518 -0.0005117777
  0.9966272 -0.0002036881
  1.0 0.0
