M6 (85%)     
  1.0 0.0
  0.9968662 0.0004419223
  0.9930742 0.000973843
  0.9890719 0.001531918
  0.9848373 0.00211866
  0.9803462 0.002736733
  0.9755735 0.003388835
  0.9704941 0.004077484
  0.965086 0.004804634
  0.9593346 0.005571085
  0.9532394 0.006375633
  0.9468226 0.007214097
  0.9401337 0.008079521
  0.9332421 0.008963624
  0.9262262 0.00985756
  0.9192017 0.0107482
  0.9121762 0.01163639
  0.9051412 0.01252502
  0.8981502 0.01340913
  0.8912009 0.01429013
  0.884282 0.01516945
  0.8773833 0.01604823
  0.870496 0.01692747
  0.8636123 0.01780804
  0.8567258 0.01869065
  0.8498308 0.01957592
  0.8429228 0.02046431
  0.8359983 0.02135619
  0.8290546 0.02225177
  0.8220902 0.02315115
  0.8151046 0.02405428
  0.8080986 0.02496096
  0.8010738 0.02587085
  0.7940336 0.0267834
  0.7869929 0.02769649
  0.7799606 0.02860872
  0.7729336 0.0295203
  0.765909 0.03043136
  0.7588844 0.03134203
  0.7518575 0.03225236
  0.7448264 0.03316239
  0.7377896 0.0340721
  0.7307459 0.0349814
  0.7237029 0.03588911
  0.7166679 0.03679407
  0.709641 0.03769604
  0.7026221 0.03859483
  0.6956106 0.0394903
  0.688606 0.04038219
  0.6816074 0.0412702
  0.6746144 0.04215398
  0.6676264 0.04303318
  0.6606431 0.04390743
  0.6536644 0.04477638
  0.6466899 0.04563962
  0.6397198 0.04649677
  0.632754 0.04734741
  0.6257928 0.04819112
  0.6188364 0.04902749
  0.6118852 0.04985606
  0.6049396 0.0506764
  0.5980003 0.05148806
  0.5910678 0.05229046
  0.5841429 0.05308287
  0.5772259 0.05386452
  0.5703174 0.05463468
  0.5634176 0.05539265
  0.5565269 0.05613772
  0.5496453 0.05686922
  0.542773 0.05758649
  0.53591 0.05828888
  0.5290561 0.05897575
  0.5222114 0.0596465
  0.5153754 0.06030051
  0.5085479 0.06093719
  0.5017285 0.06155597
  0.4949168 0.06215627
  0.4881123 0.06273769
  0.4813146 0.06329989
  0.4745233 0.06384252
  0.4677381 0.06436523
  0.4609586 0.06486768
  0.4541845 0.06534951
  0.4474153 0.06581037
  0.4406509 0.06624989
  0.4338908 0.06666772
  0.4271349 0.0670635
  0.4203828 0.06743685
  0.4136342 0.0677874
  0.406889 0.06811479
  0.4001469 0.06841864
  0.3934077 0.06869856
  0.3866712 0.06895413
  0.3799377 0.06918489
  0.3732072 0.0693904
  0.3664801 0.06957023
  0.359757 0.06972391
  0.3530383 0.06985102
  0.3463248 0.06995113
  0.3396175 0.0700238
  0.3329171 0.07006864
  0.326225 0.07008526
  0.3195422 0.07007329
  0.3128702 0.07003239
  0.3062103 0.06996224
  0.2995641 0.06986254
  0.2929332 0.06973291
  0.286319 0.0695725
  0.2797223 0.06938039
  0.2731432 0.06915567
  0.2665813 0.0688974
  0.2600357 0.06860465
  0.2535047 0.06827642
  0.2469864 0.06791171
  0.2404783 0.06751
  0.2339781 0.0670714
  0.2274838 0.06659601
  0.2209935 0.06608388
  0.2145057 0.06553505
  0.2080191 0.06494954
  0.2015326 0.06432736
  0.1950454 0.06366839
  0.188558 0.06297167
  0.1820735 0.06223609
  0.1755985 0.061461
  0.1691424 0.06064627
  0.1627172 0.05979243
  0.1563376 0.0589007
  0.1500202 0.05797303
  0.1437822 0.0570114
  0.1376375 0.05601519
  0.1315909 0.05498239
  0.1256398 0.05391007
  0.119775 0.05279429
  0.1139826 0.05163001
  0.1082441 0.0504108
  0.102537 0.04912856
  0.09683385 0.04777332
  0.09110967 0.04634078
  0.08536658 0.04483869
  0.07964447 0.04328584
  0.07401816 0.04171245
  0.06858047 0.04014886
  0.06339859 0.03860523
  0.05849468 0.03708153
  0.05386128 0.03557275
  0.04947601 0.0340715
  0.0453139 0.03257088
  0.04136933 0.03107272
  0.03765642 0.02958801
  0.03419324 0.02813185
  0.03099091 0.02671879
  0.02804915 0.02535982
  0.02535709 0.02406136
  0.02289728 0.02282491
  0.02065311 0.02164558
  0.01860772 0.02051796
  0.0167431 0.0194376
  0.01504119 0.01840053
  0.01348471 0.0174031
  0.0120577 0.01644197
  0.0107468 0.01551293
  0.00954015 0.01460983
  0.008424602 0.01372809
  0.007388749 0.0128669
  0.006424807 0.01202718
  0.005527868 0.01120986
  0.004708948 0.01040362
  0.003985364 0.009586991
  0.003360912 0.008744856
  0.002815591 0.007883489
  0.002330115 0.00701525
  0.001889819 0.006153558
  0.001488591 0.00530864
  0.001130612 0.004482716
  0.0008189004 0.003675149
  0.0005549255 0.002883912
  0.0003393774 0.002106168
  0.0001727051 0.001338605
  5.549385e-05 0.000577607
  -1.126262e-05 -0.0001807027
  -2.734888e-05 -0.0009388605
  5.495961e-06 -0.001696164
  8.61326e-05 -0.002451259
  0.000214196 -0.003202467
  0.0003899758 -0.003947735
  0.0006143389 -0.004684561
  0.0008886775 -0.005409902
  0.001214872 -0.006120071
  0.001595257 -0.006810601
  0.00203258 -0.007476098
  0.002529946 -0.008110073
  0.003087623 -0.008709494
  0.003694739 -0.00928699
  0.00433587 -0.009860091
  0.004992594 -0.01044821
  0.005650395 -0.01106344
  0.006323697 -0.01168063
  0.007038577 -0.01226336
  0.007826635 -0.01277342
  0.008701495 -0.01320729
  0.009642648 -0.01361442
  0.01061967 -0.0140547
  0.01162626 -0.01454154
  0.01268289 -0.01504435
  0.01381186 -0.01553477
  0.01502512 -0.01600956
  0.01633467 -0.01647009
  0.01775523 -0.01691844
  0.01930497 -0.01735793
  0.02100649 -0.01779391
  0.02288688 -0.01823494
  0.02497634 -0.01869489
  0.02730539 -0.01919163
  0.0299072 -0.019731
  0.03280835 -0.02031151
  0.03601464 -0.02092532
  0.03949975 -0.02155676
  0.04320827 -0.02218453
  0.0470819 -0.02278795
  0.05109829 -0.02335329
  0.05529669 -0.02387926
  0.05974707 -0.0243749
