AH 93-K-132/15
  1.0 0.00071
  0.996828 0.0008204763
  0.992889 0.0009931911
  0.9886126 0.001225349
  0.983969 0.001530218
  0.9789476 0.001921894
  0.9735752 0.002410169
  0.9679156 0.002989574
  0.9620427 0.003644619
  0.956014 0.004359459
  0.9498719 0.005125785
  0.9436498 0.005936131
  0.9373692 0.006784273
  0.9310443 0.007665745
  0.9246855 0.008576406
  0.9182997 0.009512176
  0.9118937 0.01046843
  0.9054764 0.01144005
  0.8990633 0.01242307
  0.8926934 0.01341348
  0.8864332 0.01440299
  0.8803583 0.01539289
  0.8745059 0.01640397
  0.868868 0.01745975
  0.8634102 0.01858145
  0.8580854 0.01978774
  0.8528373 0.02110177
  0.8475985 0.02254557
  0.8423009 0.02412688
  0.8368871 0.02585151
  0.8313104 0.0277217
  0.8255387 0.02972783
  0.8195725 0.03184207
  0.8134633 0.034019
  0.8072876 0.03622568
  0.8010962 0.03844301
  0.7949043 0.04066506
  0.7887161 0.04289144
  0.7825447 0.04511892
  0.77641 0.04733785
  0.7703257 0.04953112
  0.7642961 0.05168434
  0.7583176 0.05378799
  0.7523844 0.05583704
  0.7464906 0.05782738
  0.7406297 0.05975573
  0.7347942 0.06162049
  0.7289738 0.06342096
  0.7231568 0.06515785
  0.7173324 0.06683403
  0.7114924 0.06845174
  0.7056304 0.07001277
  0.6997425 0.07151951
  0.6938262 0.07297401
  0.6878808 0.0743779
  0.6819056 0.07573303
  0.6758985 0.07704155
  0.6698562 0.07830603
  0.6637777 0.0795293
  0.6576669 0.08071342
  0.6515328 0.08185905
  0.6453831 0.08296503
  0.6392202 0.08403087
  0.6330405 0.08505745
  0.62684 0.08604688
  0.6206178 0.08700095
  0.6143771 0.08792066
  0.6081216 0.08880627
  0.6018533 0.08965821
  0.5955725 0.09047716
  0.5892792 0.09126398
  0.5829742 0.09201942
  0.5766594 0.09274397
  0.5703373 0.09343751
  0.5640112 0.09409979
  0.5576845 0.09473043
  0.5513579 0.09532892
  0.5450266 0.09589508
  0.5386815 0.09642973
  0.5323157 0.09693557
  0.5259319 0.09741501
  0.5195413 0.09786901
  0.5131543 0.09829593
  0.5067725 0.09869424
  0.5003893 0.09906349
  0.4939976 0.099405
  0.4875973 0.09971997
  0.4811943 0.1000089
  0.4747949 0.1002707
  0.4684003 0.1005046
  0.4620077 0.1007099
  0.4556133 0.1008871
  0.4492163 0.1010364
  0.4428181 0.1011579
  0.4364206 0.1012515
  0.4300239 0.1013171
  0.4236266 0.1013545
  0.4172282 0.1013639
  0.4108297 0.1013457
  0.4044341 0.1012997
  0.3980437 0.1012254
  0.3916579 0.1011222
  0.3852739 0.1009895
  0.3788896 0.1008276
  0.3725056 0.1006368
  0.3661247 0.1004172
  0.3597494 0.1001684
  0.3533798 0.09988968
  0.3470137 0.09958054
  0.3406487 0.099241
  0.3342845 0.09887122
  0.3279221 0.09847135
  0.3215626 0.09804139
  0.3152061 0.09758125
  0.3088522 0.09709084
  0.3025009 0.09657019
  0.2961535 0.09601945
  0.2898122 0.09543872
  0.2834787 0.09482768
  0.2771527 0.09418576
  0.2708324 0.09351236
  0.2645178 0.09280737
  0.2582129 0.09207116
  0.2519243 0.09130394
  0.2456557 0.09050428
  0.239403 0.08966968
  0.2331561 0.08879778
  0.2269081 0.08788888
  0.2206623 0.08694492
  0.2144299 0.08596799
  0.208221 0.0849574
  0.2020373 0.08391096
  0.1958731 0.08282602
  0.1897223 0.0817012
  0.1835822 0.08053589
  0.1774534 0.07932998
  0.1713388 0.07808366
  0.1652419 0.07679737
  0.159167 0.07547131
  0.1531178 0.07410471
  0.1470965 0.07269638
  0.1411039 0.07124495
  0.1351403 0.0697491
  0.1292066 0.06820765
  0.1233039 0.06661949
  0.1174347 0.06498377
  0.1116038 0.06330028
  0.1058169 0.06156903
  0.1000789 0.0597889
  0.0943905 0.05795762
  0.08875004 0.05607243
  0.08316024 0.05413298
  0.07763331 0.05214274
  0.0721897 0.05010732
  0.06685038 0.04802886
  0.06162893 0.04590728
  0.05653292 0.04374151
  0.05157423 0.04153379
  0.04677418 0.03929255
  0.04216006 0.03703081
  0.03776589 0.03476395
  0.033626 0.03251192
  0.029767 0.03029581
  0.02621245 0.02813597
  0.02297904 0.02605421
  0.02006712 0.02406762
  0.01746734 0.02218579
  0.01516338 0.02041457
  0.01312952 0.01875481
  0.01133649 0.01720214
  0.00975572 0.01574967
  0.008359455 0.01438934
  0.007123222 0.01311226
  0.006029108 0.01190944
  0.005061716 0.01077389
  0.004206746 0.009699755
  0.003452957 0.00868048
  0.00279094 0.007707656
  0.002211052 0.006772859
  0.00170472 0.005868606
  0.001267152 0.004990299
  0.0008967254 0.004137773
  0.0005917465 0.003313279
  0.0003497446 0.00251977
  0.0001706623 0.001758519
  5.48516e-05 0.001024569
  2.62627e-06 0.0003084033
  1.670437e-05 -0.0004018761
  0.0001015281 -0.001113769
  0.0002646687 -0.001827505
  0.0005185617 -0.002538163
  0.0008792358 -0.003234076
  0.001353326 -0.003906028
  0.001934577 -0.004552994
  0.002612399 -0.0051754
  0.003372524 -0.005775189
  0.004211827 -0.006355937
  0.005138779 -0.006922658
  0.006162772 -0.00748242
  0.007293038 -0.00804451
  0.008542053 -0.008613575
  0.009925981 -0.009191546
  0.01146333 -0.009781956
  0.01317707 -0.01038995
  0.01509915 -0.01101913
  0.01726752 -0.01167355
  0.01972379 -0.01235903
  0.02251206 -0.01307769
  0.02567248 -0.01382556
  0.02923664 -0.01459692
  0.03323459 -0.01538667
  0.03767797 -0.01618768
  0.04253838 -0.01699285
  0.04775581 -0.01779412
  0.05325173 -0.01857565
  0.05895038 -0.01932547
  0.06480936 -0.02003969
  0.07080328 -0.02071824
  0.07690155 -0.02136215
  0.08306985 -0.02197186
  0.08928213 -0.02254543
  0.09552939 -0.02308244
  0.1018192 -0.02358514
  0.1081589 -0.0240586
  0.1145416 -0.02450744
  0.1209471 -0.02493392
  0.1273574 -0.02533615
  0.133768 -0.02571259
  0.1401874 -0.02606336
  0.1466251 -0.02639072
  0.1530834 -0.02669684
  0.1595585 -0.02698333
  0.1660467 -0.02725122
  0.1725496 -0.02750169
  0.1790728 -0.02773651
  0.1856182 -0.02795823
  0.1921785 -0.02816926
  0.1987389 -0.02837035
  0.2052906 -0.02855951
  0.211838 -0.02873483
  0.2183965 -0.02889642
  0.2249777 -0.02904761
  0.231581 -0.02919181
  0.238195 -0.02933083
  0.2448086 -0.02946407
  0.2514163 -0.02959081
  0.2580183 -0.02971044
  0.2646171 -0.02982237
  0.2712158 -0.02992602
  0.2778183 -0.03002144
  0.2844275 -0.03010956
  0.2910458 -0.0301914
  0.2976739 -0.03026795
  0.3043104 -0.03034026
  0.3109514 -0.0304093
  0.3175913 -0.03047538
  0.3242284 -0.030538
  0.3308664 -0.03059669
  0.3375116 -0.03065179
  0.344163 -0.03070445
  0.3508089 -0.03075567
  0.3574326 -0.03080377
  0.3640306 -0.03084465
  0.370617 -0.03087446
  0.3772161 -0.0308935
  0.3838411 -0.03090577
  0.3904881 -0.03091523
  0.397141 -0.03092319
  0.4037891 -0.03092872
  0.4104314 -0.03093092
  0.4170735 -0.03093063
  0.4237199 -0.03092994
  0.4303722 -0.03093085
  0.4370293 -0.03093386
  0.44369 -0.03093836
  0.4503522 -0.03094378
  0.4570137 -0.0309501
  0.4636713 -0.03095765
  0.4703207 -0.03096651
  0.4769582 -0.03097484
  0.4835831 -0.03097968
  0.4901977 -0.03097833
  0.4968071 -0.03096986
  0.5034174 -0.03095426
  0.5100354 -0.03093171
  0.5166656 -0.03090433
  0.5233057 -0.03087515
  0.5299455 -0.03084675
  0.5365725 -0.03081791
  0.5431805 -0.03078583
  0.5497708 -0.0307477
  0.5563513 -0.03070071
  0.5629362 -0.03064287
  0.5695374 -0.03057592
  0.5761556 -0.03050267
  0.5827798 -0.03042541
  0.5893967 -0.03034328
  0.5960011 -0.03025449
  0.6025963 -0.03015746
  0.6091895 -0.03005195
  0.615786 -0.02993813
  0.6223889 -0.02981627
  0.6289983 -0.02968708
  0.6356106 -0.02955152
  0.6422185 -0.02941028
  0.6488159 -0.02926236
  0.6554037 -0.0291061
  0.6619899 -0.02894004
  0.6685826 -0.02876476
  0.675182 -0.02858172
  0.6817794 -0.02839224
  0.6883644 -0.02819527
  0.6949344 -0.02798873
  0.7014954 -0.02777059
  0.7080557 -0.02754059
  0.714619 -0.02729926
  0.721183 -0.02704722
  0.727743 -0.02678432
  0.7342967 -0.02650997
  0.7408448 -0.02622353
  0.7473891 -0.02592452
  0.7539302 -0.02561259
  0.760467 -0.02528748
  0.7669987 -0.02494881
  0.773528 -0.024596
  0.7800613 -0.02422839
  0.7866049 -0.0238468
  0.7931585 -0.02345307
  0.7997138 -0.02304927
  0.8062606 -0.02263524
  0.8127947 -0.02220941
  0.8193194 -0.02176996
  0.8258415 -0.02131634
  0.8323654 -0.02084881
  0.8388921 -0.02036776
  0.845419 -0.01987364
  0.8519386 -0.01936712
  0.8584399 -0.01884879
  0.8649139 -0.01831669
  0.8713615 -0.01776739
  0.8777915 -0.01719779
  0.8842041 -0.01660753
  0.8905819 -0.01599775
  0.8969064 -0.01536562
  0.9031835 -0.01470414
  0.909432 -0.01400911
  0.9156338 -0.0132847
  0.9217344 -0.01253377
  0.927714 -0.01174478
  0.9336092 -0.01090234
  0.9394343 -0.01000654
  0.9451218 -0.009071847
  0.9505797 -0.008096935
  0.9557945 -0.007057739
  0.9608218 -0.005937406
  0.9657426 -0.004797527
  0.970612 -0.003725665
  0.9754445 -0.002778638
  0.9801863 -0.001959067
  0.9847376 -0.001271802
  0.9890283 -0.0007435044
  0.9930586 -0.0003882216
  0.9968611 -0.0001952344
  1.0 -0.00014
