AS5046 (16%)
  1.0 0.00134
  0.9967429 0.002428598
  0.9928334 0.003651494
  0.9886994 0.004785755
  0.9842455 0.005883658
  0.9794644 0.007012637
  0.974424 0.008165309
  0.9691801 0.009316756
  0.9637478 0.01045195
  0.9581216 0.01156014
  0.9522791 0.01263499
  0.9461925 0.01368653
  0.939852 0.01472998
  0.9332802 0.01577658
  0.9265181 0.01682487
  0.9196 0.01787264
  0.9125435 0.01892128
  0.905357 0.01997426
  0.8980554 0.02103485
  0.8906631 0.02210528
  0.8832112 0.02318409
  0.8757284 0.0242678
  0.8682376 0.02535371
  0.860755 0.02644047
  0.8532908 0.02752903
  0.8458498 0.02862141
  0.8384315 0.02972033
  0.8310308 0.03082863
  0.8236426 0.03194751
  0.8162653 0.03307739
  0.8089008 0.03421809
  0.8015549 0.03536907
  0.7942338 0.03653081
  0.7869408 0.03770473
  0.7796752 0.0388928
  0.7724329 0.04009757
  0.7652065 0.04132143
  0.7579885 0.04256551
  0.7507731 0.04383054
  0.743556 0.04511706
  0.7363345 0.04642536
  0.7291072 0.04775514
  0.7218727 0.04910565
  0.714629 0.05047616
  0.7073738 0.05186605
  0.700104 0.05327484
  0.692817 0.05470187
  0.6855136 0.0561456
  0.6782004 0.05760335
  0.6708898 0.05907121
  0.6635995 0.06054403
  0.6563503 0.06201325
  0.649158 0.06346719
  0.6420317 0.06489566
  0.6349741 0.06629028
  0.6279822 0.06764429
  0.6210491 0.06895349
  0.6141658 0.07021694
  0.6073225 0.07143422
  0.6005079 0.07260502
  0.5937094 0.07372905
  0.5869136 0.07480662
  0.5801088 0.07584044
  0.5732874 0.07683305
  0.5664462 0.07778626
  0.5595863 0.07870119
  0.5527135 0.07957834
  0.545835 0.08041684
  0.5389553 0.08121555
  0.5320751 0.08197384
  0.5251914 0.08269149
  0.5182972 0.08336858
  0.511383 0.08400652
  0.5044413 0.08460775
  0.4974679 0.0851744
  0.4904618 0.08570831
  0.4834264 0.08621106
  0.4763679 0.08668354
  0.4692933 0.08712551
  0.4622077 0.08753682
  0.4551149 0.08791747
  0.4480167 0.08826762
  0.4409135 0.08858749
  0.4338048 0.08887727
  0.4266905 0.08913711
  0.4195705 0.08936715
  0.4124452 0.08956752
  0.405315 0.08973835
  0.3981806 0.08987975
  0.391043 0.08999182
  0.3839035 0.09007469
  0.3767637 0.09012851
  0.3696254 0.09015337
  0.3624905 0.09014904
  0.3553601 0.09011526
  0.3482348 0.09005175
  0.3411146 0.08995824
  0.3339989 0.0898345
  0.3268875 0.08968042
  0.3197809 0.08949597
  0.3126806 0.08928113
  0.305589 0.08903596
  0.2985092 0.08876033
  0.2914446 0.08845357
  0.2843974 0.08811493
  0.2773694 0.0877437
  0.2703617 0.08733916
  0.2633747 0.08690052
  0.2564088 0.08642699
  0.2494644 0.08591774
  0.2425416 0.08537199
  0.2356409 0.08478899
  0.2287624 0.08416807
  0.2219068 0.08350868
  0.2150749 0.08281028
  0.2082678 0.08207241
  0.2014869 0.08129462
  0.1947343 0.08047654
  0.1880131 0.07961798
  0.1813274 0.07871897
  0.1746817 0.07777957
  0.1680817 0.07679951
  0.1615338 0.07577861
  0.1550445 0.07471708
  0.148621 0.07361521
  0.1422716 0.07247264
  0.1360059 0.07128924
  0.1298345 0.07006561
  0.1237685 0.06880276
  0.1178185 0.06750002
  0.1119927 0.06615613
  0.1062962 0.06477003
  0.100732 0.06334104
