EH 1.0/9.0
  1.0 0.0
  0.9967648 0.0001188392
  0.992395 0.0003385887
  0.9874125 0.0006515621
  0.9819672 0.001040019
  0.9762262 0.001478385
  0.9703219 0.001945888
  0.9643321 0.002430252
  0.9583002 0.002924281
  0.9522484 0.00342475
  0.9461885 0.003929918
  0.9401257 0.004439341
  0.9340629 0.004952978
  0.9280008 0.005470947
  0.9219395 0.005993436
  0.9158785 0.006520612
  0.9098174 0.007052435
  0.9037558 0.007588799
  0.8976937 0.008129568
  0.8916312 0.00867459
  0.8855681 0.00922372
  0.8795042 0.009776807
  0.8734394 0.01033364
  0.8673734 0.01089397
  0.8613062 0.01145756
  0.8552377 0.01202416
  0.8491679 0.0125935
  0.843097 0.01316531
  0.8370252 0.01373932
  0.8309528 0.01431536
  0.8248798 0.01489329
  0.8188063 0.01547298
  0.8127323 0.01605433
  0.8066576 0.0166372
  0.8005822 0.01722143
  0.7945059 0.01780689
  0.7884289 0.01839341
  0.7823512 0.01898086
  0.7762728 0.01956909
  0.7701937 0.02015796
  0.7641139 0.02074733
  0.7580335 0.02133708
  0.7519526 0.02192711
  0.7458713 0.02251729
  0.73979 0.02310749
  0.7337091 0.02369757
  0.7276288 0.02428734
  0.7215493 0.02487663
  0.7154708 0.02546528
  0.7093931 0.02605314
  0.7033161 0.02664009
  0.6972396 0.02722605
  0.6911636 0.02781091
  0.685088 0.02839456
  0.679013 0.02897688
  0.6729386 0.02955774
  0.6668648 0.03013698
  0.6607917 0.03071445
  0.6547194 0.03129
  0.6486477 0.03186349
  0.6425767 0.03243478
  0.6365062 0.03300372
  0.6304365 0.03357015
  0.6243673 0.03413393
  0.6182988 0.03469491
  0.6122309 0.0352529
  0.6061638 0.03580775
  0.6000973 0.03635929
  0.5940315 0.03690734
  0.5879663 0.03745174
  0.5819018 0.03799232
  0.5758378 0.03852892
  0.5697745 0.03906134
  0.5637118 0.03958943
  0.5576499 0.040113
  0.5515887 0.04063185
  0.5455284 0.04114574
  0.5394688 0.04165446
  0.5334102 0.0421578
  0.5273523 0.04265554
  0.5212952 0.04314747
  0.5152388 0.04363335
  0.5091833 0.04411298
  0.5031286 0.04458612
  0.4970747 0.04505254
  0.4910217 0.04551199
  0.4849698 0.04596421
  0.4789189 0.04640891
  0.472869 0.04684583
  0.4668201 0.0472747
  0.4607723 0.04769525
  0.4547254 0.04810721
  0.4486795 0.04851028
  0.4426346 0.04890421
  0.4365908 0.0492887
  0.4305482 0.04966347
  0.4245069 0.05002817
  0.4184668 0.05038248
  0.4124281 0.05072606
  0.4063909 0.05105857
  0.400355 0.05137968
  0.3943206 0.05168902
  0.3882877 0.05198625
  0.3822564 0.052271
  0.3762265 0.0525429
  0.3701983 0.05280161
  0.3641718 0.05304671
  0.3581471 0.0532778
  0.3521242 0.05349448
  0.3461034 0.05369634
  0.3400847 0.05388297
  0.3340684 0.05405387
