S8055 (12%) 
  1.0 0.0
  0.9967745 0.0002699139
  0.9927699 0.0007123967
  0.9884007 0.001267059
  0.9836552 0.001918464
  0.9785398 0.002658704
  0.9730701 0.00348012
  0.9672855 0.004371634
  0.9612493 0.005319646
  0.9550307 0.006315658
  0.9486799 0.007354101
  0.9422238 0.008431069
  0.9356843 0.009541792
  0.9290837 0.01068115
  0.9224418 0.01184524
  0.9157726 0.01303172
  0.9090825 0.01423951
  0.9023708 0.01546811
  0.8956355 0.01671637
  0.8888761 0.01798272
  0.8820936 0.01926529
  0.8752907 0.02056216
  0.8684701 0.02187152
  0.8616352 0.02319148
  0.8547891 0.02452013
  0.847935 0.0258562
  0.8410755 0.02719896
  0.834212 0.02854782
  0.827345 0.02990239
  0.8204743 0.03126167
  0.8136 0.0326238
  0.8067234 0.03398668
  0.7998468 0.03534799
  0.7929736 0.03670539
  0.7861078 0.03805707
  0.7792532 0.03940135
  0.7724137 0.0407366
  0.7655931 0.04206123
  0.7587948 0.04337304
  0.752022 0.04466904
  0.7452776 0.04594631
  0.7385645 0.04720203
  0.7318853 0.04843353
  0.7252415 0.04963813
  0.718632 0.05081351
  0.7120521 0.05195802
  0.7054942 0.05307053
  0.6989473 0.0541504
  0.6923992 0.05519888
  0.6858394 0.05621896
  0.679261 0.05721308
  0.6726604 0.0581831
  0.6660375 0.05913036
  0.6593953 0.0600555
  0.6527379 0.06095848
  0.6460688 0.0618393
  0.6393908 0.06269807
  0.6327059 0.06353507
  0.6260155 0.06435062
  0.6193203 0.06514482
  0.6126206 0.06591771
  0.6059163 0.06666936
  0.5992066 0.06739989
  0.5924908 0.06810946
  0.5857675 0.06879841
  0.579036 0.06946724
  0.5722964 0.07011638
  0.5655495 0.07074618
  0.5587967 0.07135694
  0.5520404 0.07194882
  0.5452828 0.07252147
  0.5385255 0.07307451
  0.5317696 0.07360762
  0.5250154 0.07412053
  0.5182625 0.07461306
  0.5115101 0.07508516
  0.5047573 0.07553694
  0.4980032 0.0759685
  0.4912468 0.07637992
  0.4844876 0.07677126
  0.4777247 0.07714261
  0.4709579 0.07749409
  0.4641875 0.07782584
  0.4574149 0.07813794
  0.4506421 0.07843048
  0.4438719 0.07870348
  0.4371074 0.07895656
  0.4303507 0.07918896
  0.4236023 0.07939999
  0.4168615 0.079589
  0.4101263 0.07975538
  0.4033932 0.07989874
  0.3966591 0.0800194
  0.3899218 0.08011774
  0.3831804 0.08019409
  0.3764351 0.08024877
  0.3696874 0.08028208
  0.3629393 0.08029394
  0.356193 0.08028409
  0.3494505 0.08025233
  0.3427137 0.08019845
  0.3359844 0.08012228
  0.329264 0.08002343
  0.3225532 0.07990133
  0.3158519 0.07975534
  0.309159 0.07958484
  0.3024725 0.07938914
  0.2957898 0.07916782
  0.2891092 0.07892091
  0.2824301 0.07864852
  0.2757537 0.07835083
  0.2690824 0.07802809
  0.2624198 0.07768029
  0.2557696 0.07730675
  0.2491344 0.07690674
  0.2425159 0.07647953
  0.235915 0.07602434
  0.2293319 0.07554038
  0.2227666 0.07502685
  0.2162193 0.07448297
  0.2096902 0.07390797
  0.2031793 0.07330106
  0.1966875 0.07266145
  0.1902173 0.07198846
  0.1837725 0.07128165
  0.1773588 0.07054087
  0.1709828 0.06976569
  0.1646496 0.06895461
  0.1583615 0.06810576
  0.1521178 0.06721705
  0.1459157 0.06628622
  0.1397537 0.06531213
  0.1336361 0.0642948
  0.1275724 0.06323542
  0.1215771 0.0621359
  0.1156661 0.06099561
  0.1098522 0.05981265
  0.1041442 0.05858526
  0.09854739 0.05731173
  0.09306491 0.05599023
  0.08769785 0.05461891
  0.08244539 0.05319593
  0.07730601 0.05172022
  0.07228492 0.05019528
  0.06739922 0.04862957
  0.0626737 0.04703542
  0.05813579 0.04542476
  0.05380753 0.04380436
  0.04970029 0.0421797
  0.04581644 0.04055538
  0.04215432 0.03893625
  0.03871418 0.03732958
  0.03549589 0.03574381
  0.03249627 0.03418695
  0.02970963 0.03266456
  0.02712828 0.03117966
  0.02474155 0.02973439
  0.02253659 0.02832987
  0.02049983 0.026966
  0.01862067 0.02564014
  0.01688971 0.02434959
  0.01529714 0.02309248
  0.01383288 0.0218673
  0.01248694 0.02067272
  0.01125002 0.01950786
  0.0101131 0.01837149
  0.009067094 0.01726148
  0.008103514 0.01617531
  0.007214708 0.01511037
  0.006393929 0.01406409
  0.005635112 0.01303446
  0.004933052 0.01202145
  0.004284065 0.01102668
  0.003685356 0.01005267
  0.003134474 0.009102261
  0.002629001 0.008178173
  0.002166402 0.007282706
  0.001745057 0.00641719
  0.001367146 0.00558015
  0.001034087 0.004768081
  0.0007460159 0.003976671
  0.0005025616 0.003201329
  0.0003033237 0.002437418
  0.000148172 0.001680303
  3.745384e-05 0.0009252927
  -2.778048e-05 0.0001685729
  -4.540317e-05 -0.0005883457
  -1.227829e-05 -0.001342102
  7.572167e-05 -0.002089074
  0.0002238395 -0.002825203
  0.0004386338 -0.003545792
  0.0007282742 -0.004245259
  0.001100972 -0.004918477
  0.001557074 -0.00556734
  0.002094457 -0.006195895
  0.002710786 -0.006808151
  0.003402822 -0.007408244
  0.004165393 -0.008000572
  0.004989852 -0.008589898
  0.00586581 -0.00918038
  0.006793666 -0.009772474
  0.007777257 -0.01036581
  0.008820715 -0.01096028
  0.009928647 -0.01155627
  0.01110648 -0.01215492
  0.01236108 -0.01275856
  0.01370158 -0.0133708
  0.01513843 -0.01399404
  0.01668322 -0.01462989
  0.01834911 -0.01528023
  0.02015085 -0.01594721
  0.02210444 -0.01663333
  0.02422671 -0.01734146
  0.02653613 -0.01807344
  0.02905281 -0.01882926
  0.03179499 -0.01960789
  0.0347781 -0.02040771
  0.03801739 -0.02122791
  0.04153168 -0.02206784
  0.045338 -0.02292432
  0.04944559 -0.02379266
  0.053854 -0.02466741
  0.05855448 -0.0255425
  0.06352971 -0.0264099
  0.0687526 -0.02726173
  0.07419268 -0.02809209
  0.07982344 -0.02889664
  0.08561962 -0.02967108
  0.09155639 -0.0304125
  0.09761303 -0.03111979
  0.1037739 -0.03179263
  0.1100241 -0.03243108
  0.1163493 -0.03303586
  0.1227356 -0.03360817
  0.1291713 -0.03414832
  0.135648 -0.03465641
  0.1421607 -0.03513308
  0.1487087 -0.03557938
  0.1552933 -0.03599701
  0.1619142 -0.03638787
  0.1685685 -0.03675378
  0.1752502 -0.03709652
  0.1819513 -0.03741702
  0.1886655 -0.03771518
  0.1953892 -0.03799103
  0.2021227 -0.03824474
  0.208869 -0.03847673
  0.2156326 -0.03868817
  0.2224159 -0.03888048
  0.2292191 -0.039055
  0.2360394 -0.03921307
  0.2428717 -0.03935572
  0.2497107 -0.03948301
  0.2565528 -0.03959482
  0.2633967 -0.03969111
  0.2702432 -0.03977185
  0.2770949 -0.03983719
  0.2839552 -0.03988781
  0.2908259 -0.03992452
  0.2977079 -0.03994809
  0.3046008 -0.0399593
  0.3115027 -0.03995889
  0.3184114 -0.03994718
  0.3253245 -0.03992431
  0.3322403 -0.03989048
  0.3391574 -0.03984585
  0.3460747 -0.03979062
  0.3529915 -0.03972487
  0.3599079 -0.03964857
  0.3668242 -0.0395617
  0.3737416 -0.03946421
  0.3806617 -0.03935604
  0.3875868 -0.03923723
  0.3945187 -0.03910824
  0.4014584 -0.03896964
  0.4084054 -0.03882201
  0.4153584 -0.03866599
  0.4223147 -0.03850222
  0.4292707 -0.03833091
  0.4362238 -0.03815179
  0.4431725 -0.03796451
  0.4501162 -0.03776872
  0.4570559 -0.03756403
  0.4639934 -0.03735008
  0.4709312 -0.03712689
  0.4778709 -0.03689469
  0.4848136 -0.03665372
  0.4917592 -0.03640423
  0.4987073 -0.03614652
  0.5056564 -0.03588077
  0.5126048 -0.03560684
  0.5195507 -0.03532455
  0.5264921 -0.03503375
  0.5334272 -0.03473429
  0.5403539 -0.034426
  0.5472706 -0.0341085
  0.5541762 -0.03378111
  0.5610712 -0.0334431
  0.5679568 -0.03309367
  0.5748356 -0.03273199
  0.5817112 -0.03235722
  0.5885872 -0.03196925
  0.595466 -0.03156831
  0.6023483 -0.0311547
  0.6092333 -0.03072883
  0.6161187 -0.0302912
