AG44ct -02f
  1.0 0.000267
  0.9969394 0.0005925396
  0.992707 0.001050175
  0.9877314 0.001595861
  0.982288 0.002192244
  0.9765817 0.002807702
  0.9706572 0.003438956
  0.9645913 0.004082142
  0.9584778 0.004726466
  0.9523552 0.005364714
  0.9462121 0.005998453
  0.9400441 0.00663131
  0.9338662 0.007263456
  0.9276931 0.007892768
  0.9215307 0.008517524
  0.9153769 0.009135957
  0.909223 0.00974736
  0.903061 0.01035365
  0.8968904 0.01095667
  0.8907164 0.01155661
  0.8845453 0.01215288
  0.8783816 0.01274427
  0.8722231 0.01332935
  0.8660613 0.0139083
  0.8598906 0.01448315
  0.8537127 0.01505524
  0.8475329 0.01562449
  0.8413548 0.01619065
  0.8351801 0.01675307
  0.8290087 0.01731097
  0.8228396 0.01786395
  0.8166707 0.01841191
  0.8105003 0.01895501
  0.804327 0.01949387
  0.7981508 0.02002894
  0.7919738 0.02056019
  0.7858004 0.02108721
  0.7796337 0.02160883
  0.7734683 0.02212423
  0.7672947 0.02263462
  0.761114 0.02314195
  0.7549398 0.02364578
  0.7487783 0.02414347
  0.74262 0.02463415
  0.7364609 0.02511983
  0.7303218 0.02560091
  0.7242389 0.02607254
  0.7182447 0.02652871
  0.7123955 0.02697065
  0.7068415 0.02739455
  0.7017202 0.02780235
  0.6964289 0.02839342
  0.6907181 0.02899741
  0.6847818 0.02963163
  0.678757 0.03027365
  0.6726851 0.03091287
  0.6665721 0.03154931
  0.6604334 0.03218267
  0.6542843 0.03281186
  0.6481306 0.0334364
  0.6419785 0.03405548
  0.6358294 0.03466774
  0.629678 0.03527323
  0.6235213 0.0358732
  0.6173639 0.03646793
  0.6112101 0.03705637
  0.6050575 0.03763799
  0.5989032 0.03821319
  0.5927489 0.03878205
  0.5865987 0.0393439
  0.5804512 0.03989795
  0.5742986 0.04044467
  0.5681389 0.04098567
  0.561984 0.04152094
  0.5558417 0.04204716
  0.5496995 0.04256318
  0.54355 0.04307192
  0.5374019 0.04357324
  0.5312583 0.04406591
  0.5251171 0.04454934
