AH 80-136
  1.0 0.00146
  0.9967103 0.001453931
  0.992631 0.001332835
  0.9881244 0.001137968
  0.9831954 0.0009860145
  0.9779661 0.000875697
  0.9725451 0.0008275149
  0.9669672 0.0008625616
  0.961231 0.0009781922
  0.95535 0.001166407
  0.9493478 0.001417649
  0.9432502 0.001720944
  0.9370832 0.002069412
  0.930872 0.00245746
  0.9246399 0.002881418
  0.9184053 0.003341324
  0.9121804 0.003837681
  0.9059714 0.004371884
  0.8997786 0.004946221
  0.8935973 0.005563436
  0.8874188 0.006224885
  0.881236 0.006930083
  0.8750448 0.007678261
  0.868844 0.008468276
  0.8626337 0.009298625
  0.8564135 0.01016776
  0.8501831 0.01107416
  0.8439421 0.01201631
  0.8376903 0.01299262
  0.8314286 0.01400139
  0.8251581 0.01504078
  0.8188807 0.01610937
  0.8125984 0.01720598
  0.8063129 0.01832939
  0.8000259 0.01947843
  0.793739 0.02065232
  0.787453 0.02185062
  0.781168 0.02307302
  0.7748838 0.02431934
  0.7685991 0.02558934
  0.7623133 0.02688256
  0.756026 0.02819844
  0.7497372 0.02953633
  0.7434477 0.03089549
  0.7371581 0.03227535
  0.7308684 0.03367548
  0.7245783 0.03509552
  0.7182871 0.03653527
  0.7119932 0.03799429
  0.7056952 0.03947195
  0.699391 0.04096761
  0.6930785 0.04248071
  0.6867556 0.04401065
  0.6804199 0.04555629
  0.6740699 0.04711599
  0.6677049 0.04868786
  0.6613251 0.05026971
  0.6549319 0.05185926
  0.6485277 0.05345487
  0.6421155 0.05505498
  0.6356994 0.05665784
  0.6292839 0.05826152
  0.6228741 0.0598638
  0.6164742 0.06146191
  0.6100871 0.06305336
  0.6037135 0.06463613
  0.5973528 0.06620862
  0.5910029 0.06776969
  0.5846618 0.06931843
  0.578329 0.07085367
  0.5720056 0.07237388
  0.565694 0.07387719
  0.559398 0.07536121
  0.5531214 0.07682234
  0.5468663 0.07825698
  0.5406335 0.07966198
  0.5344226 0.08103459
  0.5282317 0.08237244
  0.5220586 0.08367369
  0.5159009 0.0849367
  0.5097566 0.0861598
  0.5036235 0.08734134
