FX 73-K-170/22
  1.0 0.0
  0.9980438 0.001905637
  0.9950349 0.002824831
  0.9918913 0.003866267
  0.9885929 0.004946769
  0.9849109 0.005985892
  0.9807489 0.007109467
  0.9761498 0.008370258
  0.9711629 0.009718542
  0.9657574 0.01113912
  0.9599257 0.01265225
  0.9537603 0.01425114
  0.9473855 0.01590307
  0.9408788 0.01758759
  0.9342898 0.01929702
  0.9276687 0.02102485
  0.9210551 0.02276823
  0.9144615 0.02453155
  0.9078747 0.02632303
  0.9012791 0.02814481
  0.8946738 0.02999416
  0.8880713 0.0318663
  0.8814826 0.03375993
  0.8749077 0.03567704
  0.8683367 0.03762139
  0.8617582 0.03959452
  0.8551658 0.04159602
  0.848559 0.04362385
  0.8419413 0.04567553
  0.8353155 0.04774899
  0.8286837 0.04984244
  0.8220466 0.05195449
  0.8154033 0.05408427
  0.8087513 0.05623152
  0.802086 0.05839661
  0.7954017 0.06057938
  0.7886965 0.06277711
  0.7819752 0.06498467
  0.7752499 0.06719453
  0.7685374 0.0693972
  0.7618518 0.07158395
  0.7552006 0.07374821
  0.7485853 0.07588561
  0.7420027 0.07799359
  0.7354488 0.08007014
  0.7289214 0.08211281
  0.7224201 0.08411868
  0.7159462 0.08608442
  0.7095008 0.08800638
  0.7030826 0.08988154
  0.6966879 0.09170769
  0.6903109 0.09348332
  0.6839437 0.09520823
  0.6775787 0.09688426
  0.6712085 0.0985133
  0.6648259 0.100097
  0.6584236 0.1016366
  0.6519951 0.1031344
  0.645537 0.1045929
  0.6390492 0.1060141
  0.6325361 0.1073993
  0.6260056 0.1087486
  0.6194683 0.1100605
  0.6129314 0.1113323
  0.6063981 0.1125621
  0.5998674 0.1137492
  0.5933343 0.1148932
  0.5867921 0.1159956
  0.5802367 0.1170577
  0.5736679 0.1180803
  0.5670889 0.1190637
  0.5605068 0.1200076
  0.55393 0.1209098
  0.547364 0.1217678
  0.5408115 0.1225795
  0.5342717 0.1233435
  0.5277411 0.1240586
  0.5212146 0.1247251
  0.5146873 0.1253436
  0.5081547 0.1259146
  0.5016128 0.1264383
  0.4950578 0.1269149
  0.4884868 0.1273455
  0.4818992 0.1277313
  0.4752961 0.1280733
  0.4686812 0.1283728
  0.4620601 0.1286305
  0.4554392 0.1288462
  0.4488224 0.1290188
  0.4422112 0.1291477
  0.4356045 0.1292323
  0.4289987 0.1292719
  0.4223897 0.129267
  0.4157744 0.1292182
  0.4091517 0.1291263
  0.4025221 0.1289917
  0.3958877 0.1288151
  0.389251 0.1285968
  0.3826141 0.1283368
  0.3759783 0.1280353
  0.3693442 0.1276925
  0.3627118 0.1273084
  0.3560813 0.1268831
  0.3494535 0.1264166
  0.3428296 0.125909
  0.3362119 0.1253606
  0.3296026 0.1247711
  0.3230034 0.1241403
  0.3164148 0.1234677
  0.3098361 0.1227525
  0.3032656 0.1219941
  0.2967014 0.1211923
  0.2901426 0.1203471
  0.2835899 0.1194586
  0.2770452 0.1185274
  0.2705116 0.1175537
  0.2639918 0.1165372
  0.2574875 0.1154775
  0.2509987 0.114374
  0.2445248 0.1132259
  0.2380644 0.1120327
  0.2316171 0.110794
  0.2251834 0.1095099
  0.2187646 0.1081803
  0.2123629 0.1068053
  0.2059803 0.1053846
  0.1996184 0.103918
  0.1932786 0.1024053
  0.186962 0.1008459
  0.18067 0.09923937
  0.1744044 0.09758535
  0.1681673 0.09588359
  0.1619612 0.09413381
  0.1557884 0.09233542
  0.1496506 0.09048777
  0.1435493 0.08859007
  0.1374858 0.08664158
  0.1314626 0.0846419
  0.125484 0.08259132
  0.1195555 0.08049065
  0.1136835 0.07834001
  0.107873 0.07613878
  0.1021277 0.07388602
  0.09644989 0.07158077
  0.09084334 0.06922311
  0.0853138 0.06681436
  0.07986908 0.06435703
  0.07452066 0.06185472
  0.06928464 0.05931372
  0.06418022 0.05674313
  0.0592286 0.05415196
  0.05444935 0.05154823
  0.04985755 0.04894009
  0.04546625 0.04633767
  0.04129449 0.0437581
  0.03736382 0.04122326
  0.0336925 0.03875401
  0.03029396 0.03636667
  0.02717141 0.03407395
  0.02431748 0.03188367
  0.02171919 0.02980057
