AH-7-47-6 AIRFOIL
  1.0 0.0035
  0.9970885 0.004559213
  0.9936488 0.005797045
  0.9901173 0.007052655
  0.9864893 0.008326528
  0.98276 0.009619134
  0.9789239 0.01093091
  0.9749757 0.01226227
  0.9709096 0.01361353
  0.9667196 0.01498498
  0.9623995 0.01637678
  0.9579431 0.01778894
  0.953344 0.01922132
  0.948596 0.02067356
  0.943693 0.02214501
  0.9386297 0.02363469
  0.9334011 0.02514123
  0.9280036 0.02666273
  0.9224349 0.02819677
  0.9166948 0.02974024
  0.9107855 0.03128934
  0.9047122 0.0328395
  0.8984835 0.03438536
  0.8921121 0.03592154
  0.885614 0.03744383
  0.8790073 0.03894835
  0.872317 0.04043044
  0.8656377 0.04187131
  0.8589892 0.04326993
  0.8523555 0.0446328
  0.8457227 0.04596557
  0.8390795 0.04727321
  0.8324163 0.04856011
  0.8257253 0.04983017
  0.8190009 0.05108691
  0.8122431 0.05233278
  0.8055009 0.05356136
  0.7987924 0.05477224
  0.7921154 0.05596754
  0.7854664 0.05714683
  0.778842 0.0583092
  0.7722388 0.05945375
  0.7656537 0.06057954
  0.7590838 0.06168562
  0.7525262 0.062771
  0.7459783 0.06383467
  0.7394374 0.06487558
  0.7329012 0.06589267
  0.7263671 0.06688481
  0.7198329 0.06785087
  0.7132964 0.06878965
  0.7067554 0.06969992
  0.7002078 0.07058041
  0.6936516 0.07143014
  0.6870852 0.07224974
  0.6805075 0.07304034
  0.6739175 0.07380302
  0.6673143 0.07453881
  0.6606975 0.07524872
  0.6540668 0.07593372
  0.6474222 0.07659477
  0.640764 0.07723281
  0.6340928 0.07784875
  0.6274092 0.07844351
  0.6207145 0.079018
  0.6140101 0.07957311
  0.6072975 0.08010976
  0.6005789 0.08062884
  0.5938564 0.0811311
  0.5871322 0.08161645
  0.5804081 0.08208445
  0.5736856 0.08253473
  0.5669659 0.08296695
  0.5602497 0.0833808
  0.5535376 0.083776
  0.5468299 0.0841523
  0.5401263 0.08450947
  0.5334264 0.08484727
  0.5267294 0.08516551
  0.5200343 0.08546398
  0.5133397 0.08574246
  0.5066439 0.08600076
  0.4999449 0.08623865
  0.4932403 0.08645606
  0.4865279 0.08665367
  0.4798058 0.08683235
  0.4730725 0.08699294
  0.466327 0.08713627
  0.4595689 0.08726316
  0.452798 0.08737442
  0.4460148 0.08747088
  0.4392202 0.08755335
  0.4324157 0.08762267
  0.4256031 0.0876797
  0.418785 0.0877253
  0.4119644 0.08776036
  0.4051448 0.08778578
  0.3983302 0.08780249
  0.391525 0.0878105
  0.3847335 0.08780769
  0.3779591 0.0877917
  0.3712047 0.08776023
  0.3644724 0.08771105
  0.3577637 0.08764197
  0.3510794 0.08755087
  0.3444197 0.08743565
  0.3377842 0.08729428
  0.331172 0.08712474
  0.3245816 0.08692501
  0.3180111 0.08669307
  0.3114581 0.08642688
  0.3049196 0.08612435
  0.2983922 0.08578332
  0.2918722 0.08540227
  0.2853562 0.08498129
  0.2788411 0.08452066
  0.2723247 0.08402062
  0.2658049 0.08348139
  0.2592807 0.08290321
  0.2527511 0.08228633
  0.2462161 0.08163103
  0.239676 0.08093766
  0.2331317 0.08020663
  0.2265848 0.07943846
  0.2200373 0.07863374
  0.2134921 0.07779322
  0.2069523 0.07691776
  0.200422 0.07600838
  0.1939053 0.07506605
  0.1874062 0.07409078
  0.1809274 0.07308204
  0.1744693 0.07203908
  0.1680313 0.07096092
  0.1616107 0.06984626
  0.1552037 0.06869346
  0.1488045 0.06750052
  0.1424072 0.06626395
  0.1360103 0.06497795
  0.1296202 0.06363781
  0.1232516 0.06224076
  0.1169267 0.0607864
  0.1106741 0.05927697
  0.1045267 0.05771742
  0.09851915 0.05611513
  0.09268126 0.05447706
  0.08701115 0.05279971
  0.08146394 0.05106611
  0.07595986 0.04924468
  0.07037801 0.0472844
  0.0645835 0.04513351
  0.05856567 0.0427896
  0.05255457 0.04035399
  0.0469595 0.03801744
  0.04204543 0.03589134
  0.03775522 0.03394071
  0.03392923 0.03209502
  0.03042622 0.03028796
  0.02713001 0.02845465
  0.0239297 0.02651522
  0.02068082 0.02435234
  0.01739576 0.02196847
  0.01441559 0.01966208
