FX 79-L-100
  1.0 0.0
  0.9979549 0.001160106
  0.9953071 0.001132864
  0.9925595 0.001306315
  0.9897052 0.001628803
  0.9865824 0.001847135
  0.9830761 0.00201415
  0.9791274 0.00225142
  0.9747245 0.002568696
  0.9698655 0.002910273
  0.9645598 0.003258914
  0.9588574 0.003635384
  0.9528389 0.004046381
  0.9465937 0.004477133
  0.9401969 0.004916072
  0.9337063 0.00536197
  0.9271599 0.005815745
  0.9205792 0.00627692
  0.9139806 0.006744451
  0.9073763 0.007217971
  0.9007732 0.00769825
  0.8941725 0.00818653
  0.8875709 0.008683574
  0.8809647 0.009189026
  0.8743528 0.009702288
  0.8677359 0.01022273
  0.8611159 0.01074991
  0.8544951 0.01128337
  0.847876 0.01182268
  0.8412606 0.01236798
  0.8346483 0.01291979
  0.8280363 0.01347882
  0.8214195 0.01404545
  0.8147944 0.01461894
  0.8081607 0.01519814
  0.8015216 0.01578161
  0.7948827 0.01636851
  0.7882482 0.0169591
  0.781619 0.01755397
  0.7749928 0.01815399
  0.768365 0.01875959
  0.761732 0.01937041
  0.7550926 0.01998579
  0.7484478 0.02060486
  0.7418008 0.02122688
  0.7351546 0.02185173
  0.7285105 0.02247954
  0.7218683 0.02311059
  0.715226 0.02374521
  0.708581 0.0243833
  0.7019317 0.02502448
  0.6952773 0.02566829
  0.6886178 0.02631418
  0.6819543 0.02696165
  0.675288 0.02761034
  0.6686199 0.02825989
  0.6619507 0.02891
  0.6552814 0.02956033
  0.6486125 0.03021056
  0.641945 0.03086032
  0.6352799 0.03150923
  0.6286184 0.03215691
  0.6219617 0.03280286
  0.6153109 0.03344632
  0.6086665 0.03408656
  0.6020286 0.03472288
  0.5953966 0.03535466
  0.5887696 0.03598136
  0.5821472 0.03660253
  0.5755293 0.03721768
  0.5689165 0.03782628
  0.5623098 0.03842772
  0.5557108 0.0390212
  0.5491203 0.0396057
  0.5425384 0.04018028
  0.5359645 0.04074407
  0.5293972 0.04129629
  0.5228346 0.04183647
  0.5162756 0.04236435
  0.5097194 0.04287963
  0.5031665 0.04338194
  0.4966178 0.04387084
  0.4900748 0.04434566
  0.4835385 0.04480552
  0.4770094 0.04524961
  0.470487 0.04567718
  0.4639704 0.0460875
  0.4574583 0.04648017
  0.4509493 0.04685501
  0.4444423 0.04721182
  0.4379363 0.0475504
  0.4314307 0.04787052
  0.4249248 0.04817204
  0.4184186 0.04845493
  0.4119124 0.04871915
  0.4054068 0.04896462
  0.398903 0.04919128
  0.3924022 0.04939883
  0.3859052 0.04958677
  0.3794122 0.04975467
  0.3729228 0.04990208
  0.3664361 0.05002859
  0.3599506 0.05013406
  0.3534654 0.05021851
  0.3469797 0.05028196
  0.3404934 0.05032439
  0.3340066 0.05034583
  0.3275194 0.05034634
  0.3210318 0.05032604
  0.3145431 0.05028501
  0.3080522 0.05022335
  0.3015579 0.05014121
  0.2950592 0.05003897
  0.2885564 0.04991708
