PMC19 Smoothed
  0.417292 0.05398199
  0.4110778 0.05450924
  0.4048656 0.05502605
  0.3986551 0.05553214
  0.3924462 0.05602718
  0.386239 0.05651085
  0.3800338 0.0569828
  0.3738311 0.05744265
  0.3676317 0.0578898
  0.3614361 0.0583236
  0.3552446 0.0587434
  0.3490576 0.05914858
  0.3428752 0.0595385
  0.3366975 0.05991256
  0.3305246 0.06027004
  0.3243565 0.06061019
  0.3181935 0.06093226
  0.312036 0.06123549
  0.3058844 0.06151916
  0.2997394 0.06178245
  0.2936015 0.06202432
  0.2874713 0.0622437
  0.2813495 0.06243953
  0.2752364 0.06261078
  0.2691327 0.06275642
  0.2630387 0.06287527
  0.2569552 0.0629659
  0.2508832 0.06302688
  0.2448238 0.06305682
  0.2387783 0.06305437
  0.2327483 0.06301814
  0.2267356 0.06294623
  0.2207415 0.06283657
  0.2147671 0.06268713
  0.2088134 0.06249595
  0.2028809 0.06226111
  0.1969699 0.06198061
  0.1910811 0.06165237
  0.185215 0.06127435
  0.1793723 0.06084457
  0.1735535 0.06036107
  0.1677593 0.05982208
  0.16199 0.05922593
  0.1562454 0.05857095
  0.1505243 0.05785534
  0.1448249 0.05707716
  0.1391454 0.05623472
  0.1334848 0.05532705
  0.1278444 0.05435352
  0.1222271 0.05331389
  0.1166381 0.05220833
  0.1110833 0.05103627
  0.1055681 0.04979622
  0.1000955 0.04848648
  0.09466717 0.04710511
  0.08928305 0.04565008
  0.08394188 0.04411949
  0.07864089 0.04251091
  0.07337591 0.04082117
  0.06814111 0.03904756
  0.06292944 0.03719047
  0.05773452 0.03525084
  0.05255097 0.03322957
  0.0473816 0.03113101
  0.04226486 0.02897546
  0.03728014 0.02680363
  0.03252873 0.0246637
  0.02810238 0.02259121
  0.02405311 0.02061177
  0.02040136 0.0187392
  0.01719219 0.01699551
  0.01444949 0.01540823
  0.01213611 0.01398179
  0.01018447 0.01269296
  0.008522471 0.01150935
  0.007088781 0.01040545
  0.005836649 0.009362712
  0.004732566 0.008367591
  0.003764272 0.007409433
  0.002929297 0.006484415
  0.002222109 0.005593078
  0.001633165 0.004736731
  0.001150236 0.003915955
  0.000760551 0.003130497
  0.000456596 0.002380934
  0.0002329657 0.001663785
  8.469792e-05 0.0009716852
  9.518147e-06 0.000295915
  8.882962e-06 -0.0003731915
  8.418728e-05 -0.001044048
  0.0002354725 -0.001720624
  0.0004667861 -0.002403744
  0.000785725 -0.003090127
  0.001201978 -0.00377011
  0.001724127 -0.004434366
  0.002358817 -0.005079425
  0.003111103 -0.005702199
  0.003983562 -0.006300014
  0.004975157 -0.006871206
  0.006080721 -0.00741589
  0.007306607 -0.007933637
  0.008676588 -0.008422117
  0.01022208 -0.008879512
  0.01198344 -0.009305918
  0.01401052 -0.009706313
  0.01636269 -0.01008483
  0.01910634 -0.01043177
  0.02230186 -0.01073679
  0.02599611 -0.01099914
  0.03024581 -0.0112237
  0.03508689 -0.01141223
  0.04047008 -0.01158234
  0.04625955 -0.01175096
  0.05227693 -0.01191605
  0.05839102 -0.0120774
  0.06455672 -0.01223813
  0.07075193 -0.01240246
  0.076957 -0.01257475
  0.0831559 -0.01275847
  0.08933859 -0.0129562
  0.09550184 -0.0131706
  0.1016487 -0.0134042
  0.1077847 -0.01365836
  0.1139133 -0.01393409
  0.1200359 -0.01423232
  0.1261518 -0.01455383
  0.1322605 -0.01489914
  0.1383627 -0.01526885
  0.1444614 -0.01566365
  0.1505613 -0.01608431
  0.1566682 -0.0165302
  0.162787 -0.01699974
  0.1689217 -0.01749123
  0.1750744 -0.01800291
  0.1812463 -0.01853283
  0.1874374 -0.01907877
  0.1936469 -0.01963833
  0.1998732 -0.020209
  0.2061134 -0.0207881
  0.2123642 -0.02137304
  0.2186218 -0.02196177
  0.2248829 -0.02255238
  0.2311449 -0.02314298
  0.2374054 -0.02373175
  0.243663 -0.02431702
  0.249916 -0.02489764
  0.2561636 -0.02547262
  0.2624047 -0.02604098
  0.2686386 -0.02660178
  0.2748649 -0.02715412
  0.2810834 -0.02769701
  0.287294 -0.0282294
  0.2934971 -0.02875029
  0.2996932 -0.02925871
  0.3058831 -0.02975369
  0.312068 -0.0302344
  0.3182489 -0.03070034
  0.3244266 -0.03115111
  0.3306016 -0.03158628
  0.3367743 -0.03200539
  0.3429446 -0.03240798
  0.3491125 -0.03279355
  0.3552776 -0.03316158
  0.3614397 -0.03351155
  0.3675986 -0.03384293
  0.3737541 -0.03415522
  0.379906 -0.03444791
  0.3860542 -0.03472052
  0.3921987 -0.03497268
  0.3983398 -0.03520401
  0.4044783 -0.03541416
  0.4106151 -0.03560276
  0.4167514 -0.03576946
  0.4228887 -0.03591403
  0.4290285 -0.03603677
  0.4351715 -0.03613805
  0.4413183 -0.03621824
  0.4474687 -0.03627768
  0.4536221 -0.03631672
  0.4597775 -0.03633567
  0.4659336 -0.03633466
  0.4720897 -0.03631372
  0.4782455 -0.03627291
  0.4844015 -0.03621227
  0.4905582 -0.03613183
  0.4967169 -0.03603164
  0.5028791 -0.03591207
  0.5090459 -0.03577375
  0.5152178 -0.03561726
  0.5213949 -0.03544324
  0.5275768 -0.03525234
  0.5337625 -0.03504521
  0.5399505 -0.03482227
  0.5461396 -0.03458366
  0.5523289 -0.03432949
  0.5585177 -0.03405987
  0.564706 -0.0337749
  0.5708938 -0.03347465
  0.5770814 -0.03315925
  0.5832696 -0.03282894
  0.5894587 -0.03248399
  0.5956494 -0.03212462
  0.6018422 -0.03175108
  0.6080377 -0.03136361
  0.6142364 -0.03096249
  0.6204388 -0.03054817
  0.626645 -0.03012115
  0.6328549 -0.02968197
  0.639068 -0.02923119
  0.6452836 -0.02876938
  0.6515007 -0.0282971
  0.6577183 -0.02781463
  0.6639356 -0.0273221
  0.6701527 -0.02681964
  0.6763696 -0.0263073
  0.6825871 -0.02578514
  0.6888064 -0.02525318
  0.6950288 -0.02471181
  0.7012551 -0.02416156
  0.707486 -0.02360298
  0.7137215 -0.02303668
  0.7199613 -0.02246332
  0.7262046 -0.02188355
  0.7324507 -0.02129788
  0.738699 -0.02070672
  0.7449494 -0.02011047
  0.7512022 -0.01950947
  0.7574581 -0.01890405
  0.7637181 -0.01829464
  0.7699827 -0.01768206
  0.7762517 -0.01706723
  0.7825242 -0.01645119
  0.7887981 -0.01583505
  0.7950707 -0.01522001
  0.8013389 -0.01460733
  0.8076007 -0.01399817
  0.813855 -0.01339361
  0.8201015 -0.0127946
  0.8263412 -0.012202
  0.8325755 -0.01161646
  0.8388056 -0.01103853
  0.8450315 -0.01046885
  0.8512529 -0.009908092
  0.8574684 -0.009357034
  0.8636766 -0.008816711
  0.8698767 -0.008288278
  0.8760689 -0.007772799
  0.8822544 -0.007271251
  0.8884351 -0.00678441
  0.8946125 -0.006312605
  0.9007866 -0.00585618
  0.9069556 -0.005415591
  0.9131162 -0.004991723
  0.9192624 -0.004587537
  0.9253851 -0.004206809
  0.9314715 -0.003853293
  0.9375076 -0.003531447
  0.943489 -0.00324736
  0.9494279 -0.003006471
  0.9553501 -0.002812558
  0.9612724 -0.002661515
  0.9671703 -0.002546783
  0.9729756 -0.002456215
  0.9785762 -0.002358877
  0.9838437 -0.002226478
  0.9886819 -0.002031999
  0.9930539 -0.001759989
  0.996964 -0.001403886
  1.0 -0.00103
