PMC19 Smoothed
  1.0 0.00095
  0.9969159 0.001308396
  0.9928546 0.001706992
  0.9882693 0.002077076
  0.9831996 0.002414524
  0.9777177 0.0027252
  0.9719216 0.003017887
  0.9659185 0.003298733
  0.9597965 0.00357612
  0.9536177 0.003854837
  0.9474211 0.00414012
  0.9412228 0.0044358
  0.9350288 0.004743535
  0.9288395 0.005065095
  0.9226506 0.005401633
  0.9164585 0.005752845
  0.9102616 0.006118155
  0.9040614 0.006496856
  0.8978612 0.006888592
  0.891663 0.007293417
  0.8854674 0.00771149
  0.8792731 0.008143075
  0.8730777 0.008588162
  0.866879 0.009046299
  0.8606759 0.009516951
  0.8544682 0.00999951
  0.8482567 0.01049333
  0.8420427 0.01099798
  0.8358271 0.01151312
  0.8296106 0.01203843
  0.8233936 0.01257362
  0.817176 0.01311843
  0.8109576 0.01367261
  0.8047382 0.01423593
  0.7985173 0.01480816
  0.7922944 0.01538906
  0.786069 0.01597843
  0.7798406 0.0165759
  0.7736089 0.01718101
  0.7673738 0.01779327
  0.7611355 0.01841218
  0.7548945 0.01903718
  0.7486516 0.01966779
  0.7424073 0.02030371
  0.736162 0.02094471
  0.7299158 0.02159056
  0.7236683 0.02224109
  0.7174189 0.02289615
  0.7111669 0.02355549
  0.7049117 0.02421872
  0.698653 0.02488543
  0.692391 0.02555515
  0.686126 0.02622737
  0.679859 0.02690157
  0.6735909 0.02757748
  0.6673227 0.02825507
  0.6610552 0.02893432
  0.6547888 0.02961525
  0.6485238 0.0302979
  0.6422602 0.03098232
  0.6359979 0.03166816
  0.6297365 0.03235481
  0.6234757 0.03304163
  0.6172148 0.033728
  0.6109533 0.03441332
  0.6046905 0.03509701
  0.5984258 0.03577887
  0.5921589 0.03645912
  0.5858898 0.03713792
  0.5796191 0.03781541
  0.5733477 0.03849167
  0.5670769 0.03916674
  0.5608081 0.03984035
  0.5545427 0.0405118
  0.5482815 0.04118044
  0.5420248 0.04184567
  0.5357726 0.04250691
  0.5295243 0.04316367
  0.523279 0.04381557
  0.5170359 0.0444625
  0.5107942 0.04510432
  0.5045534 0.04574089
  0.498313 0.04637205
  0.4920728 0.04699762
  0.4858328 0.04761741
  0.479593 0.04823123
  0.4733537 0.04883887
  0.4671152 0.04944013
  0.4608778 0.05003479
  0.4546422 0.05062262
  0.448409 0.05120334
  0.4421788 0.05177643
  0.435952 0.05234135
  0.4297287 0.05289759
  0.4235088 0.05344462
