FX 79-W-470A
  1.0 0.03209
  0.9979637 0.0283383
  0.9970585 0.02851175
  0.9966319 0.03028777
  0.9964415 0.0329424
  0.9963862 0.03617522
  0.996408 0.03981504
  0.9964662 0.04374222
  0.9965277 0.0478588
  0.9965625 0.05207402
  0.9965416 0.05629614
  0.9964357 0.06042766
  0.9962153 0.06436301
  0.9958511 0.06798898
  0.9953184 0.07120045
  0.9946206 0.07401199
  0.9937768 0.07650807
  0.9928056 0.07877484
  0.9917245 0.08089637
  0.990549 0.08295329
  0.9892918 0.08501215
  0.9879593 0.08707569
  0.986556 0.0891239
  0.9850867 0.09113688
  0.9835562 0.09309485
  0.9819695 0.09497809
  0.9803241 0.09676602
  0.9786106 0.09843958
  0.9768169 0.09998218
  0.9749275 0.1013784
  0.9729227 0.1026124
  0.9707876 0.1036812
  0.9685238 0.1046067
  0.9661364 0.1054117
  0.963634 0.1061187
  0.9610309 0.1067518
  0.9583376 0.1073306
  0.9555499 0.1078654
  0.9526625 0.1083686
  0.9496712 0.1088552
  0.9465734 0.1093436
  0.9433706 0.1098516
  0.9400652 0.1103969
  0.9366564 0.1110016
  0.9331382 0.1116932
  0.9294945 0.1125003
  0.9256948 0.1134277
  0.9217031 0.1144704
  0.9174822 0.1156181
  0.9129989 0.1168511
  0.9082335 0.1181616
  0.9031721 0.119557
  0.8977977 0.1210482
  0.8920831 0.1226503
  0.8859886 0.1243816
  0.879466 0.1262634
  0.8724584 0.1283215
  0.8648976 0.1305785
  0.8567074 0.1330466
  0.8478191 0.1357287
  0.838189 0.1386307
  0.8277944 0.1417664
  0.8166254 0.1451471
  0.8047262 0.1487645
  0.7922542 0.1525856
  0.77936 0.1566278
  0.7659329 0.160997
  0.7516815 0.1657474
  0.7365827 0.1707898
  0.7209238 0.1759916
  0.7049044 0.1812819
  0.6887108 0.1866161
  0.6726909 0.1919064
  0.6571189 0.1970959
  0.6420649 0.2021535
  0.6275675 0.2069902
  0.613698 0.2115128
  0.6003987 0.2156839
  0.587457 0.2195311
  0.5746384 0.2231272
  0.5617702 0.2265349
  0.5487344 0.2298055
  0.5354959 0.2329901
  0.5221301 0.2361149
  0.5088092 0.2391601
  0.4957588 0.2420841
  0.4831806 0.2448311
  0.471113 0.2473536
  0.4594529 0.249645
  0.448085 0.2517412
  0.4369976 0.253677
  0.4262631 0.2554653
  0.415959 0.2570877
  0.4061077 0.2585277
  0.3966915 0.2597807
  0.3876691 0.2608444
  0.3789807 0.2617181
  0.3705572 0.2624023
  0.3623274 0.2629012
  0.3542384 0.2632326
  0.3462658 0.2634136
  0.3384085 0.2634587
  0.3306817 0.2633773
  0.3230976 0.2631682
  0.3156532 0.2628287
  0.308334 0.2623559
  0.301117 0.2617478
  0.2939819 0.2610098
  0.2869195 0.2601484
  0.2799304 0.2591706
  0.2730241 0.2580836
  0.2662118 0.256889
  0.2594977 0.2555849
  0.2528781 0.2541684
  0.2463431 0.2526351
  0.2398789 0.2509839
  0.233477 0.2492182
  0.2271355 0.2473427
  0.2208594 0.2453639
  0.2146594 0.2432872
  0.2085452 0.241111
  0.2025193 0.2388308
  0.1965769 0.2364392
  0.1907075 0.2339271
  0.1848961 0.2312908
  0.179131 0.2285303
  0.1734047 0.2256464
  0.1677144 0.2226418
  0.1620604 0.2195204
  0.1564441 0.216287
  0.1508685 0.2129473
  0.1453372 0.2095081
  0.1398556 0.2059766
  0.1344302 0.2023599
  0.1290687 0.1986656
  0.1237787 0.1949025
  0.1185688 0.1910797
  0.1134484 0.1872056
  0.1084267 0.1832885
  0.1035123 0.1793371
  0.09871327 0.1753597
  0.09403834 0.1713612
  0.08949394 0.1673443
  0.0850838 0.1633102
  0.08080949 0.1592589
  0.07667126 0.1551903
  0.07266826 0.1511036
  0.06879868 0.1469968
  0.06505993 0.1428677
  0.06144627 0.1387162
  0.05795026 0.1345459
  0.05456571 0.1303609
  0.05128758 0.126166
  0.04811075 0.1219676
  0.045029 0.1177762
  0.04203893 0.1136067
  0.03913985 0.1094775
  0.03633342 0.1054087
  0.03362891 0.1014133
  0.03103637 0.09749491
  0.02856077 0.09365209
  0.02620325 0.08987975
  0.02396172 0.08617149
  0.02183181 0.08252368
  0.01981005 0.07893514
  0.01789378 0.07540633
  0.01608103 0.07193867
  0.01437536 0.06853154
  0.01278284 0.06517981
  0.01130687 0.06187551
  0.009949097 0.05860876
  0.008709266 0.05536886
  0.007578098 0.05214979
  0.006543577 0.04895031
  0.005595772 0.04577176
  0.004726257 0.04261753
  0.003927823 0.03949272
  0.003197952 0.03640164
  0.002538364 0.03334581
  0.00195034 0.03032515
  0.001434672 0.02733843
  0.0009918493 0.02438342
  0.0006214823 0.02145775
  0.0003215637 0.01855991
  9.013394e-05 0.01568834
  -7.445685e-05 0.01284124
  -0.0001735409 0.01001665
  -0.0002081253 0.007212437
  -0.0001788815 0.004426303
  -8.613117e-05 0.001655794
  7.023254e-05 -0.001101713
  0.0002930021 -0.003848578
  0.0005882967 -0.006586344
  0.0009627489 -0.009315947
  0.001422737 -0.01203778
  0.001969921 -0.01475186
  0.002603554 -0.01745784
  0.00332296 -0.02015487
  0.004127479 -0.02284159
  0.005016898 -0.02551589
  0.005994606 -0.02817374
  0.007066229 -0.0308114
  0.008238612 -0.03342647
  0.009520275 -0.03601781
  0.01091951 -0.03858719
  0.01243392 -0.04114432
  0.01405645 -0.04369969
  0.01577775 -0.04626178
  0.01758515 -0.04883659
  0.01946989 -0.05142333
  0.02143597 -0.05401377
  0.0234906 -0.05660055
  0.02564374 -0.05917838
  0.02790862 -0.06174482
  0.03029434 -0.06430555
  0.03280434 -0.06687081
  0.03544031 -0.06944992
  0.03820109 -0.0720508
  0.04108362 -0.07467791
  0.04409039 -0.07732934
  0.04722633 -0.08000256
  0.05049813 -0.08269603
  0.05391487 -0.08540984
  0.05748682 -0.08814698
  0.06122454 -0.09091197
  0.06513945 -0.0937097
  0.0692437 -0.09654559
  0.07354892 -0.09942792
  0.07806402 -0.1023672
  0.0827929 -0.1053732
  0.08773181 -0.1084529
  0.09287541 -0.1116005
  0.09822019 -0.1148029
  0.1037636 -0.1180465
  0.1095055 -0.1213188
  0.1154487 -0.124608
  0.1216 -0.1279035
  0.1279719 -0.1311971
  0.1345787 -0.1344891
  0.1414271 -0.1377829
  0.148513 -0.1410785
  0.1558219 -0.1443671
  0.1633417 -0.147633
  0.1710699 -0.1508637
  0.1790152 -0.1540535
  0.1871852 -0.1572038
  0.1955748 -0.1603136
  0.2041635 -0.1633754
  0.2129287 -0.1663743
  0.221859 -0.1692978
  0.2309574 -0.17214
  0.2402264 -0.1749021
  0.2496501 -0.1775828
  0.2591921 -0.1801741
  0.268816 -0.1826595
  0.2785091 -0.1850269
  0.2882827 -0.1872734
  0.2981441 -0.1894092
  0.3080663 -0.1914417
  0.3179872 -0.1933689
  0.3278408 -0.1951699
  0.3375855 -0.1968258
  0.3472049 -0.198324
  0.3567046 -0.1996534
  0.3661108 -0.2008046
  0.3754686 -0.2017701
  0.384833 -0.2025524
  0.3942557 -0.2031609
  0.4037839 -0.2036013
  0.4134616 -0.2038797
  0.4233207 -0.2040103
  0.4333677 -0.2040093
  0.4435762 -0.2038934
  0.4538941 -0.2036698
  0.4642594 -0.2033439
  0.4746056 -0.2029224
  0.4848684 -0.2024009
  0.4949959 -0.2017696
  0.5049508 -0.2010204
  0.5147152 -0.2001405
  0.5243078 -0.1991092
  0.5337841 -0.1979015
  0.5432298 -0.1964931
  0.5527333 -0.1948785
  0.5623638 -0.1930538
  0.5721705 -0.1910151
  0.582189 -0.1887598
  0.5924534 -0.186285
  0.6029975 -0.1835886
  0.6138517 -0.1806694
  0.6250323 -0.1775307
  0.6365298 -0.174186
  0.6483022 -0.1706557
  0.6602842 -0.1669659
  0.6723909 -0.1631502
  0.6845145 -0.1592451
  0.696528 -0.155295
  0.7083213 -0.1513814
  0.7198482 -0.1476063
  0.7311149 -0.144038
  0.7421463 -0.1406927
  0.7529769 -0.1375677
  0.7636466 -0.1346512
  0.7741879 -0.1319204
  0.7846254 -0.1293529
  0.7949483 -0.1269038
  0.8050724 -0.124527
  0.8148651 -0.122205
  0.8242236 -0.1199549
  0.8331059 -0.1177881
  0.8415058 -0.1157097
  0.8494141 -0.113727
  0.8568207 -0.1118481
  0.8637392 -0.1100991
  0.8702248 -0.1085105
  0.876349 -0.1070942
  0.8821791 -0.1058443
  0.8877586 -0.1047297
  0.8931114 -0.1037229
  0.8982506 -0.1028032
  0.9031832 -0.1019528
  0.9079112 -0.1011548
  0.912434 -0.1003961
  0.9167508 -0.09966661
  0.920865 -0.0989709
  0.9247921 -0.09833377
  0.9285544 -0.09777434
  0.932177 -0.09730576
  0.935684 -0.09693476
  0.9390917 -0.09664377
  0.942407 -0.09640783
  0.9456313 -0.09620609
  0.9487626 -0.09602099
  0.951798 -0.09583593
  0.954739 -0.09563207
  0.9575892 -0.09539306
  0.9603531 -0.09510577
  0.9630351 -0.09475949
  0.9656293 -0.09433437
  0.968121 -0.09379972
  0.9705023 -0.09312694
  0.9727699 -0.09228787
  0.9749244 -0.09125518
  0.9769807 -0.09003405
  0.978958 -0.08864965
  0.9808697 -0.08712761
  0.9827248 -0.08549647
  0.9845256 -0.08378455
  0.9862573 -0.0819937
  0.9879011 -0.08011286
  0.9894401 -0.07812702
  0.9908581 -0.07601603
  0.992147 -0.07376337
  0.9933087 -0.07136413
  0.9943431 -0.06881285
  0.9952469 -0.06610233
  0.9960131 -0.0632236
  0.9966421 -0.06015589
  0.9971502 -0.0568563
  0.9975617 -0.05325956
  0.9979165 -0.0492599
  0.9982903 -0.04466339
  0.9988672 -0.03902812
  1.0 -0.03218
