NN7 MK20
  0.2118323 -0.05081907
  0.218394 -0.05127033
  0.2249799 -0.05169571
  0.2315895 -0.05209729
  0.2382211 -0.05247686
  0.2448708 -0.05283612
  0.251532 -0.05317674
  0.2581967 -0.0534993
  0.2648571 -0.0538023
  0.2715078 -0.05408417
  0.2781457 -0.05434347
  0.2847694 -0.05457887
  0.2913793 -0.05478902
  0.2979767 -0.05497251
  0.3045638 -0.05512798
  0.3111434 -0.05525407
  0.3177193 -0.05535016
  0.3242951 -0.05541668
  0.3308746 -0.05545406
  0.3374615 -0.05546265
  0.3440593 -0.05544286
  0.3506712 -0.05539591
  0.3572987 -0.05532357
  0.3639417 -0.0552276
  0.3705977 -0.05510985
  0.3772629 -0.0549719
  0.3839323 -0.05481399
  0.3906012 -0.05463605
  0.3972655 -0.05443806
  0.4039214 -0.05422005
  0.4105653 -0.05398155
  0.4171946 -0.05372112
  0.4238071 -0.05343719
  0.4304014 -0.05312821
  0.436977 -0.05279266
  0.4435337 -0.05242899
  0.4500719 -0.05203571
  0.4565923 -0.0516113
  0.4630959 -0.05115422
  0.469584 -0.05066293
  0.4760582 -0.05013621
  0.4825205 -0.04957339
  0.4889731 -0.04897377
  0.4954185 -0.04833657
  0.5018594 -0.04766091
  0.5082989 -0.04694638
  0.5147399 -0.04619346
  0.521185 -0.04540275
  0.527636 -0.04457485
  0.5340945 -0.04371037
  0.5405617 -0.04281015
  0.5470384 -0.04187535
  0.5535253 -0.04090727
  0.5600226 -0.03990722
  0.5665305 -0.03887659
  0.5730488 -0.03781677
  0.5795774 -0.03672903
  0.586116 -0.03561463
  0.592665 -0.03447482
  0.5992242 -0.03331086
  0.6057942 -0.03212405
  0.6123756 -0.03091579
  0.6189693 -0.02968744
  0.6255767 -0.02844032
  0.6321993 -0.02717569
  0.6388388 -0.02589503
  0.6454954 -0.02460029
  0.6521673 -0.02329393
  0.6588501 -0.02197884
  0.6655377 -0.02065851
  0.6722222 -0.01933734
  0.6788962 -0.01802008
  0.6855523 -0.01671138
  0.6921838 -0.0154157
  0.6987845 -0.01413773
  0.7053497 -0.01288286
  0.7118767 -0.01165614
  0.7183643 -0.01046206
  0.724813 -0.00930463
  0.7312245 -0.008187484
  0.7376011 -0.00711398
  0.7439462 -0.006087236
  0.7502636 -0.005110182
  0.7565579 -0.004185244
  0.7628338 -0.003313455
  0.7690965 -0.002495587
  0.7753518 -0.001732479
  0.7816063 -0.001024972
  0.7878661 -0.000372503
  0.7941359 0.0002263373
  0.8004184 0.0007726539
  0.8067144 0.001267304
  0.813023 0.001711001
  0.819344 0.00210448
  0.8256782 0.002448539
  0.8320276 0.002744005
  0.8383951 0.002992071
  0.8447824 0.003194391
  0.851189 0.003352588
  0.8576125 0.003468226
  0.8640496 0.003542109
  0.8705003 0.003574542
  0.8769686 0.003565802
  0.8834622 0.003516974
  0.8899898 0.003431333
  0.8965596 0.003312457
