Curtis C-72
  0.1863098 0.0005580219
  0.1933501 0.0004176323
  0.2004009 0.0002933426
  0.2074607 0.0001839267
  0.2145287 8.899927e-05
  0.2216043 8.350877e-06
  0.228687 -5.823426e-05
  0.2357762 -0.0001109779
  0.2428712 -0.0001501077
  0.2499715 -0.0001758571
  0.2570765 -0.0001884648
  0.2641856 -0.0001881749
  0.2712981 -0.0001752368
  0.2784135 -0.0001499044
  0.2855311 -0.0001124366
  0.2926504 -6.309642e-05
  0.2997708 -2.151319e-06
  0.3068917 7.018202e-05
  0.3140124 0.0001539241
  0.3211326 0.0002491593
  0.3282519 0.00035597
  0.3353698 0.0004744375
  0.3424862 0.0006046424
  0.3496008 0.000746665
  0.3567136 0.0009005862
  0.3638244 0.001066488
  0.3709334 0.001244454
  0.3780406 0.00143457
  0.3851463 0.001636924
  0.3922507 0.001851611
  0.399354 0.002078725
  0.4064568 0.002318157
  0.4135595 0.002568686
  0.4206625 0.002828726
  0.4277665 0.003096694
  0.4348717 0.003371005
  0.4419787 0.003650071
  0.4490878 0.003932304
  0.4561994 0.00421611
  0.4633138 0.004499894
  0.4704315 0.004782054
  0.4775526 0.005060984
  0.4846775 0.005335069
  0.4918065 0.005602693
  0.4989397 0.005862227
  0.5060775 0.006112217
  0.5132198 0.006352307
  0.5203667 0.006582569
  0.527518 0.00680307
  0.5346734 0.007013876
  0.5418325 0.007215053
  0.5489947 0.007406662
  0.5561595 0.007588766
  0.5633259 0.007761431
  0.5704931 0.00792472
  0.57766 0.008078701
  0.5848255 0.008223444
  0.5919882 0.008359023
  0.5991467 0.008485517
  0.6062994 0.008602943
  0.613445 0.00871095
  0.6205823 0.008809069
  0.6277105 0.008896844
  0.6348292 0.008973828
  0.6419383 0.009039587
  0.6490381 0.00909369
  0.6561291 0.009135712
  0.6632123 0.009165227
  0.6702888 0.009181808
  0.6773602 0.009185018
  0.6844283 0.009174414
  0.6914953 0.009149534
  0.6985637 0.009109899
  0.7056363 0.009055107
  0.7127158 0.008985487
  0.7198049 0.008901696
  0.7269053 0.008804386
  0.7340186 0.008694209
  0.7411458 0.008571825
  0.7482871 0.008437905
  0.7554426 0.008293138
  0.7626115 0.008138234
  0.7697927 0.007973931
  0.7769844 0.007800991
  0.7841841 0.007620209
  0.7913889 0.007432412
  0.7985953 0.007238454
  0.8057991 0.007039161
  0.8129964 0.006834947
  0.8201838 0.006626017
  0.8273595 0.006412555
  0.8345222 0.006194718
  0.8416719 0.005972633
  0.8488095 0.005746393
  0.8559369 0.005516058
  0.863057 0.005281653
  0.8701733 0.005043162
  0.8772906 0.004800528
  0.8844146 0.00455365
  0.8915518 0.004302378
  0.8987101 0.00404651
  0.905898 0.003785783
  0.9131179 0.003520042
  0.9203548 0.003249739
  0.9275742 0.002976101
  0.9347239 0.002701115
  0.9417399 0.002427355
  0.9485545 0.002157685
  0.9551065 0.001894858
  0.9613525 0.001641051
  0.9672729 0.001397545
  0.9728667 0.001164849
  0.9781454 0.0009429274
  0.9831272 0.0007314052
  0.9878338 0.0005297157
  0.9922873 0.0003372061
  0.9965097 0.0001532014
  1.0 0.0
