USA-35B AIRFOIL
  0.08748722 -0.02658461
  0.09339861 -0.02673975
  0.09960762 -0.02689075
  0.1060656 -0.02703903
  0.1127194 -0.0271808
  0.1195116 -0.02731029
  0.1263881 -0.02742182
  0.1333053 -0.02751012
  0.1402356 -0.0275705
  0.1471694 -0.0275987
  0.1541154 -0.02759091
  0.1610958 -0.02754884
  0.168132 -0.02747852
  0.1752417 -0.02738612
  0.1824375 -0.02727814
  0.1897272 -0.02716156
  0.197112 -0.02704405
  0.2045856 -0.02693361
  0.2121351 -0.0268335
  0.2197462 -0.02674304
  0.2274053 -0.02666132
  0.2350994 -0.0265873
  0.2428167 -0.02651985
  0.2505468 -0.02645774
  0.2582812 -0.02639971
  0.2660129 -0.02634446
  0.2737368 -0.02629066
  0.2814498 -0.02623699
  0.2891505 -0.02618211
  0.2968394 -0.02612468
  0.3045188 -0.02606342
  0.3121919 -0.02599786
  0.3198621 -0.02592815
  0.3275324 -0.02585447
  0.335205 -0.02577699
  0.3428821 -0.0256959
  0.3505651 -0.02561136
  0.3582553 -0.02552355
  0.3659533 -0.02543267
  0.3736594 -0.02533889
  0.3813735 -0.02524242
  0.3890949 -0.02514346
  0.3968227 -0.02504222
  0.4045551 -0.02493893
  0.4122905 -0.024834
  0.420027 -0.024728
  0.4277631 -0.02462148
  0.4354973 -0.02451501
  0.4432283 -0.02440913
  0.4509551 -0.02430441
  0.4586768 -0.02420138
  0.4663926 -0.0241006
  0.4741019 -0.02400258
  0.4818045 -0.02390788
  0.4894999 -0.023817
  0.4971883 -0.02373047
  0.5048696 -0.0236488
  0.5125442 -0.02357225
  0.5202124 -0.02350095
  0.5278747 -0.02343502
  0.5355317 -0.02337458
  0.5431842 -0.02331974
  0.5508329 -0.02327062
  0.5584789 -0.02322736
  0.5661233 -0.02319006
  0.5737672 -0.02315886
  0.5814119 -0.02313389
  0.589059 -0.02311528
  0.5967099 -0.02310317
  0.6043664 -0.02309769
  0.6120302 -0.02309861
  0.6197027 -0.02310544
  0.627385 -0.02311768
  0.6350779 -0.02313481
  0.6427817 -0.02315633
  0.6504964 -0.0231817
  0.6582217 -0.02321042
  0.6659566 -0.02324196
  0.6737001 -0.02327576
  0.6814505 -0.02331129
  0.6892059 -0.02334801
  0.6969639 -0.02338534
  0.7047216 -0.02342278
  0.712476 -0.02346047
  0.7202245 -0.023499
  0.7279648 -0.02353902
  0.7356952 -0.02358115
  0.7434141 -0.023626
  0.7511207 -0.02367418
  0.7588145 -0.02372632
  0.7664952 -0.023783
  0.7741632 -0.02384484
  0.7818192 -0.02391244
  0.7894641 -0.02398638
  0.7970994 -0.02406729
  0.8047268 -0.0241557
  0.8123484 -0.02425137
  0.8199656 -0.02435344
  0.8275797 -0.02446107
  0.8351915 -0.02457341
  0.842801 -0.0246896
  0.8504084 -0.02480876
  0.8580128 -0.02493005
  0.8656133 -0.02505257
  0.8732085 -0.02517546
  0.8807965 -0.02529784
  0.8883749 -0.0254188
  0.8959412 -0.02553749
  0.9034921 -0.02565306
  0.9110213 -0.02576606
  0.9185093 -0.02587838
  0.9259221 -0.02599168
  0.9332144 -0.02610725
  0.9403346 -0.02622602
  0.9472318 -0.02634843
  0.953862 -0.02647453
  0.9601945 -0.02660331
  0.9662161 -0.02673334
  0.9719279 -0.02686352
  0.9773407 -0.02699303
  0.9824707 -0.02712128
  0.9873367 -0.02724788
  0.9919584 -0.0273726
  0.996355 -0.0274953
  1.0 -0.0276
