  SD7080 (9.2%)
  1.0 0.0
  0.9967877 0.0003609093
  0.9925873 0.0008757085
  0.9878817 0.001499948
  0.9827519 0.002222507
  0.9772851 0.003031261
  0.9715801 0.003910731
  0.9657112 0.00484585
  0.9597215 0.005826355
  0.9536454 0.006842666
  0.9475077 0.007885955
  0.9413226 0.00894992
  0.9351007 0.01003007
  0.9288523 0.01112191
  0.9225867 0.01222094
  0.9163128 0.01332314
  0.9100377 0.01442551
  0.9037666 0.01552548
  0.8975026 0.01662085
  0.891247 0.01770979
  0.8849992 0.01879106
  0.8787583 0.01986386
  0.8725235 0.02092741
  0.8662941 0.02198089
  0.8600694 0.02302352
  0.8538487 0.02405452
  0.8476317 0.02507344
  0.8414176 0.02607987
  0.8352058 0.02707347
  0.8289956 0.02805387
  0.8227863 0.02902072
  0.816577 0.02997373
  0.8103669 0.03091292
  0.8041553 0.03183848
  0.7979416 0.03275055
  0.7917251 0.03364926
  0.7855054 0.03453475
  0.779282 0.03540712
  0.7730544 0.03626656
  0.7668226 0.03711343
  0.7605862 0.0379481
  0.7543451 0.0387709
  0.7480995 0.03958218
  0.7418494 0.04038226
  0.735595 0.04117146
  0.7293366 0.04195003
  0.7230744 0.04271814
  0.716809 0.04347597
  0.7105404 0.04422366
  0.7042689 0.04496139
  0.697995 0.04568933
  0.6917188 0.04640765
  0.6854407 0.04711649
  0.6791609 0.04781589
  0.6728795 0.04850583
  0.6665969 0.0491863
  0.6603132 0.04985728
  0.6540285 0.05051879
  0.647743 0.0511708
  0.6414568 0.05181333
  0.63517 0.05244636
  0.6288827 0.05306983
  0.6225949 0.05368367
  0.6163067 0.05428783
  0.6100181 0.05488225
  0.6037291 0.05546688
  0.5974397 0.05604165
  0.5911497 0.05660653
  0.5848593 0.05716146
  0.5785683 0.05770639
  0.5722768 0.05824127
  0.5659849 0.05876604
  0.5596925 0.05928064
  0.5533999 0.05978501
  0.5471071 0.06027909
  0.5408144 0.06076281
  0.534522 0.06123605
  0.52823 0.06169862
  0.5219385 0.06215037
  0.5156478 0.06259111
  0.5093579 0.06302067
  0.5030687 0.06343889
  0.4967805 0.06384561
  0.490493 0.06424067
  0.4842063 0.06462391
  0.4779203 0.06499517
  0.4716351 0.0653543
  0.4653506 0.06570114
  0.4590669 0.06603553
  0.4527839 0.06635732
  0.4465017 0.06666633
  0.4402203 0.06696242
  0.4339398 0.0672454
  0.4276604 0.06751502
  0.4213821 0.06777109
  0.4151052 0.06801337
  0.4088297 0.06824164
  0.4025559 0.06845568
  0.3962841 0.06865528
  0.3900145 0.0688402
  0.3837475 0.06901012
  0.3774832 0.06916466
  0.3712219 0.06930344
  0.3649637 0.06942609
  0.3587087 0.06953224
  0.352457 0.06962153
  0.3462085 0.06969359
  0.3399632 0.06974806
  0.333721 0.06978457
  0.3274821 0.06980276
  0.3212464 0.06980227
  0.3150142 0.06978273
  0.3087855 0.06974378
  0.3025607 0.06968507
  0.29634 0.06960624
  0.2901239 0.06950678
  0.2839127 0.06938608
  0.277707 0.06924358
  0.2715074 0.06907868
  0.2653146 0.06889082
  0.2591293 0.06867946
  0.2529523 0.06844405
  0.2467844 0.06818384
  0.2406264 0.06789791
  0.2344789 0.06758535
  0.2283421 0.06724525
  0.2222162 0.06687669
  0.2161011 0.06647876
  0.2099967 0.06605053
  0.2039028 0.06559105
  0.1978199 0.06509937
  0.1917486 0.0645746
  0.1856902 0.06401594
  0.1796463 0.06342261
  0.1736189 0.06279394
  0.1676103 0.06212884
  0.1616228 0.06142578
  0.1556579 0.06068326
  0.1497171 0.05989977
  0.1438011 0.0590738
  0.1379104 0.0582038
  0.1320457 0.05728785
  0.1262092 0.05632399
  0.1204042 0.05531057
  0.1146354 0.05424636
  0.1089085 0.05313055
  0.1032301 0.05196231
  0.09760607 0.05073976
  0.09203905 0.04946054
  0.08652916 0.04812186
  0.08107413 0.04672043
  0.07567153 0.04525192
  0.0703295 0.04371291
  0.06507115 0.04210508
  0.05993143 0.040436
  0.05495163 0.03871842
  0.05016519 0.03696277
  0.0455756 0.03516939
  0.04116169 0.03332987
  0.03688815 0.03142831
  0.03272922 0.02944853
  0.02874827 0.02741601
  0.02508451 0.02540998
  0.02184951 0.02351722
  0.01906476 0.02178094
