AH 93-W-257
  0.1034131 -0.09457532
  0.1076061 -0.09614047
  0.1119264 -0.09770022
  0.1163749 -0.09925136
  0.1209519 -0.1007905
  0.1256574 -0.1023143
  0.1304914 -0.1038191
  0.1354534 -0.1053016
  0.1405424 -0.1067582
  0.1457569 -0.1081852
  0.1510951 -0.1095791
  0.1565549 -0.110936
  0.1621342 -0.1122524
  0.1678304 -0.1135244
  0.1736412 -0.1147486
  0.1795644 -0.1159221
  0.1855976 -0.117042
  0.1917384 -0.118106
  0.1979846 -0.1191118
  0.2043339 -0.1200576
  0.2107834 -0.1209422
  0.2173289 -0.1217645
  0.2239649 -0.1225236
  0.2306848 -0.1232181
  0.2374823 -0.1238448
  0.2443525 -0.124401
  0.2512922 -0.1248839
  0.2582996 -0.1252918
  0.2653736 -0.1256237
  0.2725121 -0.1258789
  0.2797122 -0.126057
  0.2869705 -0.1261572
  0.2942836 -0.1261786
  0.3016496 -0.1261199
  0.3090677 -0.1259802
  0.3165387 -0.1257587
  0.3240635 -0.125456
  0.3316415 -0.1250729
  0.3392703 -0.1246106
  0.3469462 -0.1240702
  0.3546645 -0.1234517
  0.3624219 -0.1227547
  0.3702162 -0.1219791
  0.3780464 -0.1211245
  0.3859119 -0.1201912
  0.393811 -0.1191797
  0.4017408 -0.1180909
  0.4096968 -0.1169256
  0.4176749 -0.115683
  0.4256726 -0.1143616
  0.4336902 -0.1129594
  0.4417304 -0.1114743
  0.449798 -0.1099047
  0.4578981 -0.1082496
  0.4660365 -0.1065075
  0.474219 -0.1046769
  0.4824521 -0.1027574
  0.4907419 -0.100749
  0.4990935 -0.09865192
  0.5075116 -0.09646662
  0.5160002 -0.09419343
  0.5245637 -0.0918327
  0.5332066 -0.08938477
  0.5419337 -0.08685018
  0.5507498 -0.08423012
  0.5596593 -0.08152629
  0.5686655 -0.07874094
  0.577771 -0.0758777
  0.5869756 -0.07294252
  0.5962755 -0.06994322
  0.6056622 -0.06688975
  0.6151198 -0.06379456
  0.6246223 -0.06067385
  0.634133 -0.05754771
  0.643609 -0.05443807
  0.6530136 -0.05136429
  0.6623211 -0.04834174
  0.6715156 -0.04538227
  0.6805888 -0.04249572
  0.6895374 -0.03968966
  0.6983619 -0.03696947
  0.7070642 -0.03433798
  0.7156447 -0.03179719
  0.724103 -0.02934903
  0.7324388 -0.02699604
  0.7406528 -0.02474126
  0.7487482 -0.0225868
  0.7567291 -0.02053402
  0.7646011 -0.01858425
  0.7723703 -0.01673848
  0.7800441 -0.01499728
  0.7876298 -0.01336045
  0.7951349 -0.01182695
  0.8025667 -0.01039569
  0.8099329 -0.009065552
  0.8172397 -0.007834031
  0.8244904 -0.006698446
  0.831686 -0.005656699
  0.8388254 -0.004707951
  0.8459087 -0.00385287
  0.8529383 -0.003091984
  0.859918 -0.002425253
  0.8668511 -0.001850642
  0.8737382 -0.001365804
  0.8805774 -0.0009688364
  0.8873659 -0.0006599454
  0.8941026 -0.0004404083
  0.900788 -0.0003112553
  0.9074239 -0.0002722376
  0.9140118 -0.0003222871
  0.9205532 -0.0004602022
  0.9270482 -0.0006827412
  0.9334939 -0.0009855124
  0.9398843 -0.001365815
  0.9462141 -0.001826727
  0.9524815 -0.002372129
  0.9586881 -0.003002958
  0.9648379 -0.003717255
  0.9709373 -0.004481713
  0.9769831 -0.005235354
  0.9829499 -0.006008604
  0.9888227 -0.006796096
  0.9947358 -0.007241891
  1.0 -0.00744
