FX 78-K-140/20
  0.2597167 -0.02590712
  0.2660113 -0.02597561
  0.2723093 -0.02603897
  0.2786108 -0.02609776
  0.284916 -0.0261525
  0.2912246 -0.02620365
  0.2975361 -0.02625167
  0.3038497 -0.026297
  0.3101646 -0.02634009
  0.3164794 -0.02638118
  0.3227934 -0.0264201
  0.329106 -0.02645664
  0.3354173 -0.02649059
  0.341728 -0.02652174
  0.3480388 -0.02655003
  0.3543506 -0.0265756
  0.3606635 -0.02659862
  0.3669774 -0.02661923
  0.3732914 -0.02663758
  0.3796047 -0.02665367
  0.3859165 -0.0266673
  0.3922268 -0.0266783
  0.3985361 -0.02668645
  0.4048456 -0.02669158
  0.4111567 -0.0266937
  0.4174704 -0.02669309
  0.4237866 -0.02669006
  0.4301042 -0.02668493
  0.436421 -0.02667799
  0.4427344 -0.02666917
  0.4490421 -0.0266576
  0.4553436 -0.02664237
  0.4616397 -0.02662253
  0.4679329 -0.02659717
  0.4742269 -0.02656574
  0.4805249 -0.02652888
  0.4868287 -0.02648743
  0.4931383 -0.02644226
  0.4994516 -0.02639427
  0.5057651 -0.02634414
  0.512075 -0.0262914
  0.5183793 -0.02623521
  0.5246775 -0.02617471
  0.5309715 -0.02610906
  0.5372644 -0.02603745
  0.5435604 -0.02596006
  0.5498617 -0.02587762
  0.5561684 -0.02579089
  0.5624787 -0.02570066
  0.5687885 -0.0256077
  0.5750926 -0.02551159
  0.5813876 -0.0254109
  0.5876724 -0.02530412
  0.5939487 -0.02518973
  0.6002202 -0.02506619
  0.6064925 -0.024933
  0.6127698 -0.024791
  0.6190539 -0.02464112
  0.6253442 -0.0244844
  0.6316375 -0.02432188
  0.6379287 -0.02415384
  0.6442139 -0.02397928
  0.6504908 -0.02379705
  0.65676 -0.02360595
  0.6630238 -0.02340473
  0.6692862 -0.02319282
  0.6755507 -0.02297066
  0.6818193 -0.02273884
  0.6880922 -0.02249798
  0.694368 -0.02224876
  0.7006442 -0.02199141
  0.7069186 -0.02172567
  0.7131901 -0.02145122
  0.7194582 -0.02116769
  0.7257235 -0.02087473
  0.7319872 -0.02057225
  0.7382504 -0.02026031
  0.7445142 -0.01993899
  0.7507796 -0.01960836
  0.7570474 -0.01926848
  0.7633175 -0.01891946
  0.7695886 -0.01856147
  0.7758579 -0.01819477
  0.7821212 -0.01781966
  0.7883749 -0.01743557
  0.7946186 -0.01704128
  0.8008559 -0.01663525
  0.8070947 -0.01621578
  0.813345 -0.01578305
  0.8196134 -0.01534009
  0.8258999 -0.01489057
  0.8321977 -0.01443862
  0.838495 -0.01398627
  0.8447828 -0.01353204
  0.8510586 -0.01307378
  0.8573265 -0.01260915
  0.863594 -0.01213867
  0.8698664 -0.01166549
  0.8761447 -0.01119315
  0.882426 -0.01072423
  0.8887063 -0.01025674
  0.8949843 -0.0097875
  0.9012618 -0.009313469
  0.9075423 -0.00883514
  0.9138289 -0.008355028
  0.9201235 -0.007875591
  0.9264248 -0.007397676
  0.9327241 -0.006921572
  0.9390061 -0.006447554
  0.9452628 -0.005973062
  0.9515091 -0.005493377
  0.9577547 -0.0050075
  0.9639165 -0.004524956
  0.9698453 -0.004048707
  0.9754991 -0.003558919
  0.9808501 -0.003069524
  0.9855448 -0.002649363
  0.9894134 -0.002233201
  0.9927049 -0.001752012
  0.9956569 -0.001471816
  0.9981872 -0.001296908
  1.0 0.0
