CH10 (smoothed)
  0.1669855 0.006274036
  0.1744416 0.007390455
  0.1818886 0.008504125
  0.1893227 0.009613319
  0.1967423 0.0107164
  0.2041475 0.01181205
  0.2115405 0.01289929
  0.2189241 0.01397783
  0.2263001 0.01504749
  0.2336695 0.01610794
  0.2410321 0.01715869
  0.2483872 0.0181991
  0.2557342 0.01922846
  0.2630731 0.02024614
  0.2704043 0.02125158
  0.2777288 0.02224432
  0.2850476 0.02322411
  0.2923617 0.02419075
  0.2996721 0.02514401
  0.3069795 0.02608365
  0.3142844 0.02700944
  0.3215873 0.02792123
  0.3288882 0.02881884
  0.336187 0.02970206
  0.3434832 0.03057067
  0.3507762 0.03142435
  0.3580653 0.03226268
  0.3653503 0.03308525
  0.3726313 0.03389172
  0.3799086 0.03468176
  0.3871829 0.0354551
  0.3944546 0.0362116
  0.4017241 0.03695108
  0.4089915 0.03767334
  0.4162563 0.03837815
  0.4235182 0.03906525
  0.4307765 0.03973425
  0.4380306 0.04038475
  0.4452801 0.04101637
  0.4525248 0.04162874
  0.4597643 0.04222149
  0.4669985 0.0427942
  0.4742271 0.04334644
  0.4814498 0.04387773
  0.4886664 0.04438765
  0.4958764 0.04487574
  0.5030794 0.04534154
  0.5102752 0.04578452
  0.5174639 0.0462042
  0.5246455 0.04660011
  0.5318206 0.04697179
  0.5389896 0.0473188
  0.5461531 0.04764082
  0.5533113 0.04793753
  0.5604641 0.0482086
  0.5676111 0.04845368
  0.5747518 0.04867242
  0.5818854 0.04886439
  0.5890118 0.04902914
  0.5961308 0.04916625
  0.6032429 0.04927528
  0.610349 0.0493558
  0.6174499 0.04940748
  0.6245465 0.04943011
  0.6316388 0.04942346
  0.6387264 0.04938733
  0.6458084 0.04932151
  0.6528834 0.04922578
  0.6599501 0.04909974
  0.6670083 0.04894297
  0.6740587 0.04875498
  0.6811034 0.04853527
  0.6881449 0.04828329
  0.6951866 0.04799896
  0.7022307 0.04768258
  0.709278 0.04733447
  0.7163281 0.046955
  0.7233793 0.04654463
  0.7304288 0.04610364
  0.7374745 0.04563201
  0.7445153 0.04512964
  0.7515515 0.04459634
  0.7585842 0.04403185
  0.7656157 0.04343599
  0.7726469 0.0428089
  0.7796772 0.04215091
  0.786704 0.04146252
  0.7937229 0.04074447
  0.8007282 0.03999698
  0.8077155 0.03921949
  0.8146822 0.03841124
  0.8216275 0.03757133
  0.8285527 0.03669866
  0.8354591 0.03579238
  0.8423472 0.03485193
  0.8492156 0.03387698
  0.8560614 0.03286746
  0.8628805 0.03182317
  0.869669 0.03074339
  0.876424 0.02962733
  0.8831435 0.02847412
  0.8898261 0.02728299
  0.8964702 0.02605367
  0.9030724 0.02478628
  0.9096286 0.02348125
  0.9161319 0.02213916
  0.9225684 0.02076149
  0.9289148 0.0193522
  0.9351417 0.01791698
  0.9412219 0.01645599
  0.9471449 0.01496398
  0.952915 0.01343361
  0.9585442 0.01186157
  0.9640357 0.0102529
  0.9693808 0.008617025
  0.9745617 0.006986478
  0.9795373 0.005419499
  0.9842513 0.00397106
  0.9886754 0.002679598
  0.9928272 0.001558498
  0.9967477 0.000614005
  1.0 -6e-05
