FX 83-W-227
  1.0 0.0
  0.995848 0.001390238
  0.9911103 0.002963841
  0.9862954 0.004722623
  0.9813016 0.00650477
  0.9761328 0.008468728
  0.9707264 0.01055764
  0.9650631 0.0127225
  0.9591581 0.01496605
  0.9530262 0.01728595
  0.9466792 0.01966858
  0.9401281 0.02210101
  0.9333834 0.02457407
  0.9264541 0.02708047
  0.9193517 0.02961728
  0.9120939 0.03218123
  0.9047022 0.03476401
  0.897192 0.03735471
  0.8895705 0.03994613
  0.8818415 0.04253739
  0.874012 0.04512851
  0.8660918 0.0477183
  0.8580909 0.05030466
  0.8500179 0.05288604
  0.8418799 0.05546154
  0.8336836 0.0580305
  0.8254362 0.06059232
  0.817145 0.06314623
  0.8088183 0.06569108
  0.800466 0.06822541
  0.7920978 0.07074626
  0.783722 0.07324971
  0.7753443 0.07573251
  0.7669687 0.07819208
  0.7585979 0.08062623
  0.7502343 0.08303296
  0.7418797 0.0854105
  0.7335357 0.08775731
  0.7252032 0.09007206
  0.7168827 0.09235357
  0.7085747 0.09460081
  0.7002797 0.09681279
  0.6919985 0.09898843
  0.6837324 0.1011266
  0.675482 0.1032257
  0.6672471 0.1052848
  0.659026 0.1073027
  0.6508164 0.1092791
  0.642617 0.1112144
  0.6344279 0.1131085
  0.6262512 0.1149611
  0.6180895 0.1167708
  0.6099447 0.1185359
  0.6018163 0.1202551
  0.5937025 0.1219275
  0.5856003 0.123553
  0.5775089 0.1251324
  0.5694297 0.1266657
  0.5613667 0.1281526
  0.5533248 0.1295912
  0.5453072 0.1309788
  0.5373143 0.1323131
  0.529344 0.1335922
  0.5213926 0.1348153
  0.5134571 0.1359829
  0.5055359 0.1370949
  0.4976286 0.1381511
  0.4897358 0.1391511
  0.4818581 0.1400943
  0.4739955 0.1409801
  0.4661472 0.141808
  0.4583123 0.1425778
  0.4504902 0.1432895
  0.4426809 0.1439433
  0.4348857 0.1445394
  0.4271066 0.1450776
  0.4193456 0.1455574
  0.411605 0.1459782
  0.4038867 0.1463393
  0.3961925 0.1466402
  0.3885239 0.1468802
  0.3808826 0.1470585
  0.3732698 0.1471742
  0.3656868 0.1472268
  0.3581348 0.1472154
  0.3506149 0.1471396
  0.3431285 0.1469985
  0.3356766 0.1467916
  0.3282605 0.1465183
  0.3208813 0.1461781
  0.3135399 0.1457702
  0.306237 0.1452942
  0.2989731 0.1447496
  0.2917491 0.1441363
  0.2845664 0.1434542
  0.2774267 0.1427034
  0.2703321 0.1418838
  0.2632848 0.1409952
  0.2562868 0.140037
  0.2493398 0.139009
  0.2424453 0.1379109
  0.2356048 0.1367427
  0.2288195 0.1355044
  0.2220906 0.1341961
  0.2154191 0.1328179
  0.2088065 0.1313709
  0.2022555 0.1298568
  0.1957698 0.1282774
  0.1893543 0.126635
  0.1830139 0.124931
  0.176753 0.1231669
  0.1705752 0.1213441
  0.1644834 0.1194643
  0.1584807 0.1175308
  0.1525718 0.1155481
  0.1467628 0.1135213
  0.1410606 0.1114558
  0.1354729 0.1093561
  0.1300067 0.1072266
  0.1246679 0.1050719
  0.1194618 0.1028966
  0.1143928 0.1007051
  0.1094648 0.09850203
  0.1046812 0.09629214
  0.1000444 0.09408003
  0.09555587 0.09187042
  0.09121695 0.08966814
  0.08702822 0.08747787
  0.08298949 0.08530403
  0.07909993 0.08315037
  0.07535829 0.08101988
  0.07176253 0.07891524
  0.06830982 0.07683874
  0.06499665 0.07479228
  0.06181922 0.07277721
  0.0587736 0.07079448
  0.05585545 0.06884486
  0.05306018 0.06692883
  0.05038297 0.06504667
  0.04781912 0.06319828
  0.04536418 0.06138327
  0.04301369 0.05960121
  0.0407632 0.05785162
  0.03860827 0.05613395
  0.0365446 0.05444755
  0.03456869 0.05279116
  0.03267735 0.0511633
  0.03086731 0.04956256
  0.02913525 0.04798763
  0.02747785 0.04643725
  0.02589189 0.04491027
  0.02437416 0.04340582
  0.02292159 0.04192331
  0.02153119 0.04046218
  0.02020013 0.03902184
  0.01892568 0.0376017
  0.01770524 0.03620121
  0.01653636 0.03481976
  0.01541697 0.03345676
  0.01434547 0.03211159
  0.01332038 0.03078378
  0.01234026 0.02947295
  0.01140374 0.02817878
  0.01050947 0.02690103
  0.009656127 0.02563946
  0.008842532 0.02439385
  0.008067938 0.02316382
  0.00733156 0.02194876
  0.006632473 0.02074791
  0.005969669 0.01956036
  0.005342109 0.01838516
  0.004748753 0.01722131
  0.004188592 0.01606776
  0.003661059 0.01492353
  0.003166664 0.01378801
  0.002706158 0.01266114
  0.002280298 0.01154328
  0.001889769 0.01043516
  0.001535116 0.009337737
  0.001216693 0.008252179
  0.0009346433 0.007179765
