  SD7090 (10%)
  0.1969804 -0.03231697
  0.2034972 -0.03236791
  0.2100228 -0.03240338
  0.2165562 -0.03242422
  0.2230964 -0.03243096
  0.2296429 -0.03242407
  0.236195 -0.03240405
  0.2427527 -0.03237137
  0.2493157 -0.03232654
  0.2558843 -0.03227004
  0.2624586 -0.03220239
  0.2690391 -0.03212409
  0.2756256 -0.03203567
  0.2822182 -0.03193765
  0.2888164 -0.03183058
  0.2954197 -0.03171499
  0.3020274 -0.03159144
  0.3086386 -0.03146038
  0.3152525 -0.031322
  0.3218683 -0.03117643
  0.3284855 -0.03102382
  0.3351037 -0.03086429
  0.3417228 -0.03069799
  0.3483427 -0.03052505
  0.3549638 -0.03034558
  0.3615861 -0.03015974
  0.3682101 -0.02996771
  0.3748358 -0.02976965
  0.3814635 -0.02956574
  0.388093 -0.02935616
  0.3947244 -0.02914109
  0.4013575 -0.02892072
  0.4079921 -0.02869521
  0.4146281 -0.02846468
  0.421265 -0.02822922
  0.4279028 -0.02798891
  0.4345413 -0.02774383
  0.4411803 -0.02749408
  0.4478198 -0.02723973
  0.4544594 -0.02698088
  0.4610993 -0.02671758
  0.4677394 -0.0264499
  0.4743795 -0.02617784
  0.4810197 -0.02590144
  0.4876601 -0.02562072
  0.4943005 -0.02533571
  0.500941 -0.02504643
  0.5075818 -0.02475289
  0.5142228 -0.02445513
  0.5208642 -0.02415319
  0.5275061 -0.0238471
  0.5341483 -0.02353693
  0.5407909 -0.02322273
  0.5474339 -0.02290453
  0.5540772 -0.02258241
  0.5607206 -0.02225641
  0.5673639 -0.02192659
  0.5740071 -0.02159295
  0.58065 -0.02125548
  0.5872925 -0.02091419
  0.5939346 -0.02056904
  0.6005765 -0.02022002
  0.607218 -0.01986711
  0.6138595 -0.01951029
  0.6205012 -0.01914955
  0.6271431 -0.01878498
  0.6337857 -0.01841671
  0.6404292 -0.01804484
  0.6470739 -0.01766949
  0.6537201 -0.01729078
  0.6603681 -0.01690883
  0.6670184 -0.01652374
  0.6736712 -0.01613572
  0.6803269 -0.0157452
  0.6869855 -0.01535267
  0.6936472 -0.01495861
  0.7003116 -0.01456353
  0.7069786 -0.01416794
  0.7136475 -0.01377238
  0.7203176 -0.01337735
  0.7269884 -0.0129832
  0.7336589 -0.01259009
  0.7403285 -0.01219822
  0.7469968 -0.01180775
  0.7536631 -0.01141885
  0.7603271 -0.01103167
  0.7669885 -0.01064638
  0.773647 -0.01026321
  0.7803026 -0.009882421
  0.7869552 -0.009504316
  0.793605 -0.009129165
  0.8002522 -0.008757237
  0.8068972 -0.008388795
  0.8135404 -0.008024083
  0.8201822 -0.007663252
  0.8268231 -0.007306407
  0.833463 -0.006953667
  0.8401019 -0.006605161
  0.8467393 -0.00626103
  0.8533747 -0.005921424
  0.8600075 -0.005586557
  0.8666374 -0.005256679
  0.8732646 -0.004932019
  0.8798899 -0.004612782
  0.8865145 -0.004299149
  0.8931401 -0.003991191
  0.8997681 -0.00368842
  0.9063989 -0.003390197
  0.9130314 -0.003095939
  0.9196635 -0.002805111
  0.9262917 -0.002517183
  0.9329092 -0.002231509
  0.9395046 -0.001947578
  0.946062 -0.001665091
  0.9525612 -0.001384328
  0.9589713 -0.001108961
  0.9652426 -0.0008445898
  0.9713139 -0.000596705
  0.977122 -0.0003741662
  0.9825998 -0.0001906964
  0.9876921 -5.486429e-05
  0.9923707 2.501987e-05
  0.9966333 3.940748e-05
  1.00001 0.0
