AG47c -03f
  0.2697087 -0.00753412
  0.2758018 -0.007331858
  0.2818948 -0.007128213
  0.2879893 -0.006923349
  0.2940843 -0.006717542
  0.3001782 -0.006510734
  0.3062718 -0.006302657
  0.3123677 -0.006093464
  0.3184659 -0.005883825
  0.3245638 -0.005674136
  0.3306601 -0.005464007
  0.3367563 -0.005253013
  0.3428543 -0.005041406
  0.348953 -0.00482967
  0.3550498 -0.004617704
  0.3611445 -0.004404955
  0.3672391 -0.004191378
  0.3733348 -0.003977722
  0.379431 -0.003764501
  0.3855268 -0.003551221
  0.3916226 -0.003337287
  0.3977191 -0.003122935
  0.4038164 -0.002908763
  0.4099138 -0.002694834
  0.4160109 -0.002480682
  0.4221076 -0.002266139
  0.428204 -0.002051718
  0.4343009 -0.001837863
  0.4403987 -0.001624299
  0.4464973 -0.001410577
  0.4525959 -0.001196719
  0.4586945 -0.0009830595
  0.4647933 -0.0007696953
  0.4708926 -0.0005563659
  0.4769924 -0.0003428687
  0.4830925 -0.0001293055
  0.489192 8.413754e-05
  0.4952904 0.0002972409
  0.501388 0.0005098062
  0.5074856 0.0007219573
  0.5135833 0.000934139
  0.51968 0.001146494
  0.5257747 0.001358446
  0.5318676 0.001569544
  0.5379585 0.001780575
  0.5440442 0.00199253
  0.5501225 0.002203081
  0.5561999 0.00241098
  0.5622807 0.002620398
  0.5683645 0.002830699
  0.5744516 0.003039364
  0.5805428 0.00324714
  0.5866374 0.003455333
  0.5927317 0.003664227
  0.5988178 0.003873206
  0.6048924 0.004079748
  0.6109703 0.004288173
  0.6170581 0.004494737
  0.6231527 0.004700083
  0.6292508 0.004905141
  0.6353495 0.005109919
  0.6414468 0.005314246
  0.647542 0.005517756
  0.6536367 0.005720098
  0.6597333 0.005921509
  0.6658325 0.006122562
  0.6719329 0.006323491
  0.6780316 0.00652411
  0.6841253 0.006723927
  0.6902138 0.006921879
  0.696302 0.007117463
  0.702394 0.007312763
  0.7084868 0.007508977
  0.7145766 0.007705024
  0.7206643 0.007899388
  0.7267549 0.008091639
  0.7328506 0.008282786
  0.7389476 0.00847346
  0.7450418 0.008663111
  0.7511342 0.008851185
  0.7572284 0.009037925
  0.7633247 0.009223834
  0.7694207 0.009408932
  0.7755146 0.009592845
  0.7816063 0.009775255
  0.7876968 0.009955926
  0.7937878 0.01013473
  0.7998805 0.01031193
  0.8059742 0.01048783
  0.8120671 0.0106624
  0.8181594 0.0108354
  0.8242524 0.01100686
  0.8303465 0.01117705
  0.83644 0.01134603
  0.8425312 0.01151336
  0.8486203 0.0116786
  0.854709 0.01184169
  0.8607994 0.01200269
  0.8668929 0.01216203
  0.8729893 0.01232037
  0.8790862 0.012478
  0.8851809 0.01263455
  0.8912719 0.01278954
  0.8973589 0.01294231
  0.9034442 0.01309223
  0.9095308 0.0132394
  0.9156199 0.01338427
  0.9217113 0.01352722
  0.9278042 0.01366854
  0.9338976 0.01380846
  0.9399907 0.01394702
  0.9460827 0.01408431
  0.9521712 0.01422057
  0.9582501 0.01435585
  0.9643041 0.01448672
  0.9702965 0.01460685
  0.9761796 0.01471319
  0.9819436 0.01480892
  0.9875949 0.01489739
  0.992816 0.01497558
  0.9971343 0.01503823
  1.000149 0.015081
