AH 93-K-130/15
  1.0 0.00064
  0.9965867 0.0007693891
  0.9922419 0.0009815758
  0.9874593 0.001276129
  0.9823054 0.001659416
  0.9768695 0.002128583
  0.9712098 0.002678497
  0.9653687 0.00330296
  0.9593866 0.003993106
  0.9532973 0.004740476
  0.9471292 0.005537081
  0.9409042 0.006374822
  0.9346373 0.007247673
  0.9283397 0.00815081
  0.9220195 0.00907981
  0.9156878 0.01003175
  0.9093696 0.01100252
  0.9031044 0.01198655
  0.8969279 0.01298806
  0.8908439 0.01402021
  0.8848246 0.01509959
  0.8788315 0.01623404
  0.8728487 0.01742227
  0.8668882 0.01865869
  0.8609803 0.01994201
  0.8551534 0.02127432
  0.84943 0.02265768
  0.8438179 0.02409966
  0.8382889 0.02561955
  0.8327763 0.02724826
  0.8271879 0.02900542
  0.8214578 0.03088763
  0.8155762 0.03287058
  0.8095954 0.03491957
  0.8035706 0.03701121
  0.7975274 0.03913194
  0.7914638 0.04127515
  0.7853776 0.0434316
  0.7792781 0.04558775
  0.7731839 0.04772861
  0.7671128 0.04984266
  0.7610753 0.05192145
  0.7550746 0.05395851
  0.7491086 0.05594838
  0.74317 0.05788729
  0.7372488 0.05977373
  0.7313376 0.06160769
  0.725434 0.06338784
  0.7195396 0.06511147
  0.7136536 0.06677609
  0.7077683 0.06838101
  0.7018699 0.06992799
  0.6959478 0.07142152
  0.6899996 0.07286436
  0.6840314 0.0742568
  0.6780486 0.07559756
  0.6720479 0.07688696
  0.666017 0.07812773
  0.6599446 0.07932601
  0.6538301 0.08048677
  0.6476851 0.08161225
  0.6415242 0.08270054
  0.6353525 0.08375023
  0.6291648 0.08476198
  0.6229528 0.0857391
  0.6167156 0.08668459
  0.6104618 0.08759983
  0.6042031 0.0884831
  0.5979444 0.08933234
  0.591682 0.09014685
  0.5854077 0.09092832
  0.5791169 0.09167913
  0.5728102 0.09240096
  0.566492 0.09309431
  0.5601669 0.09375908
  0.5538389 0.0943953
  0.5475107 0.09500252
  0.5411828 0.09557998
  0.5348527 0.09612713
  0.5285163 0.09664446
  0.5221707 0.09713333
  0.5158155 0.09759495
  0.5094527 0.09802994
  0.5030861 0.09843829
  0.4967214 0.09881986
  0.490365 0.09917378
  0.484019 0.0994981
  0.4776789 0.09979108
  0.4713347 0.1000523
  0.4649798 0.1002838
  0.458616 0.1004873
  0.4522527 0.1006634
  0.4458978 0.1008107
  0.4395513 0.100927
  0.4332058 0.1010115
  0.4268535 0.1010653
  0.4204916 0.1010899
  0.4141231 0.1010866
  0.4077532 0.1010553
  0.4013858 0.1009959
  0.3950236 0.1009083
  0.3886673 0.1007918
  0.3823149 0.1006456
  0.3759617 0.1004691
  0.3696035 0.1002627
  0.3632414 0.1000275
  0.3568818 0.09976488
  0.3505323 0.09947414
  0.3441938 0.09915358
  0.3378599 0.09880129
  0.3315211 0.09841734
  0.3251749 0.09800345
  0.3188275 0.09756178
  0.3124897 0.09709258
  0.3061677 0.09659419
  0.2998606 0.09606448
  0.2935626 0.09550208
  0.2872695 0.09490661
  0.2809798 0.09427795
  0.2746948 0.09361611
  0.2684162 0.09292102
  0.262146 0.09219268
  0.2558856 0.09143081
  0.2496354 0.09063471
  0.2433934 0.08980337
  0.2371564 0.08893605
  0.2309232 0.08803299
  0.2246962 0.08709502
  0.218481 0.08612285
  0.212281 0.08511574
  0.206095 0.08407212
  0.1999178 0.08299029
  0.1937461 0.08187027
  0.1875821 0.0807133
  0.1814337 0.07952093
  0.1753086 0.0782926
  0.1692093 0.07702654
  0.1631339 0.07572033
  0.1570792 0.07437231
  0.1510442 0.07298147
  0.14503 0.07154721
  0.1390393 0.07006901
  0.1330744 0.06854636
  0.127138 0.06697869
  0.1212327 0.06536502
  0.1153615 0.06370435
  0.1095275 0.06199577
  0.1037341 0.06023814
  0.09798409 0.05843017
  0.09228014 0.05657061
  0.08662623 0.05465857
  0.08103001 0.05269459
  0.07550261 0.05068065
  0.0700581 0.04861798
  0.0647107 0.0465075
  0.05947364 0.04435086
  0.05436296 0.04215073
  0.04940126 0.03991376
  0.04461491 0.03765077
  0.04003519 0.03537528
  0.03569753 0.03310574
  0.03163252 0.03086372
  0.02786828 0.02867208
  0.02443157 0.02655782
  0.02133284 0.02454422
  0.01856739 0.02264344
  0.01611881 0.02086034
  0.01395874 0.01919381
  0.01205575 0.01763738
  0.01038031 0.01618313
  0.008903499 0.01482286
  0.007600334 0.01354664
  0.006451419 0.01234289
  0.005438435 0.01120176
  0.00454479 0.01011514
  0.003757446 0.00907675
  0.003065344 0.008081358
  0.002458454 0.007124403
  0.001928599 0.006201945
  0.001470938 0.005310855
  0.001081227 0.004448839
  0.0007551508 0.003614119
  0.0004893851 0.002805848
  0.0002829315 0.0020243
  0.0001344595 0.001268645
  4.239645e-05 0.0005372331
  8.535646e-06 -0.0001722087
  4.674013e-05 -0.0008683301
  0.0001592961 -0.001566086
  0.0003461983 -0.002276145
  0.0006113341 -0.003003508
  0.0009586766 -0.003744555
  0.001389915 -0.00448921
  0.001904866 -0.005228238
  0.002501568 -0.005954072
  0.003178762 -0.006662438
  0.003940266 -0.007354703
  0.004793767 -0.008035192
  0.005747167 -0.008708069
  0.006806376 -0.009376715
  0.007978709 -0.01004086
  0.009275472 -0.0106979
  0.01070968 -0.01134589
  0.01229848 -0.01198466
  0.01406793 -0.01261554
  0.01605123 -0.01324131
  0.01828564 -0.01386734
  0.02081114 -0.01449857
  0.023672 -0.01513333
  0.02690956 -0.01577069
  0.03056238 -0.01641373
  0.03466382 -0.01705983
  0.03921615 -0.01770371
  0.04418477 -0.01834361
  0.04951004 -0.01897143
  0.05511005 -0.01957564
  0.06090903 -0.02015013
  0.06685754 -0.02069132
  0.07291933 -0.0211967
  0.07907245 -0.02166637
  0.08530651 -0.0221036
  0.09160837 -0.02251305
  0.09795867 -0.02289927
  0.1043373 -0.02326342
  0.1107342 -0.02360517
  0.1171517 -0.02392516
  0.1235979 -0.02422632
  0.1300723 -0.02451247
  0.1365634 -0.02478669
  0.1430557 -0.02504857
  0.1495446 -0.02529632
  0.1560382 -0.02552894
  0.1625492 -0.02574854
  0.1690797 -0.02595848
  0.1756182 -0.02616135
  0.1821487 -0.02635584
  0.1886673 -0.02653907
  0.1951844 -0.02670904
  0.2017151 -0.02686753
  0.208265 -0.02701788
  0.214827 -0.02716283
  0.221389 -0.02730222
  0.2279462 -0.02743475
  0.234503 -0.02755955
  0.241067 -0.02767755
  0.2476409 -0.02779037
  0.2542211 -0.02789935
  0.2608014 -0.02800439
  0.2673793 -0.02810485
  0.2739568 -0.02820033
  0.2805373 -0.02829126
  0.2871226 -0.02837839
  0.293712 -0.02846235
  0.3003034 -0.02854334
  0.3068941 -0.02862135
  0.3134815 -0.02869631
  0.3200642 -0.0287675
  0.3266436 -0.02883403
  0.3332239 -0.02889534
  0.3398098 -0.02895228
  0.3464034 -0.02900619
  0.3530035 -0.02905822
  0.3596069 -0.02910872
  0.3662087 -0.02915779
  0.3728033 -0.02920525
  0.3793872 -0.02924961
  0.3859631 -0.02928902
  0.3925392 -0.02932242
  0.3991232 -0.02935174
  0.4057156 -0.02937972
  0.4123095 -0.02940828
  0.4188977 -0.02943589
  0.4254798 -0.0294602
  0.4320624 -0.02947966
  0.4386525 -0.02949569
  0.4452507 -0.0295104
  0.4518511 -0.02952525
  0.4584469 -0.02953915
  0.4650357 -0.02955047
  0.4716192 -0.02955789
  0.4782003 -0.02956104
  0.4847808 -0.02955977
  0.4913607 -0.02955394
  0.4979399 -0.02954352
  0.5045189 -0.02952849
  0.5110986 -0.02950889
  0.5176794 -0.02948488
  0.52426 -0.02945667
  0.5308377 -0.02942425
  0.537411 -0.02938695
  0.5439811 -0.02934394
  0.5505517 -0.0292948
  0.5571261 -0.02924013
  0.5637047 -0.02918075
  0.5702852 -0.02911723
  0.5768653 -0.02904946
  0.5834438 -0.02897722
  0.5900213 -0.02890037
  0.5965988 -0.02881897
  0.6031764 -0.02873313
  0.6097541 -0.02864287
  0.6163302 -0.028548
  0.6229018 -0.02844831
  0.6294646 -0.02834328
  0.6360179 -0.02823149
