 DSMA-523A AIRFOIL
  0.1117681 -0.04594558
  0.1179048 -0.04658491
  0.1243734 -0.04722382
  0.1311853 -0.04785635
  0.1383474 -0.0484785
  0.145844 -0.04908463
  0.1536389 -0.04966909
  0.1616949 -0.05022797
  0.1699852 -0.05075934
  0.1784845 -0.0512624
  0.1871612 -0.05173669
  0.1959831 -0.05218045
  0.2049276 -0.05259215
  0.2139808 -0.05297245
  0.223125 -0.05332345
  0.2323361 -0.05364582
  0.2415943 -0.05393803
  0.2508881 -0.05419891
  0.2602126 -0.05442785
  0.269567 -0.05462481
  0.2789483 -0.0547912
  0.2883468 -0.05492833
  0.2977532 -0.05503517
  0.3071689 -0.05511023
  0.3165994 -0.05515433
  0.3260407 -0.05516922
  0.3354842 -0.05515474
  0.3449313 -0.05510951
  0.3543905 -0.05503473
  0.3638555 -0.0549341
  0.3733051 -0.05480808
  0.3827283 -0.0546527
  0.3921308 -0.0544651
  0.4015209 -0.05424518
  0.4109016 -0.0539933
  0.4202677 -0.05371049
  0.4296069 -0.05339737
  0.4389134 -0.0530517
  0.4481997 -0.05267111
  0.4574711 -0.05225978
  0.4666946 -0.05182465
  0.4758252 -0.05136181
  0.4848587 -0.05086015
  0.4938209 -0.05031565
  0.5027229 -0.04973228
  0.5115497 -0.04911381
  0.5202633 -0.04846272
  0.5288121 -0.04777883
  0.5371784 -0.04704568
  0.5454081 -0.04624139
  0.5535709 -0.04535976
  0.5616934 -0.04440929
  0.5697542 -0.04339847
  0.577728 -0.04232593
  0.585611 -0.04118695
  0.5934157 -0.03997577
  0.6011621 -0.03868565
  0.6088747 -0.03731123
  0.6165712 -0.0358552
  0.6242523 -0.03432388
  0.6319036 -0.0327219
  0.6395042 -0.03105174
  0.6470314 -0.02931524
  0.6544784 -0.0275023
  0.6618774 -0.02559078
  0.669301 -0.02357413
  0.6768315 -0.02149735
  0.6845252 -0.01942104
  0.6923955 -0.017371
  0.700419 -0.01534012
  0.7085452 -0.01332886
  0.71672 -0.01135269
  0.7249043 -0.009425806
  0.733077 -0.007558839
  0.7412334 -0.005759203
  0.7493814 -0.004029
  0.7575229 -0.00236559
  0.7656428 -0.0007691784
  0.7737201 0.0007546406
  0.7817459 0.002200491
