NACA M18
  1.0 0.0295
  0.9964848 0.02997304
  0.992242 0.03054924
  0.9877793 0.03116151
  0.983078 0.03181339
  0.9781195 0.0325086
  0.9728864 0.03325083
  0.9673648 0.03404349
  0.9615473 0.03488919
  0.9554373 0.0357891
  0.9490538 0.03674209
  0.9424349 0.03774402
  0.9356333 0.03878824
  0.9287066 0.03986687
  0.9217097 0.04097198
  0.914688 0.04209668
  0.907673 0.04323596
  0.9006803 0.04438717
  0.8937101 0.04555
  0.8867541 0.04672511
  0.8798043 0.04791303
  0.8728536 0.0491142
  0.8658959 0.05032893
  0.8589261 0.05155739
  0.8519399 0.05279964
  0.844934 0.05405557
  0.8379058 0.05532491
  0.8308542 0.05660721
  0.8237785 0.0579018
  0.8166796 0.05920782
  0.8095592 0.06052418
  0.8024204 0.06184952
  0.7952674 0.06318225
  0.7881051 0.06452052
  0.7809381 0.06586248
  0.7737704 0.06720637
  0.7666053 0.06855055
  0.7594454 0.0698935
  0.7522928 0.07123383
  0.7451489 0.07257029
  0.7380143 0.07390175
  0.7308892 0.0752272
  0.7237729 0.07654577
  0.7166643 0.07785672
  0.7095617 0.07915938
  0.7024627 0.08045324
  0.6953643 0.0817379
  0.6882635 0.08301372
  0.6811577 0.08428138
  0.6740449 0.08554149
  0.6669237 0.08679453
  0.6597933 0.08804086
  0.6526535 0.08928075
  0.6455046 0.09051437
  0.6383478 0.09174178
  0.6311846 0.09296292
  0.6240173 0.09417767
  0.616849 0.09538578
  0.609683 0.09658691
  0.6025237 0.09778066
  0.5953755 0.09896641
  0.5882434 0.1001423
  0.5811311 0.1013057
  0.5740419 0.1024542
  0.5669781 0.1035856
  0.5599411 0.1046979
  0.5529319 0.1057892
  0.5459505 0.1068577
  0.5389964 0.1079019
  0.5320685 0.1089204
  0.5251651 0.1099119
  0.5182838 0.1108752
  0.511422 0.1118091
  0.5045762 0.1127126
  0.4977428 0.1135847
  0.4909178 0.1144248
  0.4840976 0.1152333
  0.4772794 0.1160104
  0.4704607 0.1167564
  0.4636399 0.1174711
  0.4568158 0.1181547
  0.4499876 0.1188069
  0.4431552 0.1194275
  0.4363191 0.1200164
  0.4294803 0.1205732
  0.4226404 0.1210976
  0.4158015 0.1215894
  0.4089662 0.1220481
  0.4021377 0.1224736
  0.3953198 0.1228654
  0.3885163 0.1232227
  0.3817305 0.1235442
  0.3749649 0.1238288
  0.3682213 0.1240754
  0.3615008 0.1242832
  0.3548038 0.1244512
  0.3481301 0.1245787
  0.3414787 0.1246647
  0.3348484 0.1247084
  0.328237 0.1247091
  0.3216421 0.1246658
  0.3150607 0.1245776
  0.3084893 0.1244435
  0.3019236 0.1242622
  0.2953593 0.1240326
  0.2887919 0.1237537
  0.2822182 0.1234245
  0.2756365 0.1230442
  0.2690463 0.122612
  0.2624485 0.1221268
  0.2558454 0.1215882
  0.2492406 0.1209955
  0.2426395 0.1203486
  0.2360484 0.1196474
  0.2294754 0.1188923
  0.2229295 0.1180843
  0.2164208 0.1172244
  0.2099602 0.1163146
  0.2035592 0.115357
  0.1972294 0.1143541
  0.1909818 0.1133073
  0.1848217 0.1122152
  0.1787481 0.1110759
  0.1727544 0.1098863
  0.1668292 0.1086422
  0.1609571 0.1073381
  0.1551189 0.1059669
  0.1492913 0.1045196
  0.1434464 0.1029865
  0.137559 0.1013626
  0.1316147 0.09964606
  0.1256124 0.09783867
  0.1195664 0.09594756
  0.113509 0.09398661
  0.1074894 0.09197714
  0.10157 0.0899469
  0.09581796 0.08792536
  0.09028757 0.08592306
  0.08499493 0.08393237
  0.07992535 0.08193808
  0.07504744 0.07992016
  0.07032112 0.07785773
  0.06571367 0.07574397
  0.06121958 0.07358599
  0.05685624 0.07140206
  0.05265522 0.06921914
  0.04865226 0.06706819
  0.04488078 0.06497656
  0.04135992 0.06295976
  0.03808835 0.06102311
  0.03505295 0.0591657
  0.03223547 0.0573833
  0.02961629 0.05567025
  0.02717648 0.05402045
  0.02489864 0.052428
  0.02276539 0.05088513
  0.02076052 0.04938185
  0.01887818 0.04791672
  0.01711729 0.04649411
  0.01547639 0.04511983
  0.01395142 0.04379845
  0.0125355 0.04253224
  0.01122235 0.04132186
  0.01001256 0.04016778
  0.008902853 0.03906705
  0.007886683 0.03801485
  0.00695668 0.03700592
  0.006105735 0.03603524
  0.005327424 0.03509827
  0.004616122 0.03419099
  0.003966986 0.03330986
  0.003375884 0.03245181
  0.002839317 0.03161409
  0.002354338 0.03079433
