AH 94-W-301
  1.0 0.00546
  0.994777 0.008056362
  0.9886645 0.01061506
  0.9824341 0.01290007
  0.9760094 0.01493507
  0.9693257 0.01685645
  0.9623907 0.01874058
  0.9551971 0.02061134
  0.9477261 0.02248677
  0.9399683 0.02437968
  0.9319193 0.02629756
  0.9235725 0.02825083
  0.9149316 0.03025498
  0.9060217 0.03231927
  0.8968753 0.03443489
  0.8875188 0.03659282
  0.8779751 0.03879474
  0.8682663 0.04104523
  0.858412 0.04334231
  0.848433 0.04568023
  0.8383506 0.04805458
  0.8281815 0.0504636
  0.8179358 0.05290629
  0.8076219 0.05537978
  0.797251 0.05788014
  0.7868351 0.06040505
  0.7763809 0.06295461
  0.7658882 0.06552926
  0.7553565 0.06812588
  0.7447913 0.07073915
  0.7342038 0.07336249
  0.7236059 0.07598912
  0.7130096 0.07861254
  0.7024261 0.0812277
  0.6918663 0.08383048
  0.6813398 0.08641689
  0.6708547 0.08898257
  0.6604173 0.09152347
  0.6500324 0.09403607
  0.6397035 0.09651729
  0.6294341 0.09896427
  0.6192274 0.1013743
  0.6090863 0.103745
  0.5990141 0.1060737
  0.5890143 0.1083582
  0.5790902 0.1105958
  0.5692458 0.1127837
  0.5594851 0.1149193
  0.5498119 0.1169996
  0.5402292 0.1190213
  0.5307392 0.1209814
  0.5213434 0.1228775
  0.5120427 0.124707
  0.5028379 0.1264677
  0.4937292 0.1281576
  0.4847168 0.1297747
  0.4758009 0.1313167
  0.4669817 0.1327818
  0.4582593 0.1341683
  0.4496329 0.1354737
  0.4410998 0.1366962
  0.4326556 0.137834
  0.4242954 0.1388864
  0.4160148 0.1398536
  0.4078112 0.1407357
  0.3996832 0.1415325
  0.3916301 0.1422436
  0.3836507 0.1428682
  0.3757424 0.1434053
  0.3679015 0.1438544
  0.3601237 0.1442155
  0.3524061 0.1444896
  0.3447476 0.1446776
  0.3371484 0.1447803
  0.3296103 0.144798
  0.3221341 0.1447295
  0.3147194 0.1445741
  0.3073645 0.1443305
  0.3000666 0.1439984
  0.2928231 0.1435783
  0.2856321 0.143071
  0.2784924 0.1424772
  0.2714033 0.1417977
  0.2643649 0.1410341
  0.2573784 0.1401884
  0.250446 0.1392625
  0.243571 0.1382586
  0.2367568 0.1371782
  0.2300067 0.1360225
  0.2233238 0.1347932
  0.2167106 0.1334919
  0.2101698 0.132121
  0.2037052 0.1306837
  0.197321 0.1291834
  0.1910222 0.1276237
  0.1848143 0.1260083
  0.1787027 0.1243408
  0.1726923 0.1226252
  0.166788 0.1208653
  0.1609942 0.1190654
  0.1553156 0.1172299
  0.149757 0.1153635
  0.1443226 0.1134711
  0.1390167 0.1115569
  0.1338429 0.1096243
  0.1288039 0.1076767
  0.1239011 0.1057174
  0.1191353 0.1037493
  0.1145065 0.1017758
  0.1100144 0.09979992
  0.1056582 0.09782483
  0.1014366 0.09585336
  0.09734799 0.09388821
  0.09339045 0.0919319
  0.08956185 0.08998685
  0.08585974 0.08805523
  0.0822814 0.08613903
  0.07882413 0.08423953
  0.07548515 0.08235751
  0.07226138 0.08049362
  0.06914945 0.07864835
  0.06614583 0.07682211
  0.06324695 0.07501512
  0.06044946 0.07322743
  0.05774995 0.07145908
  0.05514502 0.06971003
  0.05263125 0.06798024
  0.05020526 0.06626961
  0.04786389 0.06457794
  0.04560416 0.06290497
  0.04342313 0.06125043
  0.04131791 0.05961404
  0.03928566 0.05799552
  0.03732359 0.05639457
  0.03542922 0.05481079
  0.03360032 0.05324371
  0.03183477 0.05169286
  0.03013045 0.05015781
  0.0284853 0.04863818
  0.0268973 0.04713357
  0.02536454 0.04564361
  0.02388549 0.04416779
  0.02245875 0.04270552
  0.02108289 0.04125624
  0.01975648 0.03981939
  0.01847806 0.03839442
  0.01724623 0.0369808
  0.01605963 0.03557801
  0.0149174 0.03418552
  0.01381889 0.03280286
  0.01276343 0.03142963
  0.01175036 0.03006554
  0.01077899 0.02871031
  0.009848646 0.02736375
  0.008958701 0.02602568
  0.00810924 0.02469574
  0.007300543 0.02337334
  0.00653268 0.02205779
  0.005805573 0.02074828
  0.005119036 0.0194439
  0.004472821 0.01814371
  0.003866739 0.01684675
  0.003301591 0.01555258
  0.002778827 0.0142614
  0.002299908 0.01297378
  0.001866222 0.01169065
  0.001479016 0.01041319
  0.001139333 0.009142795
  0.0008477596 0.007881136
  0.0006029944 0.006630364
  0.000402775 0.005391736
  0.0002448672 0.00416522
  0.000127256 0.002949728
  4.827677e-05 0.001743284
  6.716902e-06 0.000543111
  1.82415e-06 -0.0006543965
  3.187983e-05 -0.001854034
  9.431496e-05 -0.003060831
  0.0001868815 -0.004279285
  0.0003075224 -0.005513419
  0.0004542068 -0.006766774
  0.0006247638 -0.008042321
  0.0008167054 -0.009342284
  0.001027036 -0.01066786
  0.001252512 -0.01201888
  0.001492561 -0.0133941
  0.001747955 -0.01479201
  0.002019478 -0.01621107
  0.002307932 -0.01764977
  0.002614149 -0.01910668
  0.002939008 -0.02058056
  0.003283459 -0.02207041
  0.003648557 -0.02357556
  0.004035496 -0.02509576
  0.004445662 -0.02663128
  0.004880538 -0.02818269
  0.005341585 -0.02975051
  0.005830354 -0.03133518
  0.006348495 -0.03293705
  0.006897759 -0.03455638
  0.007479991 -0.03619327
  0.008097127 -0.03784768
  0.008751179 -0.03951936
  0.009444216 -0.04120783
  0.01017827 -0.04291233
  0.01095477 -0.04463216
  0.01177489 -0.04636669
  0.01263979 -0.04811526
  0.01355067 -0.0498772
  0.01450879 -0.05165185
  0.01551542 -0.05343854
  0.01657196 -0.05523666
  0.01767985 -0.05704563
  0.01884066 -0.05886503
  0.02005599 -0.0606945
  0.02132751 -0.06253365
  0.02265694 -0.06438199
  0.02404602 -0.066239
  0.02549657 -0.06810404
  0.02701044 -0.0699764
  0.0285894 -0.07185558
  0.03023501 -0.07374147
  0.03194879 -0.07563398
  0.0337322 -0.07753297
  0.03558664 -0.07943825
  0.03751338 -0.08134957
  0.03951363 -0.08326658
  0.04158912 -0.08518866
  0.04374196 -0.08711503
  0.04597427 -0.08904487
  0.04828822 -0.0909773
  0.05068605 -0.09291147
  0.05317006 -0.0948465
  0.05574259 -0.0967819
  0.05840592 -0.09871742
  0.06116216 -0.1006527
  0.06401319 -0.1025874
  0.0669606 -0.104521
  0.07000577 -0.1064528
  0.07315059 -0.1083815
  0.07639699 -0.1103054
  0.07974675 -0.1122231
  0.08320146 -0.1141328
  0.08676258 -0.1160327
  0.09043174 -0.1179211
  0.0942105 -0.1197956
  0.09810024 -0.121654
  0.1021021 -0.123494
  0.106217 -0.1253133
  0.1104458 -0.1271094
  0.1147891 -0.12888
  0.1192472 -0.1306226
  0.1238198 -0.1323348
  0.1285064 -0.1340139
  0.1333062 -0.1356571
  0.1382185 -0.1372611
  0.1432423 -0.138823
  0.1483764 -0.1403399
  0.1536196 -0.141809
  0.1589704 -0.1432275
  0.1644272 -0.1445927
  0.1699876 -0.145902
  0.175649 -0.1471529
  0.181409 -0.1483424
  0.1872651 -0.1494677
  0.1932155 -0.1505262
  0.1992585 -0.1515154
  0.2053929 -0.1524337
  0.211617 -0.1532798
  0.2179281 -0.1540528
  0.2243224 -0.1547516
  0.2307956 -0.1553747
  0.2373437 -0.1559193
  0.243964 -0.156383
  0.2506554 -0.1567633
  0.257418 -0.1570585
  0.2642525 -0.1572682
  0.2711586 -0.1573923
  0.2781346 -0.1574309
  0.2851779 -0.157384
  0.2922855 -0.1572506
  0.2994552 -0.1570296
  0.3066864 -0.1567196
  0.3139794 -0.1563196
  0.3213358 -0.155829
  0.3287567 -0.1552479
  0.3362421 -0.1545764
  0.3437913 -0.1538148
  0.3514029 -0.152963
  0.3590767 -0.1520202
  0.366814 -0.1509853
  0.3746179 -0.1498573
  0.3824929 -0.1486358
  0.3904429 -0.1473214
  0.3984697 -0.1459154
  0.406573 -0.1444195
  0.4147504 -0.1428348
  0.4230014 -0.1411603
  0.4313286 -0.1393949
  0.4397385 -0.1375363
  0.4482406 -0.1355839
  0.4568425 -0.1335396
  0.4655477 -0.1314066
  0.4743547 -0.1291892
  0.4832591 -0.1268902
  0.4922586 -0.1245104
  0.5013551 -0.1220501
  0.5105549 -0.1195089
  0.5198645 -0.1168893
  0.5292865 -0.1141953
  0.5388177 -0.1114331
  0.5484506 -0.1086085
  0.558178 -0.1057259
  0.5679955 -0.1027892
  0.5779005 -0.09980271
  0.5878879 -0.09677304
  0.5979462 -0.09370915
  0.6080571 -0.09062212
  0.6181993 -0.08752308
  0.6283523 -0.0844227
  0.6384974 -0.08133106
  0.6486186 -0.07825696
  0.6587023 -0.0752081
  0.6687381 -0.07219109
  0.6787187 -0.06921168
  0.6886399 -0.06627461
  0.6985 -0.06338347
  0.7082976 -0.06054019
  0.7180285 -0.05774665
  0.7276857 -0.05500558
  0.7372616 -0.05232139
  0.7467518 -0.04969849
  0.7561551 -0.04714005
  0.7654708 -0.04464779
  0.7746959 -0.04222321
  0.7838246 -0.03986848
  0.792851 -0.03758744
  0.8017714 -0.03538408
  0.8105848 -0.03326141
  0.8192912 -0.03122167
  0.8278902 -0.02926684
  0.8363809 -0.02739881
  0.844763 -0.02561989
  0.8530382 -0.02393205
  0.8612095 -0.02233635
  0.8692793 -0.0208324
  0.8772479 -0.01941966
  0.8851145 -0.0180986
  0.8928785 -0.01687146
  0.9005414 -0.01574022
  0.908106 -0.01470782
  0.9155774 -0.01377801
  0.9229627 -0.0129542
  0.930271 -0.01224011
  0.9375135 -0.01163913
  0.9447025 -0.01115097
  0.9518508 -0.0107729
  0.9589683 -0.01049763
  0.9660534 -0.01031386
  0.9731 -0.0102221
  0.9801181 -0.01021578
  0.9871003 -0.01022265
  0.9940276 -0.01029045
  1.0 -0.01038
