WASP (smoothed)
  0.2153103 -0.02050355
  0.2218989 -0.02031547
  0.2284923 -0.02012028
  0.2350904 -0.01991841
  0.2416939 -0.01971026
  0.2483033 -0.01949634
  0.2549188 -0.01927718
  0.26154 -0.01905337
  0.268166 -0.01882549
  0.2747953 -0.01859415
  0.2814262 -0.01835967
  0.2880573 -0.01812208
  0.2946882 -0.01788135
  0.301319 -0.01763746
  0.3079506 -0.01739034
  0.3145846 -0.01714006
  0.3212221 -0.01688695
  0.3278637 -0.01663137
  0.3345094 -0.01637373
  0.3411582 -0.01611447
  0.3478086 -0.01585401
  0.354459 -0.01559238
  0.3611082 -0.01532952
  0.3677558 -0.0150653
  0.3744023 -0.01479957
  0.3810485 -0.01453215
  0.3876962 -0.01426303
  0.3943465 -0.01399243
  0.4010001 -0.01372063
  0.4076568 -0.01344795
  0.4143158 -0.01317474
  0.4209754 -0.01290136
  0.4276339 -0.01262819
  0.43429 -0.01235561
  0.4409429 -0.01208392
  0.4475928 -0.01181344
  0.4542404 -0.01154442
  0.4608871 -0.01127706
  0.4675344 -0.01101128
  0.4741828 -0.01074697
  0.4808323 -0.01048404
  0.4874821 -0.01022243
  0.4941307 -0.009962135
  0.5007759 -0.009703343
  0.507416 -0.009446677
  0.5140499 -0.009192769
  0.5206778 -0.008942216
  0.5273004 -0.008695578
  0.5339193 -0.008453371
  0.540537 -0.008215762
  0.5471552 -0.00798255
  0.5537749 -0.007753542
  0.5603967 -0.007528577
  0.56702 -0.007307515
  0.5736436 -0.007090263
  0.5802659 -0.006877001
  0.5868858 -0.006668071
  0.5935026 -0.006463795
  0.6001161 -0.006264481
  0.606727 -0.006070415
  0.613336 -0.005881835
  0.6199445 -0.005698727
  0.6265534 -0.005520994
  0.6331633 -0.005348546
  0.6397745 -0.005181305
  0.6463871 -0.005019201
  0.6530008 -0.004862167
  0.6596154 -0.004710138
  0.6662306 -0.004563041
  0.6728466 -0.004420798
  0.6794637 -0.00428333
  0.6860822 -0.004150551
  0.6927027 -0.004022316
  0.6993257 -0.003898399
  0.7059511 -0.003778572
  0.7125788 -0.003662616
  0.7192082 -0.003550314
  0.7258384 -0.003441483
  0.7324685 -0.003336153
  0.7390978 -0.003234442
  0.7457259 -0.003136462
  0.7523528 -0.003042318
  0.7589786 -0.002952114
  0.7656038 -0.002865944
  0.7722285 -0.002783903
  0.7788524 -0.002706092
  0.7854748 -0.002632613
  0.7920948 -0.002563572
  0.7987107 -0.002499203
  0.8053218 -0.002439982
  0.8119278 -0.002386405
  0.8185294 -0.002338957
  0.8251279 -0.002298119
  0.8317255 -0.002264167
  0.8383235 -0.002237053
  0.8449223 -0.002216704
  0.8515209 -0.002203051
  0.8581176 -0.00219604
