 STRAND AIRFOIL
  0.08444865 -0.0338223
  0.0897862 -0.03455961
  0.09521453 -0.0352618
  0.1006978 -0.0359201
  0.1062197 -0.03652888
  0.1117864 -0.03708564
  0.1174192 -0.03759194
  0.1231402 -0.03804977
  0.1289707 -0.03846035
  0.1349307 -0.03882424
  0.1410386 -0.03914145
  0.1473103 -0.03941152
  0.153757 -0.03963366
  0.1603834 -0.03980695
  0.1671838 -0.03993065
  0.1741405 -0.04000438
  0.1812299 -0.04002844
  0.18843 -0.0400041
  0.1957214 -0.03993351
  0.2030899 -0.03981951
  0.2105274 -0.03966535
  0.2180331 -0.03947386
  0.2256078 -0.03924666
  0.2332509 -0.03898537
  0.2409591 -0.03869185
  0.2487265 -0.03836825
  0.2565442 -0.03801707
  0.2644002 -0.03764119
  0.2722798 -0.03724299
  0.2801693 -0.03682276
  0.2880594 -0.03638038
  0.2959455 -0.03591554
  0.3038273 -0.03542767
  0.3117095 -0.03491592
  0.3196012 -0.03437905
  0.327516 -0.03381589
  0.3354677 -0.03322688
  0.3434663 -0.03261309
  0.3515168 -0.03197593
  0.3596196 -0.03131724
  0.3677692 -0.03063944
  0.3759541 -0.02994559
  0.3841566 -0.02923943
  0.3923526 -0.02852535
  0.4005126 -0.02780816
  0.4086103 -0.02708525
  0.4166513 -0.02634247
  0.4246804 -0.02556631
  0.4327518 -0.02476421
  0.4408923 -0.02395273
  0.4491007 -0.02314283
  0.4573658 -0.02233563
  0.4656763 -0.02153151
  0.4740207 -0.02073081
  0.4823882 -0.01993378
  0.4907679 -0.01914058
  0.49915 -0.01835128
  0.5075251 -0.01756586
  0.5158846 -0.01678422
  0.5242211 -0.01600623
  0.5325282 -0.01523298
  0.5408016 -0.01446665
  0.5490389 -0.01370924
  0.5572396 -0.01296252
  0.5654051 -0.01222805
  0.5735381 -0.01150723
  0.5816433 -0.01080127
  0.5897266 -0.01011124
  0.5977953 -0.009438131
  0.6058584 -0.008782828
  0.613926 -0.008145375
  0.6220072 -0.007524028
  0.6301093 -0.00691698
  0.6382375 -0.006322607
  0.6463948 -0.00573945
  0.6545822 -0.005166191
  0.6627984 -0.004601647
  0.6710393 -0.004044764
  0.6792988 -0.003494611
  0.6875679 -0.002950385
  0.6958351 -0.002411507
  0.7040878 -0.001879452
  0.7123147 -0.001357356
  0.7205066 -0.0008481905
  0.7286569 -0.0003546835
  0.7367606 0.0001206812
  0.7448153 0.0005756498
  0.75282 0.001008177
  0.7607757 0.001416398
  0.7686849 0.001798594
  0.7765514 0.002153158
  0.7843803 0.002478626
  0.7921776 0.002774767
  0.7999487 0.003042309
  0.8076985 0.003281912
  0.8154313 0.003494149
  0.8231509 0.003679513
  0.8308607 0.003838435
  0.8385635 0.003971289
  0.8462619 0.004078402
  0.8539578 0.004160062
  0.861653 0.004216526
  0.8693487 0.004248027
  0.8770457 0.004254782
  0.8847445 0.004236994
  0.8924452 0.004194865
  0.9001465 0.00412802
  0.9078392 0.004034444
  0.9155008 0.003912175
  0.9230965 0.003759918
  0.9305818 0.003577311
  0.9379075 0.003365099
  0.9450245 0.003125144
  0.9518896 0.00286026
  0.9584698 0.002573908
  0.9647438 0.002270109
  0.9707049 0.001953457
  0.976358 0.001627927
  0.9817163 0.001296686
  0.986797 0.0009621938
  0.9916195 0.0006263168
  0.9962033 0.000290453
  1.0 0.0
