NACA 65-410
  0.2522038 -0.02711676
  0.2585397 -0.02727932
  0.2648776 -0.02743284
  0.2712167 -0.02757732
  0.2775561 -0.02771278
  0.2838953 -0.02783922
  0.290234 -0.02795668
  0.2965723 -0.02806518
  0.3029102 -0.02816476
  0.3092481 -0.02825545
  0.3155863 -0.02833724
  0.3219251 -0.02841013
  0.3282643 -0.0284741
  0.3346039 -0.02852916
  0.3409434 -0.02857529
  0.3472824 -0.02861248
  0.35362 -0.02864072
  0.3599556 -0.02865984
  0.3662883 -0.02866947
  0.3726178 -0.02866925
  0.3789437 -0.0286588
  0.3852661 -0.02863776
  0.3915852 -0.02860575
  0.3979013 -0.02856241
  0.404215 -0.02850738
  0.4105271 -0.02844037
  0.4168381 -0.02836121
  0.4231482 -0.0282697
  0.4294573 -0.02816567
  0.435765 -0.02804894
  0.4420706 -0.02791934
  0.4483733 -0.02777672
  0.4546717 -0.02762093
  0.4609646 -0.02745158
  0.4672512 -0.02726816
  0.4735312 -0.02707015
  0.4798048 -0.02685701
  0.486073 -0.02662817
  0.4923371 -0.02638304
  0.498599 -0.02612101
  0.5048612 -0.02584151
  0.5111264 -0.0255449
  0.5173966 -0.02523198
  0.5236736 -0.02490356
  0.5299585 -0.02456048
  0.5362517 -0.0242036
  0.5425531 -0.02383383
  0.5488621 -0.02345213
  0.5551773 -0.02305942
  0.5614971 -0.02265629
  0.5678203 -0.02224314
  0.5741458 -0.02182037
  0.580473 -0.02138836
  0.5868015 -0.0209475
  0.5931311 -0.02049813
  0.5994621 -0.02004058
  0.605795 -0.01957517
  0.6121305 -0.01910233
  0.618469 -0.01862247
  0.6248111 -0.01813606
  0.6311568 -0.01764353
  0.6375065 -0.01714537
  0.64386 -0.01664204
  0.6502173 -0.01613404
  0.6565782 -0.01562181
  0.6629422 -0.01510563
  0.669309 -0.01458577
  0.675678 -0.01406249
  0.6820487 -0.01353609
  0.6884203 -0.01300684
  0.6947921 -0.01247504
  0.7011634 -0.01194101
  0.7075332 -0.01140525
  0.713901 -0.01086862
  0.7202663 -0.01033195
  0.726629 -0.009796064
  0.7329891 -0.009261771
  0.7393471 -0.008729846
  0.7457036 -0.008201045
  0.7520593 -0.007676091
  0.7584154 -0.007155385
  0.7647723 -0.00663901
  0.7711302 -0.006127072
  0.7774887 -0.005619717
  0.7838471 -0.005117126
  0.790204 -0.004619516
  0.7965577 -0.004127134
  0.8029059 -0.00364031
  0.8092461 -0.003160156
  0.8155764 -0.002688336
  0.8218953 -0.002226466
  0.828202 -0.001776094
  0.834496 -0.001338706
  0.8407777 -0.0009157326
  0.8470477 -0.0005085528
  0.8533073 -0.0001184217
  0.8595581 0.0002544532
  0.8658024 0.000610558
  0.8720427 0.0009503883
  0.8782818 0.001274433
  0.8845231 0.001583171
  0.8907704 0.00187707
  0.8970278 0.00215658
  0.9032998 0.002421817
  0.9095884 0.002668305
  0.9158863 0.002887889
  0.9221758 0.003072118
  0.9284289 0.003212804
  0.9346096 0.003302681
  0.9406767 0.003336119
  0.9465882 0.003309701
  0.9523062 0.003222602
  0.9578009 0.003078792
  0.9630558 0.002885956
  0.9680658 0.00265172
  0.9728342 0.002383051
  0.97737 0.002086069
  0.9816855 0.001766
  0.9857945 0.001427224
  0.9897113 0.001073377
  0.99345 0.0007074498
  0.9970241 0.0003318974
  1.0 0.0
