LWK 79-100
  1.0 0.0
  0.9966332 0.0002202978
  0.9922941 0.0005041027
  0.9874757 0.0008257936
  0.9822186 0.001179271
  0.9765849 0.001547513
  0.9706519 0.001934734
  0.9644993 0.002341147
  0.9581931 0.002755732
  0.9517792 0.003173324
  0.9452939 0.003594108
  0.9387664 0.004017376
  0.9322173 0.004441239
  0.925658 0.004864275
  0.9190939 0.005285353
  0.9125267 0.005703576
  0.9059559 0.006118759
  0.899381 0.006531288
  0.8928023 0.006941547
  0.886221 0.007350357
  0.8796378 0.007758936
  0.8730527 0.008168531
  0.8664659 0.008579764
  0.8598784 0.008992431
  0.8532927 0.009406186
  0.846713 0.00982088
  0.840143 0.01023743
  0.8335844 0.01065712
  0.8270367 0.0110813
  0.8204978 0.01151111
  0.8139652 0.01194716
  0.8074373 0.01239002
  0.8009126 0.01284022
  0.7943904 0.0132981
  0.7878706 0.01376382
  0.7813537 0.01423748
  0.7748408 0.01471914
  0.7683334 0.01520901
  0.7618317 0.01570756
  0.7553348 0.0162154
  0.7488402 0.01673325
  0.7423442 0.01726159
  0.7358437 0.01780005
  0.7293377 0.01834796
  0.7228273 0.0189045
  0.7163157 0.01946874
  0.7098067 0.02004048
  0.7033028 0.02062011
  0.6968043 0.02120818
  0.6903093 0.02180544
  0.6838145 0.02241246
  0.6773161 0.02302898
  0.6708118 0.0236545
  0.6643006 0.0242884
  0.6577828 0.02492992
  0.6512598 0.0255783
  0.6447326 0.02623296
  0.6382016 0.02689338
  0.6316662 0.02755913
  0.6251251 0.02822982
  0.618577 0.028905
  0.6120217 0.02958395
  0.6054609 0.03026579
  0.5988979 0.03094946
  0.5923377 0.03163361
  0.5857858 0.03231618
  0.5792458 0.03299502
  0.5727193 0.03366816
  0.5662062 0.0343339
  0.5597044 0.0349908
  0.5532114 0.03563826
  0.546725 0.03627587
  0.5402437 0.03690315
  0.5337665 0.03751955
  0.5272933 0.03812449
  0.5208242 0.03871738
  0.5143595 0.03929765
  0.5078996 0.03986472
  0.5014449 0.04041802
  0.4949957 0.04095699
  0.4885524 0.04148106
  0.4821144 0.0419897
  0.4756805 0.04248246
  0.4692487 0.04295892
  0.4628164 0.04341875
  0.4563807 0.04386231
  0.4499398 0.04429024
  0.443493 0.04470313
  0.4370409 0.04510145
  0.4305852 0.04548561
  0.4241283 0.04585554
  0.4176719 0.04621092
  0.411217 0.04655148
  0.4047635 0.04687699
  0.3983106 0.04718731
  0.3918571 0.0474825
  0.3854021 0.04776276
  0.3789455 0.04802823
  0.3724876 0.04827906
  0.3660296 0.04851533
  0.3595731 0.04873668
  0.3531197 0.04894258
  0.3466713 0.04913248
  0.34023 0.04930584
  0.3337977 0.0494621
  0.3273762 0.04960026
  0.3209656 0.0497192
  0.3145647 0.04981785
  0.3081709 0.04989514
  0.3017803 0.04995029
  0.2953895 0.04998349
  0.2889964 0.04999509
  0.2826005 0.0499854
  0.2762029 0.04995474
  0.2698059 0.04990323
  0.2634108 0.04983077
  0.2570179 0.04973721
  0.2506256 0.04962239
  0.2442313 0.04948618
  0.2378328 0.04932889
  0.2314308 0.04915105
  0.2250287 0.04895326
  0.2186335 0.04873624
  0.2122532 0.04849937
  0.2058926 0.04824076
  0.199552 0.0479584
  0.1932275 0.04765011
  0.1869122 0.04731441
  0.1806022 0.0469511
  0.1742988 0.04656032
  0.1680084 0.04614258
  0.1617408 0.04569742
  0.1555031 0.04522254
  0.1492963 0.04471518
  0.1431156 0.04417225
  0.1369539 0.04359176
  0.1308088 0.04297323
  0.1246845 0.04231696
  0.1185918 0.04162354
  0.1125428 0.0408913
  0.1065456 0.04011752
  0.1006036 0.03929927
  0.09471763 0.03843378
  0.08889268 0.03751936
  0.08313888 0.03655559
  0.07747079 0.0355426
  0.07190589 0.03448009
  0.06646234 0.03336901
  0.06115898 0.03221146
  0.05602217 0.03101158
  0.05108568 0.02977781
  0.04638379 0.0285207
  0.04194814 0.02725031
  0.03780125 0.02597803
  0.03395396 0.02471503
  0.03041545 0.02347343
  0.02719012 0.02226658
  0.02426991 0.02110417
  0.02163739 0.01998575
  0.01926722 0.01890742
  0.01713013 0.01786556
  0.01519824 0.01685634
  0.01345074 0.01587503
  0.01187017 0.0149187
  0.01044007 0.01398577
  0.009144989 0.01307517
  0.007971204 0.01218582
  0.006906126 0.0113158
  0.005937648 0.01046259
  0.005054891 0.009623612
  0.004248424 0.008796388
  0.003511917 0.007978306
  0.002846073 0.007166748
  0.002252874 0.006361204
  0.001733309 0.005562784
  0.001286911 0.004773447
  0.0009117053 0.00399552
  0.0006053019 0.003233197
  0.000364678 0.002489472
  0.0001863143 0.001763374
  6.760112e-05 0.001051598
  7.627624e-06 0.0003493729
  7.627624e-06 -0.0003493729
  6.760112e-05 -0.001051598
  0.0001863143 -0.001763374
  0.000364678 -0.002489472
  0.0006053019 -0.003233197
  0.0009117053 -0.00399552
  0.001286911 -0.004773447
  0.001733309 -0.005562784
  0.002252874 -0.006361204
  0.002846073 -0.007166748
  0.003511917 -0.007978306
  0.004248424 -0.008796388
  0.005054891 -0.009623612
  0.005937648 -0.01046259
  0.006906126 -0.0113158
  0.007971204 -0.01218582
  0.009144989 -0.01307517
  0.01044007 -0.01398577
  0.01187017 -0.0149187
  0.01345074 -0.01587503
  0.01519824 -0.01685634
  0.01713013 -0.01786556
  0.01926722 -0.01890742
  0.02163739 -0.01998575
  0.02426991 -0.02110417
  0.02719012 -0.02226658
  0.03041545 -0.02347343
  0.03395396 -0.02471503
  0.03780125 -0.02597803
  0.04194814 -0.02725031
  0.04638379 -0.0285207
  0.05108568 -0.02977781
  0.05602217 -0.03101158
  0.06115898 -0.03221146
  0.06646234 -0.03336901
  0.07190589 -0.03448009
  0.07747079 -0.0355426
  0.08313888 -0.03655559
  0.08889268 -0.03751936
  0.09471763 -0.03843378
  0.1006036 -0.03929927
  0.1065456 -0.04011752
  0.1125428 -0.0408913
  0.1185918 -0.04162354
  0.1246845 -0.04231696
  0.1308088 -0.04297323
  0.1369539 -0.04359176
  0.1431156 -0.04417225
  0.1492963 -0.04471518
  0.1555031 -0.04522254
  0.1617408 -0.04569742
  0.1680084 -0.04614258
  0.1742988 -0.04656032
  0.1806022 -0.0469511
  0.1869122 -0.04731441
  0.1932275 -0.04765011
  0.199552 -0.0479584
  0.2058926 -0.04824076
  0.2122532 -0.04849937
  0.2186335 -0.04873624
  0.2250287 -0.04895326
  0.2314308 -0.04915105
  0.2378328 -0.04932889
  0.2442313 -0.04948618
  0.2506256 -0.04962239
  0.2570179 -0.04973721
  0.2634108 -0.04983077
  0.2698059 -0.04990323
  0.2762029 -0.04995474
  0.2826005 -0.0499854
  0.2889964 -0.04999509
  0.2953895 -0.04998349
  0.3017803 -0.04995029
  0.3081709 -0.04989514
  0.3145647 -0.04981785
  0.3209656 -0.0497192
  0.3273762 -0.04960026
  0.3337977 -0.0494621
  0.34023 -0.04930584
  0.3466713 -0.04913248
  0.3531197 -0.04894258
  0.3595731 -0.04873668
  0.3660296 -0.04851533
  0.3724876 -0.04827906
  0.3789455 -0.04802823
  0.3854021 -0.04776276
  0.3918571 -0.0474825
  0.3983106 -0.04718731
  0.4047635 -0.04687699
  0.411217 -0.04655148
  0.4176719 -0.04621092
  0.4241283 -0.04585554
  0.4305852 -0.04548561
  0.4370409 -0.04510145
  0.443493 -0.04470313
  0.4499398 -0.04429024
  0.4563807 -0.04386231
  0.4628164 -0.04341875
  0.4692487 -0.04295892
  0.4756805 -0.04248246
  0.4821144 -0.0419897
  0.4885524 -0.04148106
  0.4949957 -0.04095699
  0.5014449 -0.04041802
  0.5078996 -0.03986472
  0.5143595 -0.03929765
  0.5208242 -0.03871738
  0.5272933 -0.03812449
  0.5337665 -0.03751955
  0.5402437 -0.03690315
  0.546725 -0.03627587
  0.5532114 -0.03563826
  0.5597044 -0.0349908
  0.5662062 -0.0343339
  0.5727193 -0.03366816
  0.5792458 -0.03299502
  0.5857858 -0.03231618
  0.5923377 -0.03163361
  0.5988979 -0.03094946
  0.6054609 -0.03026579
  0.6120217 -0.02958395
  0.618577 -0.028905
  0.6251251 -0.02822982
  0.6316662 -0.02755913
  0.6382016 -0.02689338
  0.6447326 -0.02623296
  0.6512598 -0.0255783
  0.6577828 -0.02492992
  0.6643006 -0.0242884
  0.6708118 -0.0236545
  0.6773161 -0.02302898
  0.6838145 -0.02241246
  0.6903093 -0.02180544
  0.6968043 -0.02120818
  0.7033028 -0.02062011
  0.7098067 -0.02004048
  0.7163157 -0.01946874
  0.7228273 -0.0189045
  0.7293377 -0.01834796
  0.7358437 -0.01780005
  0.7423442 -0.01726159
  0.7488402 -0.01673325
  0.7553348 -0.0162154
  0.7618317 -0.01570756
  0.7683334 -0.01520901
  0.7748408 -0.01471914
  0.7813537 -0.01423748
  0.7878706 -0.01376382
  0.7943904 -0.0132981
  0.8009126 -0.01284022
  0.8074373 -0.01239002
  0.8139652 -0.01194716
  0.8204978 -0.01151111
  0.8270367 -0.0110813
  0.8335844 -0.01065712
  0.840143 -0.01023743
  0.846713 -0.00982088
  0.8532927 -0.009406186
  0.8598784 -0.008992431
  0.8664659 -0.008579764
  0.8730527 -0.008168531
  0.8796378 -0.007758936
  0.886221 -0.007350357
  0.8928023 -0.006941547
  0.899381 -0.006531288
  0.9059559 -0.006118759
  0.9125267 -0.005703576
  0.9190939 -0.005285353
  0.925658 -0.004864275
  0.9322173 -0.004441239
  0.9387664 -0.004017376
  0.9452939 -0.003594108
  0.9517792 -0.003173324
  0.9581931 -0.002755732
  0.9644993 -0.002341147
  0.9706519 -0.001934734
  0.9765849 -0.001547513
  0.9822186 -0.001179271
  0.9874757 -0.0008257936
  0.9922941 -0.0005041027
  0.9966332 -0.0002202978
  1.0 0.0
