FX 66-H-80   
  1.0 0.0
  0.9969275 1.235283e-05
  0.9928121 9.950486e-05
  0.9879104 0.0002992003
  0.9823916 0.0005003903
  0.9766014 0.0007088939
  0.9706833 0.0009165498
  0.9646954 0.001118389
  0.9586788 0.001318496
  0.9526719 0.001521628
  0.9466855 0.001733336
  0.9407019 0.001957235
  0.9347077 0.002191957
  0.9287098 0.002435227
  0.9227252 0.00268779
  0.9167581 0.002952771
  0.9107972 0.003233371
  0.9048262 0.003528975
  0.8988384 0.003836834
  0.8928401 0.004153744
  0.8868449 0.004478968
  0.8808614 0.004813997
  0.8748907 0.005160747
  0.8689267 0.005520847
  0.8629626 0.005894399
  0.8569948 0.006281104
  0.8510235 0.006680457
  0.8450515 0.007092082
  0.8390813 0.007515997
  0.833114 0.007952335
  0.8271491 0.008401331
  0.8211848 0.008863074
  0.8152198 0.009337347
  0.8092533 0.009823859
  0.8032858 0.01032225
  0.7973182 0.01083216
  0.7913513 0.01135341
  0.7853853 0.01188588
  0.7794196 0.01242955
  0.7734528 0.0129844
  0.7674832 0.01355006
  0.76151 0.01412583
  0.7555332 0.01471095
  0.7495538 0.01530456
  0.7435736 0.01590587
  0.7375944 0.01651468
  0.731617 0.01713098
  0.7256411 0.01775488
  0.7196656 0.0183866
  0.7136882 0.01902614
  0.707707 0.01967287
  0.7017212 0.020326
  0.6957307 0.02098462
  0.6897366 0.02164773
  0.6837407 0.02231455
  0.677745 0.02298497
  0.6717508 0.02365904
  0.6657588 0.02433683
  0.659769 0.02501851
  0.6537812 0.02570425
  0.6477946 0.02639417
  0.6418087 0.02708832
  0.6358231 0.0277868
  0.6298373 0.02848966
  0.623851 0.02919692
  0.617864 0.02990841
  0.6118762 0.0306239
  0.6058874 0.03134313
  0.5998976 0.03206587
  0.5939069 0.03279184
  0.5879154 0.03352081
  0.5819233 0.03425257
  0.5759304 0.03498692
  0.5699368 0.03572365
  0.5639424 0.03646259
  0.5579471 0.03720343
  0.5519508 0.03794563
  0.5459536 0.03868861
  0.5399557 0.03943174
  0.5339576 0.04017441
  0.5279598 0.04091598
  0.5219629 0.04165602
  0.5159674 0.04239422
  0.5099732 0.04313031
  0.5039802 0.04386404
  0.4979879 0.04459523
  0.4919955 0.04532382
  0.4860025 0.04604991
  0.4800086 0.0467736
  0.474014 0.04749493
  0.468019 0.04821392
  0.4620244 0.04893048
  0.4560308 0.04964417
  0.450039 0.05035442
  0.4440496 0.05106069
  0.4380628 0.05176247
  0.4320792 0.05245923
  0.4260988 0.05315022
  0.4201219 0.0538344
  0.4141493 0.05451069
  0.4081815 0.05517799
  0.4022196 0.05583521
  0.3962648 0.05648105
  0.390318 0.05711369
  0.3843798 0.05773121
  0.3784502 0.05833179
  0.3725289 0.05891366
  0.3666153 0.05947512
  0.3607084 0.06001468
  0.3548075 0.06053097
  0.3489123 0.06102259
  0.3430227 0.06148814
  0.3371388 0.06192619
  0.3312608 0.06233538
  0.325389 0.06271446
  0.3195229 0.06306221
  0.3136618 0.06337745
  0.3078043 0.06365899
  0.3019489 0.06390594
  0.2960941 0.06411814
  0.290239 0.0642955
  0.2843833 0.06443789
  0.278527 0.06454515
  0.2726708 0.06461704
  0.2668158 0.06465294
  0.2609634 0.06465222
  0.2551156 0.06461426
  0.2492745 0.06453851
  0.2434426 0.06442416
  0.2376219 0.06426959
  0.2318136 0.06407305
  0.2260175 0.06383279
  0.2202325 0.06354703
  0.2144567 0.06321435
  0.2086884 0.062834
  0.2029271 0.06240527
  0.1971727 0.06192751
  0.1914262 0.06140013
  0.1856889 0.06082264
  0.1799611 0.06019455
  0.1742425 0.05951525
  0.1685318 0.05878399
  0.162827 0.05800036
  0.1571265 0.05716472
  0.1514297 0.05627763
  0.1457373 0.05533978
  0.1400507 0.05435182
  0.1343725 0.05331393
  0.1287055 0.05222639
  0.1230533 0.05108963
  0.1174197 0.04990383
  0.1118077 0.04866799
  0.1062183 0.04738057
  0.1006502 0.04603959
  0.0951014 0.04464326
  0.08957167 0.04319084
  0.08406393 0.04168244
  0.07858422 0.04011848
  0.07314064 0.03849788
  0.0677414 0.03681948
  0.06239449 0.03508217
  0.05710684 0.03328309
  0.0518817 0.03141787
  0.04671932 0.02948132
  0.04162736 0.02747158
  0.03663033 0.02539462
  0.03177002 0.02325996
  0.02710341 0.02107835
  0.02268903 0.01887087
  0.01859027 0.01667846
  0.01487072 0.01455382
  0.01165403 0.01257413
  0.009074236 0.01084992
  0.007068468 0.009388209
  0.005482326 0.008114446
  0.004188414 0.006964575
  0.003112141 0.005896956
  0.002231536 0.004896413
  0.001531988 0.00396966
  0.0009863492 0.003120331
  0.0005711001 0.0023454
  0.000275718 0.001632933
  8.842256e-05 0.0009638784
  3.443423e-06 0.0003200376
  2.357691e-05 -0.0003159971
  0.0001507356 -0.000956613
  0.0003862046 -0.001605177
  0.0007407009 -0.002257993
  0.00123259 -0.002898081
  0.001882898 -0.003502318
  0.002712533 -0.004067196
  0.003737612 -0.004599103
  0.004961579 -0.005120874
  0.006410449 -0.005652432
  0.00815839 -0.006197112
  0.01030647 -0.006764493
  0.01297632 -0.007364766
  0.01626059 -0.007980013
  0.02018208 -0.008584567
  0.02473665 -0.009159982
  0.02980713 -0.00969864
  0.03519712 -0.01018922
  0.04075023 -0.01062029
  0.04642991 -0.01099861
  0.05221976 -0.01133666
  0.0580725 -0.01164368
  0.06394365 -0.01191942
  0.06982347 -0.01216403
  0.07572962 -0.01238164
  0.08167341 -0.01257891
  0.08764696 -0.01276191
  0.09362954 -0.01293254
  0.09960768 -0.01308961
  0.1055812 -0.0132323
  0.11156 -0.01336148
  0.1175533 -0.01348002
  0.1235642 -0.01359078
  0.1295894 -0.01369625
  0.135623 -0.01379745
  0.1416594 -0.01389491
  0.1476944 -0.01398922
  0.1537251 -0.01408055
  0.1597504 -0.01416809
  0.165771 -0.01425092
  0.1717899 -0.01432818
  0.1778113 -0.01439972
