DAE-21 AIRFOIL
  1.0 0.0
  0.9967137 0.0005927806
  0.9926432 0.001331675
  0.9882476 0.002135376
  0.9835174 0.003007146
  0.9784655 0.00394854
  0.9731196 0.004960757
  0.9675098 0.006045818
  0.9616572 0.007205255
  0.9555847 0.008437192
  0.94932 0.009737972
  0.9428935 0.01110289
  0.9363347 0.01252709
  0.9296714 0.01400565
  0.9229276 0.01553408
  0.9161202 0.01710897
  0.9092583 0.01872833
  0.9023474 0.02039062
  0.8953924 0.0220943
  0.8883976 0.0238378
  0.8813667 0.02561962
  0.8743022 0.02743824
  0.8672061 0.02929225
  0.8600787 0.03118047
  0.8529197 0.03310195
  0.8457275 0.03505572
  0.8385009 0.03704051
  0.8312395 0.03905482
  0.8239432 0.04109689
  0.8166129 0.04316474
  0.8092492 0.0452564
  0.8018524 0.04736993
  0.7944227 0.0495034
  0.78696 0.05165475
  0.7794674 0.05382093
  0.7719524 0.05599742
  0.764428 0.05817819
  0.7569108 0.06035589
  0.7494172 0.0625233
  0.7419584 0.06467462
  0.7345408 0.06680559
  0.7271663 0.0689133
  0.7198348 0.07099551
  0.7125459 0.07305
  0.7053 0.07507459
  0.6980973 0.07706708
  0.6909385 0.0790251
  0.6838241 0.08094624
  0.6767544 0.08282826
  0.66973 0.08466903
  0.6627506 0.0864665
  0.6558138 0.08821904
  0.6489145 0.08992577
  0.6420451 0.09158639
  0.6351961 0.09320156
  0.6283593 0.09477317
  0.6215293 0.09630261
  0.6147033 0.09779056
  0.6078814 0.09923701
  0.601065 0.1006414
  0.5942549 0.102003
  0.5874511 0.1033216
  0.5806526 0.1045967
  0.573858 0.1058284
  0.5670656 0.1070168
  0.5602745 0.1081618
  0.5534839 0.1092633
  0.5466936 0.1103211
  0.5399032 0.1113352
  0.5331123 0.1123052
  0.5263201 0.1132313
  0.5195255 0.1141132
  0.5127273 0.1149512
  0.5059244 0.1157455
  0.4991157 0.1164963
  0.4923 0.1172036
  0.4854765 0.1178678
  0.4786449 0.1184892
  0.4718055 0.1190681
  0.4649597 0.1196047
  0.4581094 0.120099
  0.4512565 0.1205508
  0.4444023 0.12096
