NACA 64(2)-415
  1.0 0.0
  0.996665 0.0006462056
  0.9926281 0.001430115
  0.9883664 0.002259751
  0.983857 0.003139907
  0.9790757 0.00407572
  0.9739979 0.005072476
  0.9686007 0.006135209
  0.9628666 0.007268014
  0.9567884 0.008472967
  0.950377 0.009748642
  0.9436685 0.0110886
  0.9367219 0.01248189
  0.9296072 0.01391529
  0.9223933 0.01537558
  0.9151371 0.01685172
  0.9078765 0.01833643
  0.9006264 0.01982693
  0.8933797 0.0213247
  0.8861203 0.02283212
  0.8788349 0.02435072
  0.8715147 0.0258811
  0.8641556 0.02742291
  0.8567582 0.02897473
  0.8493285 0.030534
  0.8418773 0.0320973
  0.8344166 0.03366149
  0.8269565 0.03522389
  0.8195047 0.03678227
  0.8120671 0.03833489
  0.804647 0.03988046
  0.7972456 0.04141818
  0.7898627 0.04294728
  0.7824972 0.0444668
  0.7751484 0.04597581
  0.7678152 0.04747337
  0.7604967 0.04895858
  0.7531921 0.05043053
  0.7459003 0.05188836
  0.7386206 0.05333152
  0.7313518 0.05475966
  0.7240928 0.05617243
  0.7168423 0.05756954
  0.7095989 0.05895071
  0.7023609 0.06031567
  0.6951267 0.06166423
  0.6878946 0.06299631
  0.6806643 0.06431179
  0.673436 0.06561039
  0.6662107 0.06689167
  0.6589906 0.06815504
  0.6517786 0.06939981
  0.6445782 0.07062506
  0.6373929 0.07182928
  0.6302247 0.07301104
  0.623074 0.07416915
  0.61594 0.07530269
  0.6088206 0.07641095
  0.6017121 0.07749341
  0.59461 0.07854984
  0.5875097 0.07958073
  0.580408 0.08058658
  0.5733038 0.08156766
  0.5661972 0.08252393
  0.5590903 0.08345521
  0.5519866 0.08436109
  0.5448912 0.08524093
  0.5378095 0.08609336
  0.5307452 0.08691691
  0.5236998 0.0877104
  0.5166732 0.08847291
  0.5096632 0.08920371
  0.5026659 0.08990224
  0.4956759 0.09056807
  0.4886871 0.09120127
  0.4816963 0.09180198
  0.4747036 0.09237001
  0.4677122 0.09290495
  0.4607288 0.0934062
  0.4537631 0.09387309
  0.4468278 0.09430493
  0.4399367 0.09469974
  0.4330995 0.09505415
  0.4263195 0.09536531
  0.4195948 0.09563082
  0.4129182 0.09584853
  0.4062784 0.09601633
  0.3996597 0.09613194
  0.3930426 0.09619346
  0.3864074 0.09620272
  0.3797381 0.0961624
  0.3730234 0.09607487
  0.3662566 0.09594244
  0.3594364 0.0957675
  0.3525671 0.09555279
  0.3456597 0.09530146
  0.3387304 0.09501529
  0.3317946 0.09469394
  0.3248648 0.09433706
  0.3179498 0.09394432
  0.3110548 0.09351537
  0.3041817 0.09304974
  0.297329 0.09254674
  0.2904921 0.09200564
  0.2836659 0.09142618
  0.2768463 0.09080817
  0.2700304 0.09015144
  0.2632161 0.08945586
  0.2564026 0.08872137
  0.24959 0.08794799
  0.2427797 0.08713588
  0.2359737 0.08628507
  0.2291748 0.08539558
  0.2223858 0.08446756
  0.2156103 0.08350124
  0.2088519 0.08249701
  0.2021148 0.08145539
  0.1954032 0.08037703
  0.1887218 0.0792623
  0.1820748 0.07811085
  0.1754658 0.07692223
  0.1688976 0.07569596
  0.162372 0.07443151
  0.1558904 0.07312831
  0.1494536 0.07178575
  0.1430615 0.07040308
  0.1367153 0.0689794
  0.1304194 0.06751433
  0.1241822 0.0660086
  0.1180147 0.06446405
  0.1119308 0.06288366
  0.1059456 0.06127147
  0.1000753 0.05963245
  0.09433549 0.0579722
  0.08874287 0.05629613
  0.08331854 0.0546105
  0.07808602 0.05292375
  0.07306726 0.05124554
  0.06827951 0.04958532
  0.06373317 0.04794979
  0.05942954 0.04634271
  0.05536249 0.04476615
  0.05152124 0.0432209
  0.04789242 0.04170682
  0.04446177 0.04022314
  0.04121892 0.03876918
  0.03816067 0.03734702
  0.03528635 0.0359607
  0.03259432 0.03461459
  0.03008033 0.03331231
  0.02773731 0.0320562
  0.02555577 0.03084724
  0.02352473 0.02968519
  0.02163246 0.02856888
  0.01986847 0.0274951
  0.01822436 0.02645797
  0.01669134 0.02545213
  0.0152606 0.02447303
  0.01392373 0.02351687
  0.01267296 0.02258044
  0.01150118 0.02166106
  0.01040198 0.02075646
  0.009369634 0.01986479
  0.008399629 0.01898513
  0.007488414 0.01811727
  0.006632773 0.01726105
  0.005829747 0.01641638
  0.005076599 0.01558312
  0.004372669 0.01475845
  0.003720494 0.01393486
  0.003122043 0.01310544
  0.002578317 0.01226505
  0.00208806 0.01141527
  0.001649116 0.01056006
  0.001259485 0.009702498
  0.0009173838 0.008844989
  0.0006212778 0.00798939
  0.0003698948 0.007137131
  0.0001622362 0.006289302
  -2.415357e-06 0.005446725
  -0.0001244878 0.004610007
  -0.0002041076 0.003779583
  -0.0002410813 0.002955749
  -0.0002348694 0.002138685
  -0.0001845481 0.001328474
  -8.875565e-05 0.0005251133
  5.435765e-05 -0.0002714856
  0.0002458178 -0.001061985
  0.0004850392 -0.001847724
  0.0007716862 -0.002629901
  0.001105798 -0.00340952
  0.001487749 -0.004187391
  0.001918206 -0.004964122
  0.002398089 -0.005740082
  0.002928513 -0.00651536
  0.003510712 -0.007289682
  0.004145921 -0.00806231
