GM15 (smoothed)
  0.3093407 0.07265748
  0.3032856 0.07245196
  0.2972337 0.07222343
  0.2911844 0.07197163
  0.2851377 0.07169629
  0.2790937 0.07139716
  0.273053 0.07107401
  0.2670163 0.07072662
  0.2609848 0.07035448
  0.2549594 0.06995691
  0.2489409 0.06953326
  0.2429298 0.06908283
  0.2369265 0.06860497
  0.2309313 0.06809896
  0.2249443 0.06756402
  0.2189658 0.06699936
  0.212996 0.0664042
  0.2070351 0.06577774
  0.2010834 0.06511922
  0.1951412 0.0644277
  0.1892095 0.06370225
  0.1832893 0.062942
  0.1773823 0.06214615
  0.1714902 0.06131396
  0.1656151 0.06044432
  0.1597586 0.05953571
  0.1539216 0.05858654
  0.1481041 0.05759515
  0.1423054 0.05655974
  0.1365249 0.0554787
  0.1307629 0.0543507
  0.1250211 0.05317464
  0.1193018 0.05194972
  0.1136088 0.05067521
  0.1079447 0.04934974
  0.1023105 0.04797146
  0.09670501 0.04653799
  0.09112499 0.0450465
  0.08556808 0.04349507
  0.08003626 0.04188328
  0.07453632 0.04021225
  0.0690795 0.03848426
  0.06367874 0.03669932
  0.05834349 0.03485585
  0.05307915 0.03295145
  0.04789143 0.03098285
  0.04280068 0.02895084
  0.03784365 0.02686504
  0.03306643 0.02474239
  0.02851283 0.02260151
  0.02421378 0.02046046
  0.02020185 0.01833847
  0.01660446 0.0162997
  0.01355437 0.01444051
  0.01104868 0.01279876
  0.008992637 0.01134292
  0.007278037 0.01002766
  0.005820961 0.008817598
  0.004564503 0.007687009
  0.003491457 0.006617888
  0.002599685 0.005608652
  0.001876477 0.004662896
  0.001299564 0.003781027
  0.0008439433 0.002959619
  0.000493514 0.002194533
  0.0002408654 0.001477225
  7.87269e-05 0.0007944415
  4.005899e-06 0.0001324983
  1.944258e-05 -0.0005225551
  0.0001264373 -0.001181429
  0.0003254691 -0.001848323
  0.0006234275 -0.00252257
  0.001032261 -0.003195518
  0.001565993 -0.003851314
  0.002239738 -0.004484121
  0.003068424 -0.005091465
  0.004064367 -0.00567292
  0.005233239 -0.006232802
  0.006573237 -0.006782644
  0.008112188 -0.007325984
  0.009905676 -0.007860638
  0.01202597 -0.008387182
  0.01456268 -0.008916128
  0.01761303 -0.009454288
  0.02123319 -0.00998226
  0.02538772 -0.01047671
  0.03000908 -0.0109237
  0.03502489 -0.01130745
  0.04032907 -0.0116212
  0.04582788 -0.01186425
  0.05144589 -0.0120346
  0.05713403 -0.01213483
  0.06287655 -0.01216947
  0.06866862 -0.01214288
  0.07450469 -0.01205985
  0.08037829 -0.01192514
  0.08628259 -0.01174238
  0.09221102 -0.01151521
  0.09815732 -0.01124754
  0.1041161 -0.01094233
  0.1100836 -0.0106011
  0.1160588 -0.01022524
  0.1220427 -0.009816016
  0.1280383 -0.009374933
  0.1340481 -0.008904102
  0.1400728 -0.008405839
  0.1461113 -0.007882662
  0.1521602 -0.007337105
  0.158216 -0.006770747
  0.1642765 -0.006184772
  0.1703411 -0.005580236
  0.1764108 -0.004958041
  0.182488 -0.004319187
  0.1885752 -0.003665199
  0.1946737 -0.002997783
  0.2007838 -0.002318792
  0.2069045 -0.001630231
  0.2130336 -0.0009338849
  0.2191689 -0.0002308202
  0.2253086 0.0004780235
  0.2314512 0.001191749
  0.2375958 0.001909508
  0.2437418 0.002630441
  0.249889 0.003353481
  0.2560369 0.00407749
  0.262185 0.004801312
  0.2683326 0.005523776
  0.2744789 0.006243706
  0.280623 0.006960123
  0.2867641 0.007672251
  0.2929016 0.008379346
  0.299035 0.009080687
  0.3051641 0.009775581
  0.3112887 0.01046335
  0.3174089 0.01114327
  0.3235249 0.01181463
  0.329637 0.01247672
  0.3357456 0.01312885
  0.3418513 0.01377034
  0.3479547 0.0144006
  0.3540564 0.01501925
  0.3601569 0.01562601
  0.3662564 0.01622054
  0.3723551 0.01680251
  0.3784529 0.01737156
  0.3845496 0.01792732
  0.3906449 0.0184694
  0.3967388 0.01899742
  0.4028313 0.01951102
  0.4089225 0.02000983
  0.4150128 0.02049353
  0.4211026 0.02096178
  0.4271925 0.02141442
  0.4332826 0.02185138
  0.4393732 0.02227252
  0.4454643 0.02267774
  0.4515557 0.02306689
  0.457647 0.02343984
  0.4637378 0.0237964
  0.469828 0.02413637
  0.4759174 0.02445958
  0.4820063 0.02476584
  0.4880951 0.02505499
  0.4941845 0.02532687
  0.5002753 0.02558147
  0.5063683 0.02581903
  0.5124637 0.02603982
  0.5185618 0.02624408
  0.5246621 0.02643204
  0.5307643 0.02660395
  0.5368673 0.02675996
  0.5429704 0.02690003
  0.5490729 0.02702406
  0.5551748 0.02713194
  0.5612761 0.0272236
  0.5673773 0.02729894
  0.5734792 0.02735791
  0.5795829 0.02740071
  0.585689 0.02742775
  0.5917981 0.0274394
  0.5979101 0.02743606
  0.6040249 0.0274181
  0.6101418 0.02738591
  0.6162601 0.02733975
  0.6223791 0.02727971
  0.6284982 0.02720583
  0.6346173 0.0271182
  0.6407364 0.02701688
  0.6468557 0.02690194
  0.6529756 0.02677348
  0.6590968 0.02663182
  0.6652197 0.02647728
  0.6713445 0.02631019
  0.6774716 0.02613086
  0.6836011 0.02593964
  0.689733 0.02573685
  0.6958672 0.0255228
  0.7020036 0.0252978
  0.7081418 0.02506217
  0.7142811 0.02481625
  0.720421 0.02456038
  0.7265604 0.02429482
  0.7326985 0.0240194
  0.7388347 0.02373387
  0.7449682 0.02343797
  0.7510988 0.02313141
  0.7572263 0.02281395
  0.7633505 0.02248523
  0.7694714 0.02214485
  0.7755889 0.02179235
  0.7817027 0.02142731
  0.7878126 0.02104929
  0.7939181 0.02065788
  0.8000189 0.02025257
  0.8061147 0.01983275
  0.8122053 0.01939782
  0.8182907 0.01894718
  0.8243711 0.01848019
  0.8304468 0.01799633
  0.8365183 0.01749528
  0.8425864 0.01697674
  0.8486518 0.01644037
  0.8547158 0.01588582
  0.8607795 0.01531293
  0.8668444 0.01472212
  0.8729115 0.01411392
  0.8789821 0.01348882
  0.8850571 0.01284737
  0.8911374 0.01219043
  0.8972239 0.01151916
  0.9033176 0.01083478
  0.9094193 0.0101385
  0.9155297 0.009431516
  0.9216485 0.00871516
  0.9277738 0.007990942
  0.9339022 0.007260621
  0.9400296 0.006526813
  0.9461549 0.005792552
  0.95228 0.005060477
  0.958406 0.004332306
  0.9645124 0.003610541
  0.9705486 0.002901638
  0.9764454 0.002223998
  0.9821321 0.001601237
  0.9875267 0.001051279
  0.9924812 0.0005889995
  0.996826 0.0002253103
  1.0 -1e-05
