GM15 (smoothed)
  1.0 6e-05
  0.997237 0.00126437
  0.9937166 0.002584376
  0.9898282 0.003819716
  0.9855675 0.004969508
  0.980924 0.006041781
  0.9758878 0.007059048
  0.9704599 0.008047656
  0.9647133 0.009037666
  0.9588118 0.01004301
  0.9528997 0.01105966
  0.9470248 0.01209762
  0.9411578 0.01316798
  0.935266 0.01427329
  0.929334 0.01541305
  0.9233625 0.01658253
  0.9173595 0.01777306
  0.9113335 0.01897513
  0.9052943 0.02017886
  0.8992519 0.02137683
  0.8932148 0.02256524
  0.8871879 0.02374126
  0.881173 0.02490274
  0.8751688 0.02604828
  0.8691726 0.02717704
  0.8631819 0.02828824
  0.8571939 0.0293811
  0.8512059 0.03045483
  0.8452153 0.03150933
  0.8392203 0.03254529
  0.8332196 0.0335633
  0.8272126 0.03456383
  0.8211996 0.03554724
  0.8151811 0.03651373
  0.809158 0.03746344
  0.8031307 0.03839652
  0.7970996 0.03931317
  0.7910648 0.04021363
  0.7850261 0.04109816
  0.7789833 0.04196713
  0.7729363 0.04282092
  0.7668848 0.04365989
  0.7608288 0.04448442
  0.7547681 0.04529484
  0.7487025 0.04609157
  0.7426322 0.04687504
  0.7365572 0.04764569
  0.7304775 0.04840396
  0.7243935 0.04915029
  0.7183055 0.04988508
  0.7122138 0.05060866
  0.7061188 0.05132122
  0.7000208 0.05202295
  0.6939202 0.05271404
  0.6878173 0.05339469
  0.6817124 0.05406508
  0.6756057 0.05472538
  0.6694975 0.05537567
  0.6633878 0.05601601
  0.6572766 0.05664652
  0.6511638 0.05726729
  0.645049 0.05787844
  0.638932 0.05848012
  0.6328125 0.05907249
  0.6266905 0.05965573
  0.6205663 0.06022997
  0.6144405 0.06079534
  0.6083137 0.06135193
  0.602187 0.06189975
  0.5960613 0.06243844
  0.5899373 0.06296754
  0.5838154 0.0634866
  0.5776955 0.06399523
  0.5715775 0.06449306
  0.5654607 0.06497976
  0.5593444 0.06545516
  0.553228 0.06591926
  0.5471112 0.06637199
  0.5409937 0.06681329
  0.5348757 0.06724307
  0.5287573 0.06766125
  0.5226391 0.06806762
  0.5165213 0.06846191
  0.5104045 0.06884382
  0.5042888 0.06921307
  0.4981744 0.06956937
  0.4920615 0.06991245
  0.4859501 0.07024204
  0.4798402 0.07055783
  0.4737318 0.0708595
  0.4676249 0.07114673
  0.4615193 0.07141922
  0.4554149 0.07167665
  0.4493117 0.07191872
  0.4432093 0.07214519
  0.4371079 0.07235581
  0.4310074 0.07255035
  0.4249079 0.07272857
  0.4188097 0.07289024
  0.4127129 0.07303512
  0.406618 0.0731629
  0.4005251 0.07327328
  0.3944343 0.07336593
  0.3883454 0.07344053
  0.3822583 0.07349677
  0.3761726 0.07353432
  0.3700879 0.07355296
  0.3640038 0.07355254
  0.3579204 0.0735329
  0.351838 0.0734939
  0.3457569 0.07343542
  0.339678 0.0733573
  0.3336022 0.07325927
  0.3275303 0.0731408
  0.3214627 0.07300136
  0.3153995 0.07284044
