AS5045 (15%)
  0.1816379 -0.05383405
  0.18834 -0.05462714
  0.1950682 -0.05538781
  0.2018197 -0.05611679
  0.2085915 -0.05681488
  0.2153804 -0.0574826
  0.222184 -0.05812009
  0.2290005 -0.05872758
  0.235829 -0.05930542
  0.2426697 -0.05985404
  0.2495228 -0.06037393
  0.2563877 -0.06086558
  0.2632629 -0.06132938
  0.2701457 -0.06176572
  0.2770324 -0.06217477
  0.28392 -0.06255617
  0.2908069 -0.06290951
  0.2976935 -0.06323449
  0.304582 -0.06353091
  0.3114759 -0.06379881
  0.3183785 -0.0640389
  0.325291 -0.06425187
  0.3322124 -0.06443836
  0.33914 -0.06459899
  0.346069 -0.06473406
  0.3529951 -0.06484317
  0.3599163 -0.06492584
  0.3668328 -0.06498163
  0.3737471 -0.06501012
  0.3806637 -0.06501106
  0.3875866 -0.06498498
  0.3945172 -0.06493257
  0.4014535 -0.06485456
  0.4083905 -0.06475177
  0.4153202 -0.06462489
  0.4222337 -0.06447291
  0.4291245 -0.06429418
  0.4359891 -0.06408706
  0.4428269 -0.06384989
  0.4496396 -0.06358103
  0.4564311 -0.06327935
  0.4632052 -0.06294422
  0.4699654 -0.06257498
  0.4767151 -0.06217092
  0.4834572 -0.06173128
  0.4901941 -0.06125541
  0.4969269 -0.06074302
  0.5036539 -0.0601941
  0.5103709 -0.05960887
  0.5170713 -0.05898788
  0.5237462 -0.05833187
  0.5303872 -0.05764016
  0.5369914 -0.05691091
  0.5435622 -0.0561417
  0.5501083 -0.05532935
  0.5566441 -0.05446973
  0.5631883 -0.05355983
  0.5697583 -0.05260014
  0.5763655 -0.05159205
  0.5830156 -0.0505378
  0.5897073 -0.04944078
  0.5964323 -0.04830551
  0.6031786 -0.04713529
  0.6099375 -0.04593212
  0.6167051 -0.04469732
  0.6234823 -0.04343133
  0.6302752 -0.04213371
  0.6370939 -0.04080582
  0.6439469 -0.03945297
  0.6508373 -0.03808194
  0.6577624 -0.03670096
  0.6647129 -0.03531973
  0.6716735 -0.03394831
  0.678628 -0.03259309
  0.6855652 -0.03125836
  0.6924801 -0.02994718
  0.6993735 -0.02866139
  0.7062514 -0.02740177
  0.7131228 -0.02616732
  0.719995 -0.0249566
  0.7268719 -0.02376869
  0.7337548 -0.02260327
  0.7406417 -0.02146052
  0.7475282 -0.02034122
  0.7544104 -0.01924665
  0.7612862 -0.01817775
  0.7681562 -0.01713509
  0.7750231 -0.01611892
  0.7818917 -0.01512908
  0.7887664 -0.0141646
  0.7956493 -0.0132247
  0.8025391 -0.01230898
  0.8094319 -0.01141743
  0.8163205 -0.01055056
  0.8231975 -0.009710226
  0.8300587 -0.008898418
  0.836903 -0.008116634
  0.8437329 -0.007365987
  0.8505533 -0.006647037
