NACA 747A315
  0.1380693 -0.0368779
  0.1450791 -0.0375773
  0.1521397 -0.03825468
  0.1592375 -0.03891147
  0.1663618 -0.03954744
  0.1735047 -0.0401616
  0.1806608 -0.04075327
  0.1878276 -0.04132207
  0.1950057 -0.04186784
  0.2021983 -0.04239064
  0.2094118 -0.04289088
  0.2166533 -0.04337009
  0.2239274 -0.0438301
  0.2312354 -0.04427252
  0.2385758 -0.04469881
  0.2459434 -0.04511032
  0.2533294 -0.04550827
  0.2607219 -0.04589316
  0.26811 -0.04626375
  0.2754866 -0.04661875
  0.282849 -0.04695713
  0.2901982 -0.04727807
  0.2975393 -0.0475809
  0.3048814 -0.04786509
  0.3122357 -0.04813126
  0.3196108 -0.048381
  0.3270111 -0.04861579
  0.3344365 -0.04883695
  0.3418821 -0.04904571
  0.3493383 -0.04924323
  0.3567906 -0.0494302
  0.3642249 -0.04960509
  0.3716323 -0.04976587
  0.3790098 -0.0499107
  0.3863601 -0.05003794
  0.3936912 -0.05014601
  0.4010159 -0.05023338
  0.408351 -0.05030018
  0.4157106 -0.05034853
  0.4231039 -0.05038061
  0.4305353 -0.05039856
  0.4380037 -0.05040454
  0.4455022 -0.05040081
  0.4530179 -0.05038931
  0.4605363 -0.05036971
  0.4680457 -0.05034096
  0.4755385 -0.05030205
  0.4830106 -0.050252
  0.490462 -0.05018983
  0.497896 -0.05011454
  0.5053188 -0.05002545
  0.512736 -0.04992239
  0.5201507 -0.04980525
  0.5275638 -0.04967394
  0.5349742 -0.04952841
  0.5423781 -0.04936865
  0.5497697 -0.04919471
  0.5571423 -0.04900602
  0.5644911 -0.04880148
  0.5718138 -0.04857995
  0.5791109 -0.04834027
  0.5863852 -0.04808119
  0.5936418 -0.04780138
  0.6008881 -0.04749945
  0.6081317 -0.04717479
  0.6153771 -0.04682734
  0.6226248 -0.0464572
  0.6298714 -0.04606469
  0.6371097 -0.04565037
  0.6443287 -0.04521515
  0.6515139 -0.04476004
  0.6586504 -0.04428393
  0.6657288 -0.04378434
  0.6727454 -0.04325862
  0.6797021 -0.04270391
  0.6866054 -0.04211706
  0.6934659 -0.04149451
  0.7002983 -0.04083225
  0.7071204 -0.04012785
  0.7139485 -0.03938154
  0.7207963 -0.0385937
  0.7276744 -0.03776478
  0.734591 -0.03689545
  0.741551 -0.03598665
  0.748556 -0.03503979
  0.7556045 -0.03405678
  0.7626934 -0.0330398
  0.7698203 -0.03199109
  0.7769839 -0.03091284
  0.7841835 -0.02980722
  0.7914197 -0.02867628
  0.7986943 -0.02752201
  0.8060101 -0.02634622
  0.813369 -0.02515065
  0.8207701 -0.02393755
  0.8282081 -0.02270992
  0.8356741 -0.02147152
  0.8431549 -0.02022688
  0.8506328 -0.01898131
  0.8580874 -0.01774085
  0.8654994 -0.01651191
  0.8728542 -0.01530006
  0.8801413 -0.01410995
  0.8873546 -0.01294534
  0.8944919 -0.01180914
  0.9015539 -0.01070355
  0.9085425 -0.009631483
  0.9154525 -0.008598769
  0.9222676 -0.007612493
  0.9289636 -0.006680091
  0.9355108 -0.005808564
  0.9418784 -0.005003714
  0.9480377 -0.00426956
  0.953965 -0.00360783
  0.959645 -0.003016131
  0.9650726 -0.002489448
  0.9702509 -0.002022157
  0.9751885 -0.001608534
  0.9798973 -0.001243074
  0.9843908 -0.0009206671
  0.9886833 -0.000636672
  0.9927888 -0.0003869396
  0.9967208 -0.0001677928
  1.0 0.0
