MA409 (smoothed)
  1.0 0.00034
  0.9968558 0.001106551
  0.9925075 0.002158296
  0.9875732 0.003326493
  0.9822285 0.004558333
  0.9766286 0.005819971
  0.9709042 0.007081809
  0.9651333 0.008324291
  0.959333 0.009543316
  0.9535021 0.01074116
  0.9476447 0.0119192
  0.9417695 0.01307729
  0.9358835 0.01421489
  0.9299897 0.01533225
  0.9240876 0.01643038
  0.9181758 0.01751045
  0.9122544 0.01857341
  0.906325 0.01961993
  0.9003902 0.02065015
  0.8944525 0.02166368
  0.8885126 0.02266034
  0.88257 0.02364019
  0.8766226 0.02460361
  0.8706681 0.0255516
  0.8647057 0.02648515
  0.8587356 0.02740503
  0.8527594 0.02831184
  0.8467799 0.02920569
  0.8407995 0.03008602
  0.8348196 0.03095235
  0.8288402 0.03180437
  0.8228599 0.03264195
  0.8168766 0.0334653
  0.810888 0.03427529
  0.8048928 0.03507282
  0.7988907 0.03585864
  0.7928827 0.03663334
  0.7868706 0.03739738
  0.7808569 0.03815055
  0.7748435 0.03889227
  0.7688313 0.03962205
  0.7628206 0.04033953
  0.7568109 0.04104442
  0.7508006 0.04173663
  0.7447884 0.04241652
  0.738773 0.04308456
  0.7327538 0.04374116
  0.7267307 0.04438668
  0.7207038 0.04502142
  0.7146741 0.04564559
  0.7086423 0.04625909
  0.7026093 0.04686182
  0.6965757 0.04745364
  0.6905419 0.04803448
  0.6845081 0.04860427
  0.6784745 0.04916294
  0.672441 0.04971042
  0.6664075 0.0502466
  0.6603737 0.05077141
  0.6543394 0.05128477
  0.6483043 0.05178659
  0.642268 0.05227682
  0.63623 0.05275553
  0.63019 0.05322294
  0.6241479 0.05367921
  0.6181038 0.05412453
  0.6120579 0.05455905
  0.6060105 0.05498293
  0.599962 0.0553962
  0.593913 0.05579877
  0.5878637 0.05619052
  0.5818144 0.05657134
  0.5757653 0.05694113
  0.5697163 0.0572998
  0.5636674 0.05764729
  0.5576184 0.05798355
  0.5515693 0.05830859
  0.5455197 0.0586224
  0.5394696 0.05892496
  0.5334186 0.05921627
  0.5273665 0.05949631
  0.5213131 0.05976517
  0.5152582 0.060023
  0.5092019 0.06026992
  0.5031442 0.06050608
  0.4970854 0.0607316
  0.4910258 0.0609466
  0.4849659 0.06115113
  0.4789061 0.06134506
  0.4728467 0.06152827
  0.4667879 0.06170063
  0.4607297 0.06186202
  0.4546721 0.06201232
  0.448615 0.06215142
  0.442558 0.06227924
  0.4365012 0.0623957
  0.4304446 0.06250072
  0.4243883 0.06259421
  0.4183325 0.06267609
  0.4122776 0.06274626
  0.4062238 0.06280449
  0.4001716 0.06285046
  0.3941212 0.06288383
  0.388073 0.06290431
  0.382027 0.06291157
  0.3759834 0.06290529
  0.3699424 0.06288514
  0.363904 0.0628507
  0.3578682 0.06280158
  0.3518351 0.0627374
  0.3458045 0.06265775
  0.3397765 0.06256225
  0.3337508 0.06245052
  0.3277274 0.06232228
  0.3217063 0.0621772
  0.3156875 0.06201499
  0.3096711 0.06183536
  0.3036572 0.061638
  0.297646 0.06142259
  0.2916376 0.06118879
  0.2856322 0.06093626
  0.27963 0.06066464
  0.273631 0.0603736
  0.2676353 0.06006278
  0.2616432 0.05973181
  0.2556546 0.05938026
  0.24967 0.05900773
  0.2436896 0.05861382
  0.2377137 0.05819813
  0.2317429 0.05776025
  0.2257776 0.0572996
  0.2198183 0.05681557
  0.2138652 0.05630756
  0.2079187 0.05577493
  0.2019789 0.05521708
  0.196046 0.05463331
  0.1901205 0.05402289
  0.1842028 0.05338511
  0.1782936 0.05271928
  0.1723937 0.05202474
  0.1665043 0.05130067
  0.1606263 0.05054596
  0.1547605 0.04975953
  0.1489079 0.04894031
  0.143069 0.0480872
  0.1372447 0.04719889
  0.1314361 0.04627398
  0.1256446 0.04531112
  0.1198721 0.0443091
  0.1141206 0.04326661
  0.1083925 0.04218177
  0.1026898 0.04105257
  0.09701396 0.03987698
  0.09136625 0.03865294
  0.08574808 0.03737822
  0.08016141 0.03605066
  0.07460865 0.0346683
  0.0690927 0.03322938
  0.06361734 0.03173224
  0.05818732 0.03017557
  0.05280823 0.02855857
  0.047491 0.02687999
  0.04226605 0.02514226
  0.03718305 0.02335695
  0.03230117 0.02154117
  0.02767478 0.01971076
