MA409 (smoothed)
  0.02334083 0.01788192
  0.01934845 0.0160747
  0.01583987 0.01435283
  0.01290665 0.01278876
  0.01050429 0.01139756
  0.008524515 0.01014731
  0.006863437 0.009003883
  0.005442635 0.007940904
  0.004215514 0.006937892
  0.003177154 0.005980002
  0.002324255 0.005067093
  0.001640366 0.004202321
  0.001100941 0.003386359
  0.000681621 0.002617718
  0.0003697457 0.001895357
  0.0001557593 0.001211002
  3.299173e-05 0.0005525666
  9.061044e-07 -9.304416e-05
  6.259554e-05 -0.0007394476
  0.0002162714 -0.001396526
  0.0004654658 -0.002070242
  0.0008198874 -0.002761559
  0.001292373 -0.003461607
  0.001899249 -0.004160739
  0.002659773 -0.0048551
  0.003590561 -0.005541564
  0.004701191 -0.00622012
  0.005990584 -0.006898995
  0.007470797 -0.007589372
  0.00919133 -0.008293383
  0.01122267 -0.009014193
  0.0136505 -0.00975781
  0.0165654 -0.01053042
  0.02002505 -0.01131278
  0.02399752 -0.01207185
  0.02839884 -0.01278604
  0.03317119 -0.01343775
  0.03823794 -0.01401325
  0.04352172 -0.01450944
  0.04895972 -0.01492434
  0.05450155 -0.01526048
  0.06011949 -0.01552465
  0.06580259 -0.01572242
  0.07154103 -0.01585935
  0.07732419 -0.01594167
  0.08314185 -0.01597403
  0.08898679 -0.01595976
  0.0948556 -0.01590241
  0.1007489 -0.01580565
  0.1066691 -0.01567333
  0.1126166 -0.01550945
  0.1185892 -0.01531822
  0.1245816 -0.0151039
  0.1305875 -0.0148689
  0.136602 -0.01461471
  0.1426225 -0.01434278
  0.1486488 -0.01405447
  0.1546824 -0.01375115
  0.1607248 -0.01343422
  0.1667766 -0.01310518
  0.1728376 -0.01276559
  0.1789063 -0.01241702
  0.1849809 -0.01206059
  0.1910596 -0.01169701
  0.1971414 -0.01132698
  0.2032256 -0.01095117
  0.2093123 -0.01057022
  0.2154017 -0.01018466
  0.2214941 -0.009795002
  0.2275896 -0.009401761
  0.2336882 -0.009005462
  0.2397896 -0.008606641
  0.2458933 -0.008205758
  0.2519992 -0.007803145
  0.2581067 -0.00739912
  0.2642158 -0.006993999
  0.2703261 -0.006588094
  0.2764375 -0.006181702
  0.2825498 -0.005775037
  0.2886626 -0.005368297
  0.2947754 -0.004961693
  0.3008873 -0.004555448
  0.3069973 -0.004149798
  0.3131044 -0.003745131
  0.3192075 -0.003342181
  0.3253062 -0.002941707
  0.3314004 -0.002544437
  0.3374904 -0.002151068
  0.343577 -0.001762267
  0.3496614 -0.001378502
  0.3557445 -0.0009999083
  0.3618269 -0.000626607
  0.3679091 -0.0002587401
  0.373991 0.0001035293
  0.3800723 0.0004600187
  0.3861524 0.0008104603
  0.3922307 0.001154431
  0.3983069 0.001491502
  0.4043807 0.001821259
  0.4104522 0.002143299
  0.4165217 0.002457233
  0.4225896 0.002762732
  0.4286565 0.003059663
  0.4347229 0.00334793
  0.440789 0.003627432
  0.4468551 0.003898061
  0.4529214 0.004159705
  0.458988 0.004412261
  0.465055 0.004655734
  0.4711224 0.004890186
  0.4771904 0.005115679
  0.4832591 0.005332277
  0.4893288 0.005540044
  0.4953996 0.005739047
  0.5014719 0.005929441
  0.5075459 0.006111481
  0.5136216 0.006285422
  0.5196992 0.006451518
  0.5257787 0.00661002
  0.5318598 0.006761178
  0.5379425 0.006905207
  0.5440265 0.007042232
  0.5501116 0.007172365
  0.5561976 0.007295719
  0.5622842 0.007412408
  0.5683713 0.007522548
  0.5744586 0.00762624
  0.5805458 0.007723512
  0.586633 0.007814359
  0.5927201 0.007898779
  0.5988072 0.007976769
  0.6048946 0.00804833
  0.6109827 0.008113464
  0.6170716 0.008172263
  0.6231619 0.008224899
  0.6292534 0.008271544
  0.6353462 0.00831237
  0.64144 0.008347549
  0.6475343 0.00837725
  0.6536287 0.008401561
  0.6597226 0.00842041
  0.6658158 0.00843371
  0.6719083 0.008441376
  0.6780001 0.008443322
  0.6840919 0.00843946
  0.6901839 0.008429756
  0.6962769 0.008414331
  0.7023711 0.008393341
  0.7084664 0.008366939
  0.7145627 0.008335281
  0.7206595 0.008298526
  0.7267559 0.008256773
  0.7328514 0.008209894
  0.7389455 0.008157711
  0.7450381 0.008100045
  0.7511296 0.008036712
  0.7572204 0.007967526
  0.7633115 0.007892398
  0.7694035 0.00781149
  0.7754969 0.007725002
  0.7815917 0.007633138
  0.7876877 0.007536108
  0.7937841 0.007434118
  0.79988 0.007327152
  0.8059748 0.007214986
  0.8120679 0.007097389
  0.8181591 0.006974127
  0.8242483 0.006844961
  0.8303358 0.006709667
  0.8364219 0.006568065
  0.8425067 0.006419982
  0.8485906 0.006265242
  0.8546736 0.006103674
  0.8607558 0.005935133
  0.8668373 0.00575955
  0.8729183 0.005576867
  0.8789986 0.005387023
  0.8850785 0.005189959
  0.8911578 0.004985605
  0.8972365 0.004773883
  0.9033142 0.004554722
  0.9093903 0.004328058
  0.9154643 0.004093666
  0.9215349 0.003851011
  0.9276012 0.003599541
  0.9336617 0.003338717
  0.9397151 0.00306788
  0.9457611 0.002786201
  0.9518011 0.002492787
  0.9578361 0.002187039
  0.9638598 0.001869392
  0.9698535 0.001541034
  0.9757822 0.001202775
  0.9815851 0.0008559539
  0.9871613 0.000507365
  0.9923047 0.0001755262
  0.9967785 -0.0001262232
  1.0 -0.00036
