FX 78-K-161
  0.4499975 0.1081885
  0.4428554 0.1084321
  0.4355823 0.1086466
  0.4282699 0.1088419
  0.4210266 0.1090082
  0.4139047 0.1091312
  0.406898 0.1091996
  0.3999532 0.1092032
  0.3929875 0.1091394
  0.3859348 0.1090172
  0.3787689 0.1088463
  0.371512 0.1086383
  0.3642402 0.1084051
  0.3570414 0.108143
  0.3499548 0.1078419
  0.3429698 0.1074911
  0.3360351 0.1070782
  0.3290758 0.1065982
  0.3220379 0.1060562
  0.3149076 0.1054608
  0.3077185 0.1048252
  0.3005499 0.104162
  0.2934715 0.1034685
  0.2865027 0.1027355
  0.2796171 0.1019505
  0.2727514 0.1010984
  0.2658371 0.1001759
  0.2588407 0.09918813
  0.251775 0.09814701
  0.2447041 0.09707152
  0.2377092 0.09596895
  0.2308237 0.09483276
  0.2240279 0.09364889
  0.2172582 0.09239666
  0.2104356 0.09106621
  0.2035201 0.08966234
  0.1965302 0.08820231
  0.1895488 0.08671502
  0.1826711 0.08521138
  0.1759281 0.08368265
  0.1692874 0.08210744
  0.162672 0.08046019
  0.1560167 0.0787344
  0.1493129 0.07694002
  0.1426169 0.0751044
  0.136021 0.07324924
  0.1295676 0.07137076
  0.1232346 0.06944818
  0.1169547 0.06745362
  0.1106755 0.06538072
  0.1044071 0.06324592
  0.09822306 0.06108518
  0.09220774 0.0589179
  0.0863825 0.05673583
  0.0807133 0.05451391
  0.07515222 0.05223845
  0.06970519 0.04992821
  0.06443602 0.0476265
  0.05942791 0.04536927
  0.05471497 0.04315887
  0.05028197 0.0409811
  0.04609531 0.03882598
  0.04214532 0.03671142
  0.03844992 0.03466886
  0.03503178 0.03272691
  0.03190091 0.03088862
  0.02904241 0.02914246
  0.02642902 0.02747407
  0.02403071 0.02587177
  0.02182077 0.02433389
  0.01978051 0.02286255
  0.01789539 0.02145992
  0.01615264 0.02012681
  0.01454256 0.01886005
  0.01305628 0.0176532
  0.01168372 0.0164998
  0.01041464 0.01539387
  0.009239343 0.01433003
  0.008147836 0.01330377
  0.007130054 0.01231172
  0.006177704 0.01135132
  0.005283906 0.01042059
  0.004442814 0.009517834
  0.003651438 0.008640768
  0.002921019 0.007781691
  0.002265056 0.006932038
  0.001692826 0.006085027
  0.001210452 0.005235313
  0.0008210609 0.0043793
  0.0005186336 0.003520496
  0.0002929198 0.002664203
  0.0001354281 0.001812974
  3.964975e-05 0.0009673526
  1.045768e-06 0.0001263662
  1.715001e-05 -0.0007123069
  8.808569e-05 -0.001551856
  0.0002160362 -0.002394556
  0.0004047978 -0.003241295
  0.000659606 -0.004091332
  0.0009868796 -0.004941804
  0.001393 -0.005787745
  0.001878516 -0.006627561
  0.002440123 -0.007462229
  0.003072915 -0.008293156
  0.003770129 -0.009122257
  0.004522919 -0.009952028
  0.005326039 -0.01078287
  0.006183178 -0.01161078
  0.007099766 -0.0124309
  0.00808256 -0.0132379
  0.009140272 -0.01402592
  0.01028429 -0.01478883
  0.01152515 -0.01552707
  0.01287143 -0.0162476
  0.01433169 -0.01695929
  0.01591287 -0.01767349
  0.01761708 -0.01840469
  0.01944427 -0.01916154
  0.02140081 -0.01993848
  0.02349543 -0.02072697
  0.02574216 -0.02151741
  0.02816682 -0.0223011
  0.03080723 -0.023082
  0.0337062 -0.02387481
  0.03690492 -0.02469939
  0.04042108 -0.02557821
  0.04423596 -0.02650524
  0.0483208 -0.02744953
  0.05267386 -0.02837921
  0.0573589 -0.02928515
  0.06246095 -0.03019515
  0.06800433 -0.03114241
  0.07386385 -0.03212998
  0.07986281 -0.03310157
  0.08594226 -0.03401059
  0.09218899 -0.03485406
  0.09869447 -0.03567203
  0.1054396 -0.03650109
  0.1122684 -0.03733968
  0.1190503 -0.0381429
  0.1257802 -0.03887835
  0.1325517 -0.03954505
  0.1394473 -0.04017824
  0.146473 -0.04081209
  0.153546 -0.04146459
  0.1605713 -0.04210831
  0.1675227 -0.04271204
  0.1744437 -0.04325394
  0.1814116 -0.04374341
  0.1884732 -0.04420961
  0.1956241 -0.04468028
  0.2028053 -0.04517218
  0.2099513 -0.04566539
  0.2170397 -0.04613433
  0.2240926 -0.04655748
  0.2311643 -0.04692981
  0.2382994 -0.0472721
  0.2455096 -0.0476069
  0.2527693 -0.04795578
  0.2600231 -0.04832151
  0.2672307 -0.04868296
  0.2743844 -0.04901957
  0.2815071 -0.04931322
  0.2886416 -0.04956213
  0.2958204 -0.04978533
  0.3030518 -0.050003
  0.310318 -0.05023521
  0.3175782 -0.05048924
  0.3247989 -0.05074702
  0.3319701 -0.05098859
  0.3391048 -0.0511955
  0.3462354 -0.05135585
  0.3533951 -0.0514824
  0.3605995 -0.05159424
  0.3678439 -0.0517107
  0.3751018 -0.05184968
  0.3823362 -0.05200694
  0.3895252 -0.05216267
  0.3966667 -0.05229782
  0.4037778 -0.05239431
  0.4108898 -0.05244456
  0.4180296 -0.05246436
  0.4252074 -0.05247282
  0.4324152 -0.05248956
  0.439626 -0.05253234
  0.446805 -0.05259494
  0.4539328 -0.05265659
  0.4610092 -0.05269721
  0.4680511 -0.05269755
  0.4750897 -0.05264737
  0.4821531 -0.05256209
  0.4892532 -0.05246201
  0.4963837 -0.05236821
  0.503519 -0.05230149
  0.5106222 -0.05226134
  0.5176696 -0.05222567
  0.5246583 -0.05217225
  0.531604 -0.05207963
  0.5385386 -0.0519307
  0.5454975 -0.05173563
  0.5524994 -0.05151591
  0.5595431 -0.05129428
  0.5666055 -0.0510948
  0.5736449 -0.05092848
  0.5806269 -0.05077502
  0.5875413 -0.05061014
  0.5944004 -0.0504103
  0.6012368 -0.05015313
  0.6080935 -0.04983887
  0.6149971 -0.04948916
  0.6219478 -0.04912835
  0.6289165 -0.04878315
  0.6358466 -0.04847397
  0.6426842 -0.04818307
  0.6494126 -0.0478813
  0.6560494 -0.0475405
  0.6626411 -0.04713246
  0.6692546 -0.04664494
  0.6759435 -0.0460969
  0.6827241 -0.04551396
  0.6895683 -0.04492769
  0.6963988 -0.04437053
  0.7031247 -0.04383511
  0.7097046 -0.04329086
  0.7161492 -0.04270674
  0.7225082 -0.04205075
  0.7288593 -0.04130535
  0.7352686 -0.04049071
  0.74176 -0.03963736
  0.748307 -0.03878465
  0.7548286 -0.03797442
  0.7612292 -0.03719818
  0.7674738 -0.03641639
  0.7735881 -0.03558716
  0.7796432 -0.0346649
  0.785746 -0.03362009
  0.7919927 -0.03246238
  0.7984321 -0.031215
  0.8050414 -0.02992117
  0.8117039 -0.02863029
  0.8182811 -0.02734325
  0.8246993 -0.02604114
  0.8309501 -0.02469724
  0.837073 -0.02330145
  0.8431289 -0.02188844
  0.8491773 -0.02049613
  0.8552788 -0.01916187
  0.8614887 -0.01789583
  0.8678243 -0.01666006
  0.8742499 -0.0154172
  0.8806714 -0.01414476
  0.8870002 -0.01288144
  0.8932352 -0.01167862
  0.8994571 -0.01056766
  0.9057837 -0.009534631
  0.9122528 -0.008532911
  0.9187604 -0.007532772
  0.9251238 -0.006564347
  0.9312969 -0.005685994
  0.9373839 -0.00492375
  0.9434962 -0.004246464
  0.9495703 -0.003613003
  0.9553974 -0.003025747
  0.9608795 -0.002534213
  0.9660756 -0.002157954
  0.9710336 -0.001854423
  0.9757009 -0.001576143
  0.9800171 -0.001341932
  0.983995 -0.001203944
  0.9876685 -0.001128766
  0.9910728 -0.0009924294
  0.9943225 -0.0008844883
  0.9975358 -0.001115224
  1.0 0.0
