 DSMA-523B AIRFOIL
  1.0 0.000308
  0.9963564 0.001742263
  0.9924018 0.003171992
  0.988705 0.004392559
  0.9852452 0.005436188
  0.9819994 0.006330769
  0.9789453 0.007099959
  0.976067 0.007777899
  0.9733537 0.008410351
  0.9707924 0.009032309
  0.9683697 0.009669794
  0.9660729 0.01034272
  0.9638908 0.01106694
  0.9618132 0.01185566
  0.9598313 0.01272047
  0.9579332 0.01365956
  0.9560952 0.01463483
  0.9542938 0.01560622
  0.9525075 0.01653774
  0.9507158 0.01739572
  0.9488989 0.01814901
  0.9470457 0.01879185
  0.9451515 0.01933663
  0.943212 0.01979485
  0.9412224 0.02017711
  0.9391779 0.02049363
  0.9370733 0.02075471
  0.9349031 0.02097112
  0.9326616 0.02115475
  0.9303429 0.02131911
  0.9279409 0.02148019
  0.9254498 0.0216574
  0.9228648 0.02187477
  0.9201827 0.0221624
  0.9174017 0.02255143
  0.9145125 0.02304573
  0.9115008 0.02363695
  0.9083483 0.02431216
  0.9050317 0.02505236
  0.9015201 0.02583042
  0.8977719 0.02660999
  0.8937407 0.02737657
  0.8893805 0.02814181
  0.8846457 0.02892316
  0.879505 0.02974486
  0.8739651 0.03062691
  0.8680619 0.03155601
  0.8618324 0.03250804
  0.8552816 0.03346048
  0.8483795 0.03440965
  0.8411096 0.03536053
  0.8334974 0.03631413
  0.8256023 0.03726113
  0.8174741 0.0381911
  0.8091367 0.03909863
  0.8006087 0.03998163
  0.7919179 0.04083767
  0.7830931 0.04166303
  0.7741514 0.04245517
  0.765099 0.04321458
  0.7559424 0.04394329
  0.7466908 0.04464357
  0.7373587 0.04531781
  0.7279648 0.0459669
  0.7185229 0.0465894
  0.7090379 0.0471847
  0.6995121 0.04775344
  0.6899495 0.04829624
  0.6803527 0.0488135
  0.6707202 0.0493061
  0.6610509 0.04977625
  0.6513499 0.05022605
  0.6416248 0.05065613
  0.631882 0.0510667
  0.6221256 0.05145756
  0.612357 0.05182845
  0.6025767 0.05217971
  0.592786 0.05251189
  0.5829873 0.05282524
  0.5731832 0.05311985
  0.5633757 0.05339555
  0.5535643 0.05365212
  0.5437477 0.05388998
  0.5339284 0.05410983
  0.5241107 0.05431132
  0.5142958 0.05449345
  0.5044813 0.05465565
  0.4946637 0.05479769
  0.4848397 0.05491988
  0.4750058 0.05502307
  0.4651605 0.05510822
  0.4553074 0.0551764
  0.4454529 0.05522715
  0.4355928 0.05525855
  0.4257134 0.05527143
  0.4158131 0.05526976
  0.4059055 0.05525527
  0.3959996 0.05522666
  0.3860952 0.05518316
  0.3761913 0.05512481
  0.3662901 0.05505183
  0.3563952 0.05496456
  0.3465108 0.05486301
  0.336643 0.05474673
  0.3267984 0.05461467
  0.3169782 0.05446485
  0.3071781 0.05429622
  0.2974001 0.05410965
  0.2876553 0.05390495
  0.2779499 0.05367939
  0.2682802 0.0534308
  0.2586456 0.05315943
  0.2490559 0.05286528
  0.2395199 0.05254626
  0.230039 0.05220034
  0.2206165 0.05182742
  0.2112656 0.05142773
  0.2020022 0.05099927
  0.1928375 0.05053945
  0.18378 0.05004616
  0.1748389 0.04951782
  0.1660261 0.04895411
  0.1573586 0.04835602
  0.1488589 0.047725
  0.1405536 0.04706282
  0.1324723 0.04637166
  0.1246444 0.04565165
  0.1170963 0.04490354
  0.1098481 0.04413026
  0.1029093 0.04333628
  0.09627985 0.04252615
  0.08996255 0.04171171
  0.0839814 0.04091133
  0.07836782 0.04014178
  0.07314174 0.03940866
  0.068298 0.03870374
  0.06381148 0.03801919
  0.05964879 0.03734897
  0.05577585 0.03668824
  0.05216353 0.03603282
  0.04878742 0.03538015
  0.04562616 0.0347289
  0.0426607 0.03407847
  0.03987379 0.03342872
  0.03724996 0.03277889
  0.03477582 0.03212586
  0.03243905 0.03146696
  0.03022821 0.03080041
  0.02813326 0.03012466
  0.02614679 0.02943666
  0.02426191 0.02873345
  0.02247179 0.02801267
  0.0207699 0.02727246
  0.01915022 0.02651139
  0.01760745 0.02572948
  0.01613741 0.02492805
  0.01473677 0.02410859
  0.01340564 0.02326897
  0.01214909 0.02239895
  0.0109632 0.02149677
  0.009833328 0.0205774
  0.008757943 0.01964782
  0.007759563 0.01868982
  0.006855382 0.0176837
  0.006031407 0.01663562
  0.005261822 0.01556671
  0.004527594 0.01449712
  0.003832845 0.01343049
  0.003190133 0.01236154
  0.002609771 0.01128411
  0.002099028 0.01019242
  0.001654249 0.009088007
  0.001268007 0.007976056
  0.0009338075 0.006862002
  0.0006488028 0.00574974
  0.0004167319 0.004639926
  0.0002389143 0.00353458
  0.0001124085 0.002435972
  3.408251e-05 0.001344209
  1.308606e-06 0.0002573939
  1.242346e-05 -0.0008281666
  6.7991e-05 -0.001916728
  0.0001700973 -0.003011034
  0.0003214585 -0.004111861
  0.0005250323 -0.005217784
  0.0007821816 -0.006325817
  0.00108995 -0.007434586
  0.001447594 -0.008542083
  0.001860199 -0.009643149
  0.002334129 -0.01073251
  0.00287585 -0.01180579
  0.003482645 -0.01286576
  0.004144693 -0.01391914
  0.00485015 -0.01497196
  0.005586571 -0.0160279
  0.006361565 -0.01707383
  0.007198978 -0.01808696
  0.008124985 -0.01904745
  0.009139754 -0.01996072
  0.01022105 -0.02084794
  0.01135103 -0.02172113
  0.01253492 -0.02257208
  0.01378152 -0.02339323
  0.01509064 -0.02418818
  0.01645932 -0.02496185
  0.01788752 -0.02571551
  0.019376 -0.02644997
  0.02092563 -0.02716643
  0.02253822 -0.02786656
  0.02421599 -0.02855233
  0.02596047 -0.02922598
  0.02777206 -0.02989
  0.02964951 -0.03054722
  0.03158972 -0.0311996
  0.03359045 -0.03184111
  0.0356509 -0.03246166
  0.0377715 -0.03305053
  0.03995461 -0.03359635
  0.0422046 -0.03409057
  0.04452497 -0.03453942
  0.0469186 -0.03495452
  0.04938822 -0.03534947
  0.0519361 -0.03574035
  0.0545639 -0.03614628
  0.05727215 -0.03659002
  0.06005982 -0.03709865
  0.06292553 -0.03769542
  0.06587429 -0.03837314
  0.06891532 -0.0391141
  0.07206182 -0.03989668
  0.07533282 -0.04069468
  0.07875614 -0.04147606
  0.08237269 -0.04220332
  0.08623245 -0.04286588
  0.09039081 -0.04347708
  0.0949088 -0.04405576
  0.09984037 -0.04462989
  0.1052021 -0.0452315
  0.1109686 -0.04586016
  0.1170982 -0.04650263
  0.1235652 -0.04714606
  0.1303787 -0.04778356
  0.1375479 -0.04841118
  0.1450599 -0.04902331
  0.1528792 -0.04961408
  0.1609677 -0.0501793
  0.169297 -0.05071682
  0.1778418 -0.05122573
  0.1865701 -0.05170558
  0.1954487 -0.05215465
  0.2044537 -0.05257127
  0.2135704 -0.05295594
  0.222781 -0.05331081
  0.2320611 -0.05363665
  0.2413899 -0.05393192
  0.2507554 -0.05419542
  0.2601526 -0.05442649
  0.2695803 -0.05462506
  0.2790355 -0.0547926
  0.2885081 -0.05493043
  0.2979889 -0.05503744
  0.3074795 -0.05511217
  0.316985 -0.0551555
  0.3265013 -0.05516921
  0.3360195 -0.05515301
  0.345542 -0.05510554
  0.3550767 -0.05502826
  0.3646161 -0.05492495
  0.3741383 -0.05479561
  0.3836339 -0.05463605
  0.3931095 -0.0544437
  0.4025732 -0.05421851
  0.412027 -0.05396096
  0.4214649 -0.05367212
  0.430874 -0.05335235
  0.4402508 -0.05299907
  0.4496094 -0.05261043
  0.4589505 -0.05219168
  0.4682351 -0.05174915
  0.4774222 -0.05127661
  0.4865154 -0.05076292
  0.4955411 -0.05020611
  0.5045057 -0.0496106
  0.5133897 -0.04897973
  0.5221505 -0.04831617
  0.5307377 -0.04761658
  0.5391486 -0.04686126
  0.5474438 -0.0460289
  0.5556897 -0.04511839
  0.5638991 -0.04413971
  0.5720436 -0.04309862
  0.580108 -0.04199062
  0.5881057 -0.04080807
  0.5960596 -0.03954454
  0.6039852 -0.03819471
  0.6118971 -0.03675413
  0.6198304 -0.03521495
  0.6278465 -0.03356645
  0.6359907 -0.0318186
  0.6442269 -0.0300047
  0.6524503 -0.02815009
  0.6606024 -0.02624662
  0.6687106 -0.02428445
  0.6768392 -0.02230193
  0.6850354 -0.02035092
  0.6933145 -0.01844986
  0.7016641 -0.01659185
  0.7100528 -0.0147766
  0.7184456 -0.01301277
  0.7268135 -0.01130878
  0.7351398 -0.009673581
  0.7434278 -0.008113231
  0.7516922 -0.006626967
  0.7599347 -0.005210962
  0.7681375 -0.003865675
  0.7762817 -0.002596791
  0.7843633 -0.001408347
  0.7923857 -0.0003002158
  0.8003426 0.0007288763
  0.8082152 0.001678273
  0.8159841 0.002545222
  0.8236376 0.003328085
  0.8311656 0.00402722
  0.8385458 0.004643648
  0.8457433 0.005177931
  0.852728 0.00562878
  0.8594914 0.005996267
  0.8660405 0.006283535
  0.8723677 0.006499755
  0.8784318 0.006654736
  0.8841788 0.006755917
  0.8895781 0.006792923
  0.8946487 0.006752541
  0.8994354 0.006627262
  0.9039903 0.006419372
  0.9083571 0.006171627
  0.9125548 0.005932087
  0.9165851 0.005738946
  0.9204411 0.005620737
  0.9241125 0.005579706
  0.9275949 0.005571495
  0.930899 0.005556049
  0.9340434 0.005504036
  0.9370493 0.005393317
  0.9399379 0.005206052
  0.9427295 0.004926454
  0.9454436 0.004539005
  0.9480991 0.004026828
  0.9507156 0.003370204
  0.9533195 0.00257329
  0.955946 0.001690286
  0.9586295 0.0007852502
  0.9614023 -7.000983e-05
  0.9642839 -0.0008438254
  0.9672825 -0.001554447
  0.9704057 -0.002226136
  0.9736608 -0.002888519
  0.9770539 -0.003578483
  0.9805886 -0.004342425
  0.9842676 -0.005225241
  0.9880991 -0.006246953
  0.9920919 -0.007424968
  0.9962536 -0.008778496
  1.0 -0.010109
