FX 76-MP-120
  0.1890226 -0.002072822
  0.1960308 -0.001368938
  0.2030322 -0.0006730829
  0.2100272 1.412219e-05
  0.2170161 0.0006921109
  0.2239998 0.001360342
  0.2309791 0.002018404
  0.237955 0.002666101
  0.2449284 0.003303253
  0.2519003 0.003929676
  0.2588714 0.004545248
  0.2658422 0.005149948
  0.2728127 0.005743728
  0.2797825 0.006326502
  0.2867506 0.00689809
  0.2937165 0.00745817
  0.3006805 0.008006457
  0.3076435 0.00854273
  0.3146073 0.009066884
  0.3215739 0.009579251
  0.3285443 0.01008027
  0.3355188 0.01057029
  0.3424967 0.01104963
  0.3494769 0.01151835
  0.3564581 0.01197631
  0.3634396 0.01242342
  0.370421 0.01285958
  0.3774024 0.01328476
  0.3843841 0.01369897
  0.3913667 0.01410228
  0.3983511 0.01449476
  0.4053383 0.01487647
  0.4123296 0.01524767
  0.4193257 0.01560877
  0.4263264 0.01596019
  0.4333308 0.01630229
  0.4403375 0.01663534
  0.4473445 0.01695926
  0.4543509 0.01727381
  0.4613564 0.01757882
  0.4683616 0.01787412
  0.4753679 0.01815972
  0.4823766 0.01843588
  0.4893884 0.01870291
  0.4964037 0.01896106
  0.5034219 0.01921059
  0.5104423 0.01945162
  0.5174642 0.01968422
  0.5244874 0.01990842
  0.531512 0.02012431
  0.5385385 0.02033198
  0.5455675 0.02053163
  0.5525994 0.02072351
  0.5596344 0.02090788
  0.5666724 0.02108496
  0.5737133 0.02125497
  0.5807567 0.02141808
  0.5878024 0.02157447
  0.5948505 0.02172432
  0.6019008 0.02186779
  0.6089535 0.02200509
  0.6160086 0.02213641
  0.623066 0.02226195
  0.6301256 0.02238191
  0.6371871 0.02249646
  0.6442502 0.02260568
  0.6513143 0.02270963
  0.6583787 0.0228084
  0.6654425 0.02290203
  0.6725048 0.02299046
  0.6795652 0.02307356
  0.6866238 0.02315121
  0.6936813 0.02322329
  0.7007384 0.02328972
  0.7077948 0.0233505
  0.7148478 0.02340561
  0.7218928 0.02345501
  0.7289235 0.02349818
  0.7359342 0.02353316
  0.742922 0.02355777
  0.7498865 0.02356992
  0.7568299 0.02356768
  0.7637548 0.02354973
  0.7706633 0.02351493
  0.7775562 0.02346212
  0.7844336 0.02339015
  0.7912946 0.02329783
  0.7981374 0.02318398
  0.8049596 0.02304748
  0.811758 0.02288705
  0.8185304 0.02270068
  0.8252764 0.02248626
  0.8319977 0.02224164
  0.8386973 0.02196512
  0.8453777 0.02165575
  0.8520401 0.02131266
  0.8586847 0.020935
  0.8653098 0.02052179
  0.8719111 0.02007215
  0.8784824 0.01958549
  0.8850163 0.01906051
  0.8915102 0.01849455
  0.8979679 0.01788436
  0.9043978 0.01722738
  0.910802 0.01652412
  0.9171692 0.01577694
  0.9234779 0.01498782
  0.929711 0.01415465
  0.935864 0.01327394
  0.9419369 0.01234413
  0.9479114 0.01136919
  0.9537487 0.01035599
  0.9594139 0.00930429
  0.9648966 0.008209611
  0.9701921 0.007073421
  0.975263 0.00590983
  0.9800605 0.004726792
  0.9845828 0.003511534
  0.9888671 0.002297433
  0.9929154 0.001190261
  0.9967439 0.0003283673
  1.0 0.0
