FX 68-H-120
  0.2421169 -0.03658886
  0.2484029 -0.03651886
  0.2546913 -0.0364422
  0.2609814 -0.03635918
  0.2672728 -0.03626996
  0.273565 -0.03617471
  0.2798579 -0.03607358
  0.2861514 -0.03596673
  0.2924456 -0.03585429
  0.2987405 -0.03573642
  0.3050364 -0.03561324
  0.3113336 -0.03548489
  0.3176325 -0.03535157
  0.3239334 -0.03521358
  0.3302361 -0.03507122
  0.3365405 -0.0349248
  0.3428459 -0.03477463
  0.3491518 -0.03462082
  0.3554574 -0.03446334
  0.3617626 -0.03430212
  0.3680671 -0.03413711
  0.374371 -0.03396826
  0.3806744 -0.03379555
  0.3869776 -0.03361905
  0.3932811 -0.03343879
  0.3995853 -0.03325481
  0.4058908 -0.03306716
  0.4121983 -0.03287601
  0.4185081 -0.03268171
  0.42482 -0.03248457
  0.4311337 -0.03228497
  0.4374483 -0.03208325
  0.4437627 -0.03187956
  0.4500762 -0.03167376
  0.4563882 -0.03146569
  0.4626991 -0.03125516
  0.4690092 -0.03104198
  0.4753196 -0.03082609
  0.4816311 -0.03060766
  0.4879442 -0.03038692
  0.4942589 -0.03016411
  0.5005748 -0.02993949
  0.5068913 -0.02971324
  0.5132077 -0.02948531
  0.5195233 -0.02925561
  0.5258379 -0.02902401
  0.5321514 -0.0287904
  0.5384638 -0.02855467
  0.5447755 -0.0283168
  0.5510869 -0.02807678
  0.5573983 -0.02783462
  0.5637104 -0.0275903
  0.5700239 -0.02734383
  0.5763392 -0.02709537
  0.5826564 -0.02684514
  0.5889752 -0.02659343
  0.5952947 -0.0263405
  0.6016136 -0.02608664
  0.6079302 -0.02583171
  0.6142438 -0.0255753
  0.6205541 -0.02531695
  0.6268618 -0.02505618
  0.6331683 -0.02479248
  0.6394755 -0.02452578
  0.6457845 -0.02425635
  0.6520959 -0.02398453
  0.6584091 -0.02371067
  0.6647231 -0.02343512
  0.6710361 -0.02315788
  0.6773468 -0.02287863
  0.6836548 -0.02259701
  0.6899603 -0.02231264
  0.696264 -0.02202515
  0.702567 -0.02173445
  0.7088702 -0.0214406
  0.7151742 -0.02114369
  0.721479 -0.02084381
  0.7277844 -0.02054102
  0.7340899 -0.02023529
  0.7403948 -0.01992652
  0.7466982 -0.01961466
  0.7529991 -0.01929963
  0.7592962 -0.01898119
  0.7655893 -0.01865882
  0.7718788 -0.01833195
  0.7781663 -0.01799998
  0.784454 -0.01766242
  0.7907438 -0.01731949
  0.797036 -0.01697159
  0.8033293 -0.01661923
  0.8096209 -0.01626285
  0.8159075 -0.01590197
  0.8221874 -0.01553563
  0.8284604 -0.01516278
  0.834728 -0.01478237
  0.8409926 -0.01439391
  0.8472557 -0.0139972
  0.8535179 -0.0135921
  0.8597789 -0.01317849
  0.8660377 -0.01275608
  0.8722928 -0.01232462
  0.8785422 -0.01188385
  0.8847836 -0.01143312
  0.8910161 -0.01097121
  0.89724 -0.01049673
  0.9034574 -0.0100084
  0.9096697 -0.009505503
  0.9158765 -0.008987592
  0.9220758 -0.008454202
  0.9282657 -0.007904217
  0.9344474 -0.007336162
  0.9406241 -0.006749127
  0.946799 -0.006143819
  0.9529728 -0.005521382
  0.9591371 -0.004884329
  0.9652616 -0.004237688
  0.9713008 -0.003587026
  0.9772115 -0.002937401
  0.9828845 -0.002308355
  0.9880838 -0.001721181
  0.9927384 -0.001136473
  0.99687 -0.000639944
  1.0 0.0
