AG45ct -02f
  0.2536503 -0.01634665
  0.2598216 -0.01622612
  0.2659947 -0.01610235
  0.2721697 -0.01597564
  0.2783466 -0.01584629
  0.2845247 -0.01571452
  0.2907031 -0.01558046
  0.2968806 -0.0154441
  0.3030575 -0.01530521
  0.3092363 -0.01516368
  0.3154189 -0.01502008
  0.3216038 -0.0148751
  0.3277882 -0.01472881
  0.3339711 -0.01458095
  0.3401535 -0.01443137
  0.3463369 -0.01428009
  0.3525225 -0.01412724
  0.3587104 -0.01397327
  0.364898 -0.01381857
  0.3710832 -0.01366283
  0.3772671 -0.01350555
  0.383452 -0.0133467
  0.3896388 -0.01318663
  0.3958265 -0.01302558
  0.4020142 -0.01286358
  0.4082021 -0.01270063
  0.4143907 -0.01253682
  0.4205789 -0.01237224
  0.4267661 -0.01220677
  0.4329528 -0.01204017
  0.4391408 -0.01187245
  0.4453303 -0.01170396
  0.4515198 -0.01153492
  0.4577084 -0.01136516
  0.4638965 -0.0111945
  0.4700853 -0.011023
  0.4762749 -0.01085084
  0.4824647 -0.01067806
  0.4886536 -0.01050468
  0.494841 -0.01033056
  0.5010269 -0.01015543
  0.5072124 -0.00997926
  0.5133981 -0.009802924
  0.5195829 -0.009627212
  0.525765 -0.009451371
  0.5319442 -0.009274141
  0.5381213 -0.009096114
  0.5442981 -0.008919309
  0.5504767 -0.008743659
  0.5566564 -0.008567138
  0.5628366 -0.008391378
  0.5690184 -0.008216423
  0.5752001 -0.008040764
  0.5813799 -0.007865326
  0.5875599 -0.007691664
  0.5937435 -0.00751975
  0.5999297 -0.007348834
  0.606114 -0.007178983
  0.6122967 -0.007010743
  0.6184821 -0.006844039
  0.6246695 -0.006678127
  0.630851 -0.006513112
  0.637023 -0.006350829
  0.6431926 -0.006192177
  0.649364 -0.00603404
  0.6555296 -0.005876525
  0.6616938 -0.005722992
  0.6678623 -0.00556972
  0.6740278 -0.005415902
  0.6801874 -0.005264661
  0.6863446 -0.005117564
  0.6924913 -0.004974168
  0.698601 -0.004831082
  0.7046757 -0.004695855
  0.7107898 -0.004556674
