FX 73-CL1-152
  1.0 0.0
  0.9963743 0.001611694
  0.9918042 0.002943318
  0.9870734 0.004255006
  0.9820835 0.005529512
  0.976832 0.006818518
  0.9713315 0.0081202
  0.9655623 0.009438904
  0.9595105 0.01078912
  0.9531869 0.01217558
  0.9466055 0.01359207
  0.9397706 0.01503553
  0.9326854 0.01650693
  0.9253598 0.01800843
  0.9178108 0.01954615
  0.9100621 0.02112692
  0.9021403 0.02274909
  0.8940724 0.02440594
  0.8858836 0.02609176
  0.8775967 0.02780301
  0.8692293 0.02953686
  0.8607934 0.03128783
  0.8522978 0.03304932
  0.8437487 0.0348168
  0.835154 0.03658981
  0.8265257 0.03836786
  0.8178786 0.04015025
  0.8092229 0.04193758
  0.8005612 0.04373203
  0.7918899 0.04553539
  0.7832061 0.04734732
  0.7745109 0.0491666
  0.765808 0.05099195
  0.7571001 0.05282312
  0.7483869 0.05466058
  0.7396648 0.0565048
  0.7309312 0.05835467
  0.722187 0.06020809
  0.7134366 0.06206256
  0.7046856 0.06391747
  0.6959373 0.06577351
  0.6871913 0.06763203
  0.6784449 0.06949364
  0.6696964 0.0713574
  0.6609462 0.07322181
  0.6521973 0.07508501
  0.6434537 0.0769456
  0.6347191 0.07880243
  0.6259966 0.08065448
  0.6172888 0.08250059
  0.6085977 0.08433942
  0.5999251 0.08616969
  0.5912723 0.08799021
  0.5826403 0.08979986
  0.5740305 0.09159743
  0.5654447 0.09338172
  0.5568847 0.09515139
  0.5483523 0.0969049
  0.5398489 0.09864071
  0.5313755 0.1003574
  0.5229326 0.1020538
  0.5145212 0.1037285
  0.506143 0.1053801
  0.4978002 0.1070073
  0.4894956 0.1086081
  0.4812315 0.1101806
  0.4730097 0.1117229
  0.4648315 0.1132333
  0.4566979 0.1147102
  0.4486102 0.1161523
  0.4405711 0.1175582
  0.4325838 0.1189265
  0.4246525 0.1202553
  0.416782 0.1215426
  0.4089782 0.1227862
  0.4012474 0.123984
  0.3935965 0.1251334
  0.3860317 0.1262305
  0.3785586 0.1272715
  0.3711821 0.1282533
  0.3639061 0.1291729
  0.3567326 0.130026
  0.34966 0.1308088
  0.3426837 0.1315183
  0.3357967 0.1321518
  0.3289913 0.132708
  0.3222602 0.1331863
  0.3155966 0.1335858
  0.3089945 0.1339059
  0.3024485 0.1341455
  0.2959533 0.134305
  0.2895036 0.1343846
  0.2830937 0.1343844
  0.2767179 0.134304
  0.2703701 0.1341442
  0.264047 0.1339071
  0.2577483 0.1335953
  0.2514771 0.1332111
  0.2452391 0.132757
  0.2390419 0.1322336
  0.2328922 0.1316408
  0.2267956 0.1309785
  0.2207567 0.1302469
  0.2147791 0.1294457
  0.2088655 0.1285734
  0.2030164 0.1276286
  0.1972309 0.1266094
  0.1915064 0.1255139
  0.1858401 0.1243417
  0.1802292 0.1230929
  0.174672 0.1217678
  0.1691669 0.1203665
  0.163713 0.1188897
  0.1583103 0.1173395
  0.1529597 0.1157183
  0.1476634 0.1140289
  0.1424247 0.1122747
  0.1372476 0.1104591
  0.1321371 0.1085864
  0.1270985 0.1066612
  0.122138 0.1046886
  0.117262 0.1026736
  0.1124772 0.1006215
  0.1077909 0.09853775
  0.1032098 0.09642839
  0.09874036 0.09429918
  0.09438892 0.09215468
  0.09016049 0.08999904
  0.08605864 0.08783626
  0.08208558 0.08567012
  0.0782425 0.08350446
  0.07452994 0.08134322
  0.07094776 0.07919019
  0.06749511 0.0770489
  0.06417041 0.07492268
  0.06097148 0.07281543
  0.0578963 0.07073134
  0.05494283 0.06867443
  0.05210883 0.0666484
  0.04939178 0.06465636
  0.04678943 0.06269995
  0.04429912 0.06077992
  0.04191747 0.05889663
  0.03964066 0.05705013
  0.0374645 0.05524015
  0.03538486 0.05346614
  0.03339797 0.05172727
  0.0315001 0.05002275
  0.02968751 0.04835177
  0.02795648 0.04671353
  0.0263033 0.04510719
  0.02472454 0.04353184
  0.02321724 0.0419863
  0.02177845 0.04046932
  0.02040518 0.03897963
  0.01909444 0.037516
  0.01784334 0.03607719
  0.01664906 0.03466205
  0.01550896 0.03326957
  0.01442068 0.03189912
  0.01338203 0.03055019
  0.01239101 0.02922239
  0.01144572 0.0279154
  0.01054433 0.02662892
  0.009685131 0.0253627
  0.008866549 0.02411642
  0.0080876 0.02288945
  0.007347314 0.0216809
  0.006644589 0.02048973
  0.005978251 0.01931488
  0.005347104 0.01815521
  0.00474996 0.01700961
  0.004185664 0.01587693
  0.003653735 0.01475611
  0.003155226 0.01364632
  0.002691375 0.01254721
  0.002263314 0.01145878
  0.001872013 0.01038128
  0.001518241 0.009315218
  0.001202528 0.008261214
  0.0009251359 0.007220024
  0.0006857997 0.006192881
  0.0004837094 0.005180597
  0.0003178832 0.004182892
  0.0001873751 0.003198648
  9.142179e-05 0.002226104
  2.955275e-05 0.001262982
  1.685535e-06 0.0003065401
  8.135608e-06 -0.0006464186
  4.881741e-05 -0.001599125
  0.0001235887 -0.002554197
  0.0002327391 -0.003513611
  0.0003768899 -0.004478713
  0.0005568868 -0.005450172
  0.0007736753 -0.006427887
  0.001028148 -0.007410855
  0.001320995 -0.008397061
  0.001652832 -0.009383944
  0.002024223 -0.01036898
  0.002435674 -0.01134976
  0.002887677 -0.01232405
  0.003380778 -0.0132898
  0.003915646 -0.01424518
  0.004493151 -0.0151886
  0.005114184 -0.01611859
  0.005779446 -0.01703358
  0.006489702 -0.01793182
  0.007245796 -0.01881132
  0.008048648 -0.01966985
  0.008899244 -0.02050492
  0.009798628 -0.02131372
  0.01074749 -0.02209396
  0.01174565 -0.02284505
  0.01279275 -0.0235666
  0.01388837 -0.02425813
  0.01503199 -0.02491914
  0.01622297 -0.02554904
  0.01746051 -0.02614718
  0.0187445 -0.02671334
  0.02007602 -0.02724809
  0.02145625 -0.02775214
  0.02288637 -0.02822638
  0.02436748 -0.02867185
  0.02590059 -0.02908982
  0.02748657 -0.0294818
  0.02912738 -0.02984886
  0.03082601 -0.03019169
  0.03258559 -0.03051125
  0.03440932 -0.03080884
  0.03630046 -0.03108618
  0.03826215 -0.03134555
  0.04029768 -0.03158887
  0.04241123 -0.03181549
  0.04460755 -0.03202419
  0.0468919 -0.03221373
  0.04927013 -0.03238284
  0.05174896 -0.03253024
  0.05433621 -0.03265483
  0.05704081 -0.03275622
  0.05987242 -0.03283439
  0.06284113 -0.0328898
  0.0659572 -0.0329235
  0.06923056 -0.03293717
  0.07267077 -0.03293036
  0.07628758 -0.03290084
  0.08009096 -0.03284627
  0.08409146 -0.03276423
  0.08830067 -0.0326523
  0.09273074 -0.03250835
  0.09739291 -0.03233055
  0.1022968 -0.03211751
  0.1074496 -0.03186832
