NACA M6
  0.1612554 -0.03507481
  0.1684908 -0.03530898
  0.1757167 -0.0355346
  0.1829142 -0.03574869
  0.1900753 -0.03594871
  0.1972033 -0.03613255
  0.2043111 -0.03629854
  0.2114179 -0.03644796
  0.2185401 -0.03658409
  0.2256897 -0.03671009
  0.2328743 -0.03682905
  0.2400967 -0.03694404
  0.2473548 -0.03705815
  0.2546412 -0.03717427
  0.2619448 -0.03729283
  0.2692559 -0.03741252
  0.2765666 -0.03753204
  0.2838716 -0.03765009
  0.2911679 -0.03776546
  0.298455 -0.03787695
  0.3057344 -0.03798355
  0.3130091 -0.03808513
  0.3202818 -0.03818196
  0.3275549 -0.03827432
  0.3348303 -0.03836245
  0.3421096 -0.0384466
  0.349394 -0.03852701
  0.3566844 -0.03860392
  0.363981 -0.03867756
  0.3712841 -0.03874814
  0.3785931 -0.0388159
  0.3859073 -0.03888106
  0.3932256 -0.03894384
  0.4005463 -0.03900445
  0.4078675 -0.03906296
  0.4151872 -0.03911891
  0.4225035 -0.03917173
  0.4298149 -0.03922087
  0.4371199 -0.03926579
  0.4444175 -0.03930595
  0.4517067 -0.03934081
  0.4589868 -0.03936985
  0.4662574 -0.03939256
  0.4735181 -0.03940842
  0.4807689 -0.03941693
  0.4880099 -0.03941758
  0.4952416 -0.03940988
  0.5024644 -0.03939333
  0.509679 -0.03936757
  0.5168863 -0.03933247
  0.524087 -0.03928789
  0.5312818 -0.0392337
  0.5384716 -0.03916975
  0.5456573 -0.03909591
  0.5528396 -0.03901203
  0.5600195 -0.03891794
  0.5671979 -0.03881351
  0.5743756 -0.03869856
  0.5815536 -0.03857293
  0.5887329 -0.03843643
  0.5959145 -0.0382889
  0.6030993 -0.03813013
  0.6102884 -0.03795992
  0.6174824 -0.03777803
  0.6246815 -0.03758423
  0.6318855 -0.0373783
  0.6390935 -0.03716004
  0.6463043 -0.03692927
  0.6535163 -0.03668583
  0.6607274 -0.03642959
  0.6679348 -0.03616045
  0.6751354 -0.03587836
  0.6823259 -0.0355833
  0.6895021 -0.03527531
  0.6966599 -0.03495445
  0.7037945 -0.03462084
  0.7109013 -0.03427423
  0.7179769 -0.03391396
  0.7250193 -0.03353937
  0.732028 -0.03314971
  0.7390039 -0.03274421
  0.7459492 -0.03232204
  0.7528671 -0.03188228
  0.759762 -0.0314239
  0.7666396 -0.03094578
  0.7735064 -0.03044666
  0.7803703 -0.02992509
  0.78724 -0.02937944
  0.7941261 -0.02880783
  0.8010401 -0.02820809
  0.8079956 -0.02757842
  0.8150051 -0.02691885
  0.8220785 -0.02622992
  0.8292219 -0.02551251
  0.8364375 -0.02476797
  0.8437211 -0.02399845
  0.8509972 -0.02321403
  0.858227 -0.02242138
  0.8654303 -0.0216208
  0.8726314 -0.02081194
  0.879859 -0.01999382
  0.8871424 -0.01916531
  0.8943814 -0.01834016
  0.9014856 -0.01753089
  0.9084204 -0.01673708
  0.9151576 -0.01594488
  0.9216802 -0.01514063
  0.9279805 -0.01431292
  0.9340577 -0.01345248
  0.939916 -0.01255194
  0.9455627 -0.01160555
  0.9510073 -0.01060887
  0.9562606 -0.009560993
  0.9613344 -0.008466903
  0.9662399 -0.007331768
  0.9709874 -0.006160131
  0.9755864 -0.004955999
  0.9800457 -0.003722912
  0.9843734 -0.002464001
  0.9885769 -0.001182044
  0.9926631 0.0001204888
  0.9966385 0.001441401
  1.0 0.0026
