AH 95-160
  1.0002 -0.00151
  0.9966382 -0.0007025237
  0.9922985 0.0003237317
  0.9876832 0.001466089
  0.982764 0.002732347
  0.9775178 0.004118921
  0.9719393 0.005612201
  0.9660497 0.007200368
  0.9598854 0.008873986
  0.9534841 0.01062279
  0.9468774 0.01243907
  0.9400955 0.01431667
  0.9331646 0.01625042
  0.9261043 0.01823532
  0.9189317 0.02026476
  0.911664 0.02233171
  0.9043175 0.02442959
  0.8969078 0.02655254
  0.8894493 0.02869503
  0.8819544 0.03085292
  0.8744317 0.03302399
  0.8668857 0.03520728
  0.8593172 0.0374019
  0.8517282 0.03960607
  0.8441224 0.04181745
  0.8365048 0.04403406
  0.8288797 0.04625444
  0.8212503 0.04847751
  0.8136191 0.0507028
  0.8059876 0.05293014
  0.7983567 0.05515911
  0.7907264 0.05738814
  0.783096 0.05961561
  0.7754648 0.06184111
  0.7678327 0.06406613
  0.7602002 0.0662922
  0.7525682 0.06851974
  0.7449394 0.07074764
  0.7373185 0.07297399
  0.7297111 0.07519599
  0.7221199 0.07741109
  0.7145446 0.07961781
  0.7069855 0.08181582
  0.6994479 0.08400389
  0.691942 0.08617886
  0.6844778 0.08833519
  0.6770609 0.09046811
  0.669693 0.09257417
  0.6623754 0.09465043
  0.6551108 0.09669369
  0.6479031 0.09870008
  0.6407548 0.1006654
  0.6336663 0.102586
  0.6266367 0.104459
  0.6196636 0.1062817
  0.6127439 0.1080522
  0.6058742 0.1097686
  0.5990514 0.1114297
  0.5922729 0.1130339
  0.5855359 0.1145797
  0.5788361 0.1160656
  0.5721684 0.1174905
  0.5655264 0.1188546
  0.5589031 0.1201579
  0.5522911 0.1214011
  0.5456848 0.1225858
  0.5390815 0.1237131
  0.5324811 0.1247832
  0.5258828 0.1257957
  0.519284 0.1267502
  0.5126805 0.1276472
  0.5060691 0.1284877
  0.4994478 0.1292726
  0.4928161 0.1300026
  0.4861748 0.1306782
  0.4795256 0.1313
  0.4728707 0.1318676
  0.4662115 0.1323805
  0.4595482 0.1328382
  0.45288 0.1332406
  0.4462054 0.1335878
  0.4395225 0.1338799
  0.4328304 0.1341177
  0.4261307 0.1343019
  0.4194275 0.1344328
  0.4127231 0.1345093
  0.4060156 0.1345302
  0.3992991 0.1344952
  0.3925697 0.1344057
  0.3858276 0.1342635
  0.3790768 0.1340694
  0.3723206 0.1338231
