FX 78-K-150/20
  1.0 0.0
  0.9981149 0.001376702
  0.9955114 0.00163602
  0.9926871 0.002067279
  0.989647 0.002727207
  0.9861938 0.003382418
  0.9821977 0.004086093
  0.9776261 0.004935035
  0.9725309 0.005909267
  0.9670002 0.006958209
  0.9611494 0.008071483
  0.9550855 0.009247017
  0.948883 0.01047176
  0.9425949 0.01173298
  0.9362562 0.01302269
  0.9298926 0.01433506
  0.9235197 0.01566695
  0.9171407 0.01701853
  0.9107465 0.01839196
  0.904323 0.01978529
  0.897865 0.02119189
  0.8913803 0.02260303
  0.8848832 0.02401437
  0.878383 0.02542535
  0.8718807 0.02683713
  0.8653763 0.02825101
  0.8588844 0.02966507
  0.852437 0.03107348
  0.8460784 0.03247196
  0.8398383 0.03386882
  0.833717 0.03527864
  0.8276907 0.03672024
  0.8217193 0.03821005
  0.8157666 0.039755
  0.8098097 0.04135902
  0.8038384 0.04302321
  0.7978547 0.04474533
  0.7918628 0.04652162
  0.7858617 0.04834954
  0.7798448 0.05022837
  0.7737988 0.05215926
  0.7677066 0.05414137
  0.7615556 0.05616995
  0.7553417 0.05823692
  0.7490707 0.06033027
  0.7427589 0.0624364
  0.736428 0.06454659
  0.730097 0.06665403
  0.7237809 0.06875329
  0.7174904 0.07084028
  0.7112315 0.07290985
  0.7050062 0.07495615
  0.6988137 0.07697438
  0.6926509 0.07896082
  0.6865119 0.08091271
  0.6803911 0.08282873
  0.6742845 0.08470755
  0.66819 0.08654727
  0.6621072 0.0883455
  0.6560375 0.09009938
  0.6499828 0.09180572
  0.6439432 0.09346172
  0.6379169 0.0950652
  0.6319005 0.09661445
  0.6258887 0.09810825
  0.6198757 0.09954678
  0.6138572 0.1009309
  0.6078301 0.102261
  0.601793 0.103537
  0.5957456 0.1047585
  0.5896889 0.1059252
  0.5836237 0.1070369
  0.5775498 0.1080937
  0.571466 0.1090957
  0.56537 0.1100434
  0.5592585 0.1109373
  0.5531287 0.111779
  0.546979 0.11257
  0.5408092 0.1133115
  0.5346208 0.1140048
  0.528417 0.1146508
  0.5222014 0.1152497
  0.5159773 0.1158013
  0.5097466 0.1163058
  0.5035106 0.1167632
  0.4972692 0.1171739
  0.4910219 0.1175383
  0.4847676 0.1178571
  0.4785054 0.1181309
  0.4722341 0.1183604
  0.4659526 0.1185462
  0.45966 0.1186888
  0.4533556 0.1187894
  0.4470402 0.1188487
  0.4407155 0.1188679
  0.4343844 0.1188479
  0.4280509 0.1187895
  0.4217185 0.1186928
  0.4153891 0.1185576
  0.4090625 0.1183836
  0.4027371 0.1181706
  0.3964094 0.1179183
  0.390076 0.1176273
  0.3837356 0.1172982
  0.3773893 0.1169321
  0.3710405 0.1165299
  0.3646951 0.1160927
  0.3583586 0.1156202
  0.3520343 0.1151119
  0.3457221 0.1145666
  0.3394191 0.1139833
  0.3331198 0.1133607
  0.3268187 0.1126988
  0.3205135 0.1119981
  0.3142055 0.1112596
  0.3078995 0.1104846
  0.3016035 0.1096746
  0.2953245 0.1088291
  0.2890654 0.107947
  0.2828248 0.1070267
  0.276597 0.1060658
  0.2703733 0.1050625
  0.2641474 0.1040168
  0.257918 0.1029295
  0.251689 0.1018023
  0.2454693 0.100638
  0.2392696 0.09943756
  0.2330953 0.0982002
  0.2269449 0.09692385
  0.2208109 0.09560505
  0.2146806 0.09424031
  0.2085439 0.09282917
  0.2023987 0.09137318
  0.1962514 0.08987599
  0.1901168 0.0883429
  0.1840106 0.08677606
  0.1779388 0.08517424
  0.1718967 0.08353349
  0.1658698 0.08184735
  0.1598401 0.08011192
  0.1538005 0.07832803
  0.1477574 0.07650064
  0.1417314 0.07463854
  0.1357476 0.07274655
  0.1298181 0.07082325
  0.1239398 0.06886255
  0.1180962 0.06685512
  0.1122709 0.06479577
  0.1064604 0.06268451
  0.100675 0.06052642
  0.09493464 0.05832758
  0.0892516 0.05608847
  0.08362403 0.05380422
  0.07803926 0.05146664
  0.07249199 0.04907379
  0.06699877 0.04663395
  0.06159573 0.04416294
  0.05631707 0.04166844
  0.05117286 0.03914678
  0.04615596 0.03658965
  0.04128207 0.03400914
  0.03661165 0.0314451
  0.03222516 0.02894452
  0.02818249 0.0265377
  0.02450338 0.02424162
  0.02118837 0.02207447
  0.0182424 0.02006444
  0.01565451 0.01822822
  0.0134001 0.01656001
  0.01144668 0.01504354
  0.009753727 0.0136608
  0.008280309 0.01239345
  0.006989976 0.01122377
  0.005851641 0.01013611
  0.004839845 0.009117552
  0.003934379 0.008157511
  0.003127301 0.007243628
  0.002421164 0.006363776
  0.001815728 0.005511048
  0.001307451 0.004681632
  0.0008904407 0.003873516
  0.0005591724 0.003089134
  0.000308293 0.0023304
  0.0001325602 0.001594333
  2.87736e-05 0.0008755377
  -3.246464e-06 0.0001671963
  3.938418e-05 -0.0005388638
  0.0001567673 -0.001250347
  0.000349626 -0.001972569
  0.0006220039 -0.002708258
  0.0009800591 -0.003456168
  0.001429785 -0.004209238
  0.001975549 -0.004962673
  0.002619675 -0.00571521
  0.003361635 -0.00646685
  0.004197829 -0.007219874
  0.005124456 -0.007979269
  0.006150262 -0.008747891
  0.007290555 -0.009527505
  0.008563535 -0.01032011
  0.009990093 -0.01112777
  0.01159378 -0.01195194
  0.01340191 -0.01279311
  0.01544368 -0.01365213
  0.01774811 -0.01453155
  0.02034624 -0.01543245
  0.02327297 -0.01634771
  0.02655807 -0.01726743
  0.03022933 -0.01818279
  0.03431038 -0.01908557
  0.03879994 -0.019969
  0.04366626 -0.02082695
  0.04885707 -0.02164658
  0.05431839 -0.02242108
  0.06001589 -0.02315117
  0.06591029 -0.02383983
  0.07194393 -0.02449103
  0.07805889 -0.02510109
  0.08422479 -0.02566604
  0.0904459 -0.02618693
  0.09673661 -0.02667068
  0.1030924 -0.0271243
  0.1094859 -0.02755226
