EH 1.5/9.0
  1.0 0.0
  0.9967609 0.0001545413
  0.9923431 0.0003994734
  0.9872963 0.0007191367
  0.9818075 0.001102053
  0.9760517 0.001530927
  0.97015 0.001990137
  0.9641682 0.002469195
  0.958144 0.002960842
  0.952098 0.003461302
  0.9460416 0.003968178
  0.9399804 0.004480555
  0.9339176 0.004997959
  0.9278545 0.005520258
  0.9217921 0.006047493
  0.9157306 0.006579735
  0.9096701 0.007117096
  0.9036103 0.007659722
  0.8975506 0.008207704
  0.8914901 0.008760902
  0.8854288 0.00931911
  0.8793666 0.009882095
  0.8733038 0.01044965
  0.8672405 0.0110216
  0.8611764 0.01159777
  0.8551114 0.01217799
  0.8490453 0.01276201
  0.8429783 0.01334958
  0.8369105 0.01394046
  0.8308424 0.0145345
  0.8247742 0.01513158
  0.8187057 0.01573163
  0.8126368 0.01633456
  0.8065673 0.01694024
  0.8004971 0.01754852
  0.7944263 0.01815925
  0.7883548 0.01877224
  0.7822829 0.01938737
  0.7762107 0.02000455
  0.7701382 0.02062367
  0.7640652 0.02124465
  0.7579917 0.02186737
  0.7519176 0.0224917
  0.7458427 0.02311751
  0.7397671 0.02374465
  0.733691 0.02437297
  0.7276143 0.02500237
  0.7215371 0.02563272
  0.7154595 0.02626393
  0.7093813 0.02689588
  0.7033026 0.02752843
  0.6972233 0.02816139
  0.6911436 0.02879455
  0.6850635 0.02942772
  0.6789835 0.03006067
  0.6729037 0.03069326
  0.6668244 0.03132533
  0.6607458 0.03195676
  0.654668 0.03258741
  0.648591 0.03321716
  0.642515 0.03384583
  0.63644 0.03447321
  0.6303659 0.03509912
  0.6242928 0.03572336
  0.6182206 0.03634575
  0.6121493 0.03696609
  0.6060789 0.03758418
  0.6000094 0.03819982
  0.5939409 0.03881282
  0.5878732 0.03942296
  0.5818066 0.04003002
  0.575741 0.04063376
  0.5696763 0.04123394
  0.5636128 0.04183033
  0.5575502 0.04242269
  0.5514888 0.04301076
  0.5454284 0.04359429
