 RAE6-9CK AIRFOIL
  0.2268917 -0.05379994
  0.2332778 -0.05429082
  0.2396664 -0.05476074
  0.2460569 -0.05520972
  0.2524491 -0.05563778
  0.2588425 -0.05604492
  0.2652356 -0.05643109
  0.2716261 -0.05679602
  0.2780122 -0.05713902
  0.2843921 -0.05745934
  0.2907647 -0.05775629
  0.2971293 -0.05802901
  0.3034852 -0.05827654
  0.3098317 -0.05849796
  0.3161681 -0.05869231
  0.3224942 -0.05885856
  0.3288104 -0.05899569
  0.3351176 -0.05910271
  0.3414172 -0.0591789
  0.3477104 -0.05922375
  0.3539981 -0.05923673
  0.3602806 -0.05921733
  0.3665585 -0.05916519
  0.3728324 -0.05907997
  0.3791033 -0.05896133
  0.3853726 -0.05880902
  0.3916416 -0.05862311
  0.3979114 -0.05840376
  0.4041829 -0.05815107
  0.4104565 -0.05786526
  0.4167329 -0.05754672
  0.4230128 -0.05719584
  0.429297 -0.05681298
  0.4355861 -0.05639864
  0.441881 -0.05595349
  0.4481823 -0.05547821
  0.4544905 -0.05497347
  0.460806 -0.05444006
  0.4671292 -0.05387883
  0.4734604 -0.05329064
  0.4798 -0.05267638
  0.4861483 -0.05203699
  0.4925056 -0.05137348
  0.4988724 -0.05068683
  0.5052491 -0.04997807
  0.5116361 -0.04924828
  0.5180334 -0.04849863
  0.5244405 -0.04773033
  0.530857 -0.04694462
  0.5372819 -0.04614252
  0.5437148 -0.04532498
  0.5501555 -0.04449294
  0.5566041 -0.04364729
  0.5630606 -0.0427889
  0.5695249 -0.04191868
  0.5759967 -0.04103758
  0.5824756 -0.04014647
  0.5889611 -0.03924614
  0.5954531 -0.03833734
  0.6019513 -0.03742082
  0.6084557 -0.03649729
  0.6149664 -0.03556744
  0.6214832 -0.03463197
  0.6280063 -0.03369157
  0.6345355 -0.03274695
  0.6410701 -0.03179885
  0.6476091 -0.03084811
  0.6541512 -0.02989564
  0.6606947 -0.02894249
  0.6672376 -0.02798972
  0.6737779 -0.02703843
  0.6803133 -0.0260897
  0.6868426 -0.02514446
  0.6933651 -0.02420356
  0.6998807 -0.02326775
  0.7063894 -0.02233779
  0.7128913 -0.02141444
  0.7193863 -0.02049849
  0.725874 -0.01959079
  0.7323544 -0.01869219
  0.7388275 -0.01780353
  0.7452935 -0.01692561
  0.7517528 -0.01605919
  0.7582059 -0.015205
  0.7646539 -0.01436363
  0.7710976 -0.01353551
  0.7775373 -0.01272105
  0.7839734 -0.01192073
  0.7904056 -0.01113502
  0.7968337 -0.01036446
  0.8032568 -0.009609628
  0.8096742 -0.008871296
  0.8160853 -0.008150277
  0.8224898 -0.007447366
  0.8288871 -0.006763426
  0.8352768 -0.006099361
  0.8416581 -0.005456105
  0.8480305 -0.004834714
  0.8543936 -0.004236237
  0.8607475 -0.003661674
  0.8670916 -0.003112026
  0.8734249 -0.002588348
  0.8797455 -0.002091972
  0.8860525 -0.001624433
  0.8923458 -0.001187147
  0.8986253 -0.0007813884
  0.9048899 -0.0004084422
  0.911138 -6.981229e-05
  0.9173684 0.000232873
  0.9235804 0.0004981642
  0.9297718 0.0007248155
  0.9359383 0.0009114114
  0.9420736 0.001056105
  0.9481696 0.001156933
  0.9542164 0.00121169
  0.9602007 0.001218937
  0.9661003 0.001178489
  0.9718801 0.001091692
  0.9774887 0.0009622136
  0.9828559 0.0007968821
  0.9878999 0.0006049237
  0.9925442 0.0003969518
  0.9967378 0.000183557
  1.0 0.0
